ano,clube,jogador,pos11,idade,Altura,minutos,fatia,Contrato termina,Golos de cabeça/90,Golos de cabeça,Duelos aéreos/90,"Duelos aéreos ganhos, %",Golos esperados/90,Remates/90,Toques na área/90,rendimento,faixa,aereos_ganhos_90
2022,Bahia,Luiz Otávio,ZE,29.0,194.0,2685,0.7237196765498652,2026-12-31,0.0,0,5.36,68.13,0.07,0.4,0.77,0.16512566879886736,Sobe,3.651768
2022,Bahia,Danilo Fernandes,GOL,34.0,188.0,2369,0.638544474393531,,0.0,0,0.49,84.62,0.0,0.0,0.0,0.16512566879886736,Sobe,0.414638
2022,Bahia,Lucas Mugni,VOL,30.0,183.0,2201,0.5932614555256065,2027-12-31,0.0,0,2.66,41.54,0.23,1.19,1.31,0.16512566879886736,Sobe,1.104964
2022,Bahia,Rezende,VOL,27.0,186.0,1982,0.5342318059299191,2026-12-31,0.0,0,5.31,57.26,0.08,0.68,0.82,0.16512566879886736,Sobe,3.0405059999999997
2022,Bahia,Mateus Claus,GOL,27.0,194.0,1387,0.3738544474393531,2026-12-31,0.0,0,0.71,100.0,0.0,0.0,0.0,0.16512566879886736,Sobe,0.71
2022,Bahia,André Dhominique,LD,18.0,178.0,1283,0.345822102425876,2027-12-31,0.0,0,2.95,54.76,0.0,0.21,0.42,0.16512566879886736,Sobe,1.61542
2022,Bahia,Hugo Rodallega,CA,37.0,181.0,1262,0.34016172506738546,2026-12-31,0.0,0,6.42,41.11,0.27,3.0,2.85,0.16512566879886736,Sobe,2.639262
2022,Bahia,Matheus Bahia,LE,22.0,181.0,1212,0.3266846361185984,2027-12-31,0.0,0,1.49,50.0,0.01,0.45,0.37,0.16512566879886736,Sobe,0.745
2022,Bahia,Douglas Borel,LD,20.0,178.0,1110,0.2991913746630728,2028-06-30,0.0,0,3.24,40.0,0.03,0.49,0.73,0.16512566879886736,Sobe,1.2960000000000003
2022,Bahia,Marcinho,LD,26.0,178.0,1107,0.29838274932614556,2027-12-31,0.0,0,2.76,52.94,0.02,0.65,0.24,0.16512566879886736,Sobe,1.461144
2022,Bahia,Gabriel Xavier,ZE,21.0,190.0,1046,0.2819407008086253,2029-12-31,0.0,0,4.9,63.16,0.06,0.43,0.69,0.16512566879886736,Sobe,3.0948399999999996
2022,Bahia,Rildo,EE,22.0,178.0,976,0.26307277628032344,2027-06-30,0.0,0,3.14,14.71,0.32,3.97,2.49,0.16512566879886736,Sobe,0.4618940000000001
2022,Bahia,Emerson Santos,VOL,30.0,180.0,966,0.26037735849056604,2026-10-30,0.0,0,5.4,60.34,0.02,0.84,0.09,0.16512566879886736,Sobe,3.25836
2022,Brusque,Rodolfo Potiguar,VOL,34.0,179.0,3034,0.8054543260528538,2026-09-30,0.0,0,4.54,51.63,0.03,1.19,0.09,-0.15078874981208978,Cai,2.344002
2022,Brusque,Jordan,GOL,24.0,190.0,2492,0.6615663086762399,2026-11-30,0.0,0,0.22,83.33,0.0,0.0,0.0,-0.15078874981208978,Cai,0.183326
2022,Brusque,Airton,LE,33.0,175.0,2482,0.6589115482080367,2026-09-30,0.0,0,1.85,41.18,0.01,0.33,0.47,-0.15078874981208978,Cai,0.7618300000000001
2022,Brusque,Éverton Alemão,ZD,29.0,185.0,2265,0.601303246048027,,0.0,0,4.61,56.03,0.06,0.48,0.75,-0.15078874981208978,Cai,2.5829830000000005
2022,Brusque,Fernandinho,EE,25.0,175.0,2150,0.57077350066369,2026-12-31,0.0,0,1.93,30.43,0.15,2.18,3.47,-0.15078874981208978,Cai,0.587299
2022,Brusque,Alex Sandro,CA,27.0,175.0,2035,0.5402437552793532,,0.0,0,2.65,28.33,0.43,2.96,2.92,-0.15078874981208978,Cai,0.7507449999999999
2022,Brusque,Wagner Balotelli,VOL,30.0,180.0,1883,0.49989139616266437,,0.0,0,4.06,45.88,0.05,0.38,0.48,-0.15078874981208978,Cai,1.862728
2022,Brusque,Alex Ruan,LE,29.0,175.0,1821,0.4834318812598045,,0.0,0,2.08,33.33,0.09,1.53,1.19,-0.15078874981208978,Cai,0.6932639999999999
2022,Brusque,Zé Mateus,MED,27.0,173.0,1793,0.4759985519488355,2026-09-30,0.0,0,1.61,50.0,0.1,1.0,0.4,-0.15078874981208978,Cai,0.805
2022,Brusque,Pará,LD,36.0,173.0,1763,0.46803427054422586,,0.0,0,2.09,60.98,0.02,0.26,0.66,-0.15078874981208978,Cai,1.274482
2022,Brusque,Álvaro,MEI,29.0,175.0,1394,0.3700736092675274,,0.0,0,3.23,32.0,0.08,1.74,1.74,-0.15078874981208978,Cai,1.0336
2022,Brusque,Matheus Trindade,VOL,26.0,175.0,1334,0.3541450464583082,2026-11-30,0.0,0,4.39,50.77,0.04,0.94,1.08,-0.15078874981208978,Cai,2.228803
2022,Brusque,Toty,LD,31.0,166.0,1141,0.30290816942198623,2026-12-31,0.0,0,4.1,55.77,0.04,0.55,0.79,-0.15078874981208978,Cai,2.2865699999999998
2022,Brusque,Jaílson,ED,29.0,182.0,1122,0.29786412453240013,,0.0,0,3.53,20.45,0.1,1.68,2.65,-0.15078874981208978,Cai,0.7218849999999999
2022,Brusque,Luiz Antônio,VOL,31.0,179.0,1016,0.2697236635694461,,0.0,0,2.3,50.0,0.05,1.59,0.89,-0.15078874981208978,Cai,1.15
2022,Brusque,Júnior Todinho,CA,28.0,182.0,973,0.2583081935561723,2026-11-30,0.0,0,5.92,32.81,0.31,1.76,2.59,-0.15078874981208978,Cai,1.9423520000000003
2022,Brusque,Diego Jardel,MEI,32.0,180.0,960,0.2548570049475081,2026-09-30,0.0,0,3.28,40.0,0.22,1.69,1.31,-0.15078874981208978,Cai,1.3119999999999998
2022,Brusque,Jeferson,ZE,30.0,193.0,902,0.23945939423192952,,0.0,0,4.59,67.39,0.05,0.4,0.5,-0.15078874981208978,Cai,3.0932009999999996
2022,CRB,Diogo Silva,GOL,36.0,192.0,3564,0.9521542721134697,2026-11-30,0.0,0,0.58,86.96,0.04,0.05,0.0,-0.06933256682494893,Meio,0.5043679999999999
2022,CRB,Anselmo Ramon,CA,34.0,182.0,2960,0.7907903045611309,2026-11-30,0.0,0,4.5,29.05,0.29,1.61,1.92,-0.06933256682494893,Meio,1.30725
