ano,clube,jogos_sofa,gp_x,gc_x,pen,pen_sof,esc_fav,esc_contra,xg_bp_pro,xg_bp_sof,pro_esc,sof_esc,pro_fd,sof_fd,pro_fi,sof_fi,pro_lat,sof_lat,bp_pro_sem_pen,bp_sof_sem_pen,bp_pro,bp_sof,saldo_bp,saldo_bp_sem_pen,saldo_bola_rolando,pct_gols_bp,gols_por_escanteio_pct,gols_sof_por_escanteio_pct,saldo_xg_bp,bp_com_rem_pct,cantos_com_rem_pct,livres_com_rem_pct,cantos_pj,duel_aer_pct,altura_media,jogos,pontos,gp_y,gc_y,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento
2022,Operário-PR,38,31,53,4,5,196,205,0.0,0.0,2,15,1,1,3,4,1,0,7,20,11,25,-14,-13,-8,35.483870967741936,1.0204081632653061,7.317073170731708,0.0,11.852105263157895,25.933157894736844,25.332105263157896,5.2368421052631575,43.33552631578947,1.807924528301887,38,34,31.0,53.0,-22.0,19,-28,0.8947368421052632,Cai,10925000.0,16.206564298945928,13.0,1.2860710033362661,-0.39133416123100295
2022,Ponte Preta,38,34,36,5,3,207,200,0.0,0.0,10,5,1,1,2,4,0,1,13,11,18,14,4,2,-6,52.94117647058823,4.830917874396135,2.5,0.0,12.47815789473684,28.555263157894736,17.926578947368423,5.447368421052632,46.81710526315789,1.7950000000000002,38,49,34.0,36.0,-2.0,12,-13,1.2894736842105263,Meio,20500000.0,16.835935444108635,5.0,1.4515004965870464,-0.16202681237652006
2022,Sampaio Corrêa,38,48,42,6,5,163,191,0.0,0.0,6,2,0,1,5,2,1,0,12,5,18,10,8,7,-2,37.5,3.6809815950920246,1.0471204188481675,0.0,12.517631578947368,28.117105263157896,25.150263157894738,4.2894736842105265,50.040263157894735,1.8020754716981133,38,58,48.0,42.0,6.0,5,-4,1.5263157894736843,Meio,4500000.0,15.319587954740548,18.0,1.0529302750472498,0.4733855144264345
2022,Sport,38,37,31,1,4,216,178,0.0,0.0,4,2,2,0,4,3,1,0,11,5,12,9,3,6,3,32.432432432432435,1.8518518518518519,1.1235955056179776,0.0,13.91342105263158,30.303421052631577,25.92078947368421,5.684210526315789,48.301842105263155,1.8018518518518518,38,57,37.0,31.0,6.0,7,-5,1.5,Meio,16300000.0,16.60667566577699,6.0,1.3912398233043755,0.10876017669562454
2022,Tombense,38,38,47,7,8,143,221,0.0,0.0,5,7,1,0,2,1,0,0,8,8,15,16,-1,0,-8,39.473684210526315,3.4965034965034967,3.167420814479638,0.0,11.586486486486486,33.32648648648649,22.65756756756757,3.7837837837837838,44.56243243243243,1.806734693877551,37,44,37.0,46.0,-9.0,16,-18,1.1891891891891893,Meio,3950000.0,15.189226136877304,20.0,1.0186648187515188,0.17052437043767044
2022,Vasco,38,48,36,6,1,189,193,0.0,0.0,8,8,2,0,2,2,1,0,13,10,19,11,8,3,4,39.583333333333336,4.232804232804233,4.1450777202072535,0.0,12.701315789473684,35.98710526315789,16.36578947368421,4.947368421052632,49.13789473684211,1.8190384615384616,38,62,48.0,36.0,12.0,4,0,1.631578947368421,Sobe,31125000.0,17.253521912749147,2.0,1.5612626272893104,0.0703163200791106
2022,Vila Nova,38,28,31,6,4,190,201,0.0,0.0,4,3,1,0,4,2,2,0,11,5,17,9,8,6,-11,60.714285714285715,2.1052631578947367,1.492537313432836,0.0,12.981315789473685,25.509736842105262,23.744999999999997,4.947368421052632,50.491578947368424,1.8183333333333334,38,47,28.0,31.0,-3.0,13,-15,1.236842105263158,Meio,8900000.0,16.00156183470237,14.0,1.2321863376098037,0.0046557676533542924
2023,ABC,38,28,51,5,4,165,205,0.0,0.0,3,3,0,2,2,4,0,0,5,9,10,13,-3,-4,-20,35.714285714285715,1.8181818181818181,1.4634146341463414,0.0,9.742894736842105,32.79342105263158,14.906052631578946,4.368421052631579,45.21894736842105,1.8057142857142858,38,28,28.0,51.0,-23.0,20,-36,0.7368421052631579,Cai,9400000.0,16.056220247240233,15.0,1.2465532394888115,-0.5097111342256536
2023,Atlético-GO,38,56,45,5,3,217,181,0.0,0.0,7,8,0,1,3,4,0,0,10,13,15,16,-1,-3,12,26.785714285714285,3.225806451612903,4.419889502762431,0.0,13.879210526315788,27.958421052631582,25.59526315789474,5.7105263157894735,45.08684210526316,1.8173076923076923,38,64,56.0,45.0,11.0,4,0,1.6842105263157894,Sobe,24525000.0,17.0152035634157,2.0,1.4986209188703423,0.18558960744544706
2023,Avaí,38,31,48,4,6,193,214,0.0,0.0,0,7,1,3,3,3,0,0,4,13,8,19,-11,-9,-6,25.806451612903224,0.0,3.2710280373831777,0.0,12.224473684210526,26.358947368421052,22.26842105263158,5.078947368421052,44.23210526315789,1.8184375,38,44,31.0,48.0,-17.0,13,-20,1.1578947368421053,Meio,20300000.0,16.826131444012017,3.0,1.448923526256774,-0.2910287894146686
