ano,clube,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,gols,artilheiro_pct,top3_pct,marcadores,gols_zaga_vol,gols_laterais,pts_apos_derrota,pts_apos_vitoria,maior_seq_sem_vencer,pts_casa,pts_fora,dias_lesao,lesionados,elenco_tm
2022,Operário-PR,38,34,31.0,53.0,-22.0,19,-28,0.8947368421052632,Cai,10925000.0,16.206564298945928,13.0,1.2860710033362661,-0.39133416123100295,30.0,16.666666666666668,43.333333333333336,13.0,2.0,0.0,1.0,0.14285714285714285,10,1.263157894736842,0.5263157894736842,66,4,57
2022,Náutico,38,30,32.0,65.0,-33.0,20,-32,0.7894736842105263,Cai,13925000.0,16.449196343777622,8.0,1.349846561735168,-0.5603728775246417,30.0,13.333333333333334,33.333333333333336,18.0,3.0,6.0,0.6086956521739131,0.875,6,1.1578947368421053,0.42105263157894735,512,7,65
2023,Vitória,38,72,50.0,31.0,19.0,1,8,1.894736842105263,Sobe,14025000.0,16.456352009373035,9.0,1.3517274203389018,0.5430094217663612,49.0,20.408163265306122,40.816326530612244,16.0,13.0,1.0,2.0,1.8181818181818181,3,2.3684210526315788,1.4210526315789473,87,1,64
2023,Juventude,38,65,42.0,31.0,11.0,2,1,1.7105263157894737,Sobe,16825000.0,16.638376433495065,5.0,1.3995723342235191,0.31095398156595455,42.0,16.666666666666668,45.23809523809524,15.0,3.0,3.0,1.6666666666666667,1.8823529411764706,4,1.736842105263158,1.6842105263157894,112,2,52
2023,Criciúma,38,64,45.0,33.0,12.0,3,0,1.6842105263157894,Sobe,10900000.0,16.204273347199372,12.0,1.2854688292623395,0.39874169705344986,44.0,20.454545454545453,45.45454545454545,12.0,5.0,4.0,2.090909090909091,1.2105263157894737,4,2.263157894736842,1.105263157894737,0,0,44
2023,Atlético-GO,38,64,56.0,45.0,11.0,4,0,1.6842105263157894,Sobe,24525000.0,17.0152035634157,2.0,1.4986209188703423,0.18558960744544706,56.0,25.0,50.0,17.0,12.0,4.0,1.625,2.0,6,2.1052631578947367,1.263157894736842,276,4,55
2023,Sport,38,63,59.0,40.0,19.0,5,-1,1.6578947368421053,Meio,17900000.0,16.70031127081098,4.0,1.415851836120754,0.24204290072135137,54.0,20.37037037037037,46.2962962962963,16.0,3.0,3.0,1.3333333333333333,1.8125,5,2.263157894736842,1.0526315789473684,543,11,48
2023,Novorizontino,38,63,48.0,30.0,18.0,6,-1,1.6578947368421053,Meio,13900000.0,16.44739939810092,10.5,1.3493742365976384,0.30852050024446687,46.0,15.217391304347826,43.47826086956522,12.0,6.0,4.0,2.0,1.8333333333333333,4,2.0526315789473686,1.263157894736842,16,1,41
2023,Mirassol,38,63,42.0,31.0,11.0,7,-1,1.6578947368421053,Meio,14900000.0,16.51687177091569,7.0,1.3676349711705669,0.29025976567153844,42.0,19.047619047619047,47.61904761904762,15.0,5.0,4.0,1.6363636363636365,1.5294117647058822,6,2.0,1.3157894736842106,0,0,48
2023,Vila Nova,38,61,49.0,30.0,19.0,8,-3,1.605263157894737,Meio,10475000.0,16.164502023772474,14.0,1.2750149819085275,0.3302481759862095,48.0,20.833333333333332,47.916666666666664,14.0,8.0,1.0,1.7,1.411764705882353,5,2.0526315789473686,1.1578947368421053,353,3,53
2023,Guarani,38,57,42.0,33.0,9.0,9,-7,1.5,Meio,14200000.0,16.46875252257149,8.0,1.354986881199535,0.14501311880046508,41.0,24.390243902439025,58.53658536585366,12.0,4.0,1.0,1.5,1.7333333333333334,8,1.9473684210526316,1.0526315789473684,0,0,51
2023,CRB,38,57,45.0,39.0,6.0,10,-7,1.5,Meio,13900000.0,16.44739939810092,10.5,1.3493742365976384,0.15062576340236156,44.0,20.454545454545453,47.72727272727273,17.0,3.0,1.0,1.6666666666666667,1.25,4,2.0,1.0,92,1,56
2023,Ceará,38,50,40.0,45.0,-5.0,11,-14,1.3157894736842106,Meio,35475000.0,17.38433878101038,1.0,1.5956476930671757,-0.27985821938296507,40.0,25.0,42.5,16.0,7.0,0.0,1.5384615384615385,1.1538461538461537,6,1.631578947368421,1.0,217,5,59
