pos11,jogador,clube,liga,mercado,idade,minutos,contrato,livre,tec_A,fis_A,patamar_A,psv,aderencia
LD,E. Perleche,Alianza Atlético,Peru,Sul-americano,26.0,1968,2026-12-31,True,47.0,38.0,42.0,29.48,55.9
ZE,M. Antoni,Alianza Lima,Peru,Sul-americano,23.0,1915,2029-12-31,False,55.0,28.0,42.0,28.65,65.8
LD,B. Garay,Pontevedra,Espanha C,Exterior,26.0,1039,2026-06-30,True,42.0,,42.0,,43.6
ZE,G. Paz,Nueva Chicago,Argentina B,Sul-americano,33.0,1737,2026-12-31,True,42.0,,42.0,,38.9
MED,A. Quiñónez,Sportivo San Lorenzo,Paraguai,Sul-americano,35.0,1798,2026-12-31,True,57.0,27.0,42.0,27.5,40.9
LD,B. Carabalí,Barcelona,Equador A,Sul-americano,28.0,1625,2027-06-30,True,66.0,19.0,42.0,28.94,75.9
ZD,Y. Mosquera,Jaguares de Córdoba,Colombia A,Sul-americano,31.0,1112,,True,54.0,30.0,42.0,28.61,54.0
CA,C. Cortes,Llaneros,Colombia A,Sul-americano,24.0,1404,,True,43.0,40.0,42.0,29.66,43.5
LE,Julio Martínez,Guadalajara,Espanha C,Exterior,25.0,1977,2027-06-30,True,42.0,,42.0,,48.3
ZD,S. Etchebarne,Macará,Equador A,Sul-americano,31.0,1985,2026-12-31,True,46.0,39.0,42.0,28.87,53.5
CA,G. Aguilar,Club Libertad,Paraguai,Sul-americano,26.0,1293,2026-12-31,True,52.0,31.0,42.0,27.33,48.5
LD,A. Restrepо,Bogotá,Colombia B,Sul-americano,21.0,2049,2026-12-31,True,42.0,,42.0,,49.4
ZD,S. Bellatti,Acassuso,Argentina B,Sul-americano,24.0,1585,2026-12-31,True,42.0,,42.0,,35.0
EE,J. Giani,Universidad Católica,Chile,Sul-americano,27.0,1719,2026-12-31,True,67.0,17.0,42.0,28.64,72.0
MEI,F. Carrizo,Club Libertad,Paraguai,Sul-americano,35.0,1335,2026-12-31,True,51.0,34.0,42.0,27.22,49.4
LE,P. Ríos,Deportivo Recoleta,Paraguai,Sul-americano,22.0,1361,,True,42.0,43.0,42.0,28.52,58.1
LD,E. Martínez,Orsomarso,Colombia B,Sul-americano,22.0,1227,2027-06-30,True,42.0,,42.0,,41.2
LD,A. Bordon,Club Atlético Güemes,Argentina B,Sul-americano,30.0,1665,2026-12-31,True,42.0,,42.0,,28.1
LD,J. Saborido,Platense,Argentina A,Sul-americano,28.0,1632,2027-12-31,False,47.0,37.0,42.0,29.09,40.0
ZD,L. Cangá,Universidad Católica,Equador A,Sul-americano,31.0,2176,2026-12-31,True,54.0,30.0,42.0,29.38,58.2
ED,E. Alfonso,Rubio Ñú,Paraguai,Sul-americano,26.0,1120,2026-12-31,True,53.0,31.0,42.0,28.87,46.1
ZE,J. Morán,Leones del Norte,Equador A,Sul-americano,24.0,2259,2026-12-31,True,17.0,68.0,42.0,29.57,27.2
MED,E. Dávila,Mushuc Runa,Equador A,Sul-americano,30.0,2259,2026-12-31,True,44.0,41.0,42.0,28.25,40.2
