ano,clube,bc_criadas,bc_cedidas,bc_perdidas,bc_conv,chutes_area,chutes_area_adv,pct_area,pct_area_adv,terco_final,terco_final_adv,posse_1t,posse_2t,chutes_sof_1t,chutes_sof_2t,defesas_gk,mom_pct,mom_ult15,mom_t2,jogador_jogos_lesao,jogador_jogos_suspensao,titulares_distintos,titularidades_top11,jogos,onze_fixo_pct,nota_media,nota_desvio,pontos,ppj,rendimento,faixa,valor_eur
2024,Ponte Preta,0.914,1.714,0.667,0.594,6.368,7.763,0.537,0.561,56.079,61.789,44.789,48.184,7.026,7.211,2.947,0.435,-74.526,-106.737,38.0,0.0,32,266,38,0.636,6.895,0.458,38,1.0,-0.2,Cai,7875000.0
2024,Santos,1.406,0.938,1.1,0.85,7.973,5.243,0.533,0.404,61.595,51.514,53.649,52.649,6.378,5.865,2.622,0.586,73.622,275.135,38.0,0.0,32,307,38,0.734,7.133,0.522,68,1.789,0.038,Sobe,64075000.0
2024,Sport,1.676,0.838,1.148,0.664,8.158,6.105,0.618,0.506,59.684,53.553,56.579,53.079,5.132,7.026,2.737,0.578,30.947,92.737,3.0,0.0,34,294,38,0.703,7.047,0.471,66,1.737,0.279,Sobe,20975000.0
2024,Vila Nova,1.083,1.5,0.913,0.722,6.316,8.289,0.527,0.573,58.316,56.132,49.684,50.632,6.447,8.026,3.342,0.473,-22.105,-80.184,10.0,0.0,37,298,38,0.713,6.909,0.495,55,1.447,0.135,Meio,12075000.0
2025,Amazonas,1.778,1.917,1.188,0.442,6.237,7.895,0.509,0.541,55.474,57.816,48.158,46.342,6.737,7.737,3.0,0.46,-36.737,-127.395,104.0,25.0,49,224,38,0.536,6.914,0.431,36,0.947,-0.438,Cai,15970000.0
2025,América-MG,1.868,1.632,1.353,0.416,6.763,6.711,0.507,0.542,60.316,50.237,53.158,54.421,5.737,6.763,2.684,0.554,84.053,192.158,138.0,16.0,38,257,38,0.615,6.982,0.477,46,1.211,-0.273,Meio,23150000.0
2025,Athletic,1.947,1.632,1.353,0.371,7.368,6.921,0.67,0.509,55.0,52.158,49.684,52.895,6.711,6.974,3.0,0.491,50.921,16.947,62.0,28.0,35,280,38,0.67,6.973,0.484,44,1.158,-0.255,Meio,17710000.0
2025,Athletico-PR,2.5,1.472,1.774,0.474,8.842,5.579,0.602,0.479,60.237,53.789,51.842,51.237,4.711,6.737,2.395,0.567,68.632,165.237,83.0,20.0,34,237,38,0.567,7.026,0.483,65,1.711,0.022,Sobe,50500000.0
2025,Atlético-GO,1.73,2.081,1.25,0.466,7.158,7.053,0.519,0.587,63.842,50.974,49.368,52.5,5.763,6.368,2.947,0.53,9.842,111.526,39.0,22.0,45,219,38,0.524,7.055,0.521,52,1.368,-0.171,Meio,28675000.0
2025,Avaí,1.946,1.676,1.278,0.417,7.0,7.342,0.528,0.493,57.947,60.632,48.289,47.289,6.921,7.895,3.632,0.487,-52.789,-66.763,91.0,26.0,30,322,38,0.77,7.079,0.492,56,1.474,0.138,Meio,13200000.0
2025,Botafogo-SP,1.361,2.417,0.743,0.542,6.027,8.243,0.519,0.568,55.865,63.919,45.405,48.838,7.189,7.459,2.757,0.451,20.324,-69.0,84.0,22.0,30,263,38,0.629,6.888,0.429,42,1.105,-0.161,Meio,10125000.0
2025,CRB,2.135,2.351,1.588,0.392,8.868,7.842,0.514,0.52,60.789,55.868,57.132,57.0,7.763,7.211,4.158,0.575,108.237,202.895,18.0,18.0,29,309,38,0.739,7.127,0.542,56,1.474,0.026,Meio,20200000.0
2025,Chapecoense,2.0,1.889,1.242,0.541,7.816,7.763,0.556,0.472,51.132,58.316,48.395,45.816,8.263,7.974,3.395,0.444,-52.816,-194.737,107.0,16.0,28,319,38,0.763,7.062,0.51,62,1.632,0.369,Sobe,10000000.0
2025,Coritiba,1.618,1.235,1.033,0.654,7.526,6.053,0.604,0.492,53.684,49.0,54.368,50.421,5.947,6.842,3.054,0.552,16.816,46.395,63.0,33.0,27,300,38,0.718,7.11,0.562,68,1.789,0.302,Sobe,23500000.0
2025,Criciúma,1.946,1.757,1.111,0.549,7.184,6.842,0.532,0.482,58.395,60.289,50.368,48.447,6.447,7.237,2.789,0.502,-27.368,2.737,98.0,16.0,32,303,38,0.725,7.072,0.515,61,1.605,0.164,Meio,19725000.0
2025,Cuiabá,1.973,1.622,1.375,0.496,8.921,6.447,0.601,0.548,56.605,55.684,48.711,49.237,5.316,6.263,2.474,0.512,-18.974,106.079,50.0,23.0,31,255,38,0.61,7.019,0.476,54,1.421,-0.048,Meio,21900000.0
2025,Ferroviária,1.5,2.472,0.906,0.651,6.395,9.0,0.473,0.638,48.947,62.684,49.0,49.632,6.789,7.605,3.421,0.44,-80.711,-191.184,54.0,23.0,28,315,38,0.754,6.998,0.488,40,1.053,-0.103,Cai,6650000.0
2025,Goiás,1.865,1.919,1.194,0.469,7.974,7.316,0.571,0.548,57.974,58.079,49.474,48.289,6.289,7.316,2.553,0.502,-20.237,53.895,67.0,25.0,30,292,38,0.699,6.98,0.476,61,1.605,0.184,Meio,18250000.0
2025,Novorizontino,2.171,1.514,1.273,0.489,7.447,6.526,0.494,0.543,60.105,55.263,51.289,50.184,5.895,6.368,3.447,0.521,1.368,32.895,87.0,21.0,31,273,38,0.653,7.084,0.523,60,1.579,0.24,Meio,13375000.0
2025,Operário-PR,1.75,1.361,1.414,0.483,6.711,5.763,0.477,0.56,56.816,54.316,54.395,52.316,4.553,5.789,2.184,0.573,37.211,112.026,87.0,23.0,41,269,38,0.644,6.999,0.49,48,1.263,-0.17,Meio,19100000.0
2025,Remo,1.816,1.789,1.088,0.564,6.211,8.816,0.509,0.525,54.974,59.447,47.737,47.868,7.763,9.079,4.368,0.434,-57.921,-253.658,86.0,17.0,36,254,38,0.608,7.031,0.519,62,1.632,0.101,Sobe,27650000.0
2025,Vila Nova,1.838,1.622,1.114,0.507,6.763,6.921,0.555,0.505,56.526,61.105,45.658,45.184,6.316,6.974,2.579,0.441,-32.368,-183.842,51.0,26.0,37,277,38,0.663,6.908,0.437,47,1.237,-0.055,Meio,11175000.0
2025,Volta Redonda,1.265,2.029,1.0,0.522,7.027,7.703,0.45,0.585,57.378,54.892,52.405,55.676,6.243,7.054,2.973,0.535,54.162,170.784,63.0,13.0,42,230,38,0.55,7.011,0.463,36,0.947,-0.147,Cai,5275000.0
2026,América-MG,1.931,2.483,1.519,0.339,7.586,8.793,0.544,0.57,53.552,52.379,53.31,54.897,7.103,8.069,3.414,0.509,74.966,85.586,47.0,0.0,40,168,29,0.527,6.785,0.616,17,0.63,-0.493,Cai,5875000.0
2026,Athletic,1.931,2.034,1.192,0.599,6.345,9.276,0.575,0.591,49.345,60.69,45.931,42.345,7.31,8.414,3.621,0.412,-143.036,-331.143,48.0,0.0,31,232,29,0.727,6.904,0.586,37,1.37,0.052,Meio,12375000.0
2026,Atlético-GO,2.556,1.963,1.846,0.512,8.552,7.207,0.577,0.566,56.517,56.0,50.379,47.483,5.759,7.138,3.069,0.536,-28.655,12.966,15.0,0.0,33,240,29,0.752,7.006,0.667,40,1.538,0.262,Meio,10550000.0
2026,Avaí,1.448,2.172,0.897,0.51,6.379,8.276,0.526,0.553,54.897,59.759,46.172,46.517,6.414,8.586,3.621,0.432,-81.857,-217.143,26.0,0.0,34,205,29,0.643,6.81,0.555,29,1.074,-0.13,Cai,8000000.0
2026,Botafogo-SP,2.0,1.321,1.385,0.48,7.893,7.107,0.591,0.544,57.179,57.464,45.214,50.25,6.321,6.929,2.5,0.519,0.37,36.0,71.0,0.0,27,234,28,0.76,6.818,0.552,31,1.148,0.001,Meio,6450000.0
2026,CRB,2.103,2.172,1.48,0.487,9.655,7.379,0.52,0.544,58.931,55.655,54.069,50.207,5.345,7.517,3.276,0.55,26.179,-9.429,32.0,0.0,22,240,29,0.752,6.969,0.654,42,1.556,0.257,Meio,11450000.0
2026,Ceará,1.759,2.207,1.217,0.558,8.0,7.621,0.591,0.556,57.724,51.552,49.655,52.621,7.034,6.448,3.069,0.526,99.172,263.552,100.0,0.0,40,186,29,0.583,6.794,0.574,31,1.192,-0.15,Meio,13525000.0
2026,Criciúma,1.862,1.483,1.481,0.396,8.207,6.897,0.569,0.546,58.069,52.931,53.69,52.448,5.586,6.724,2.75,0.554,37.0,122.857,42.0,0.0,25,240,29,0.752,6.928,0.569,44,1.692,0.366,Meio,12750000.0
2026,Cuiabá,2.077,1.269,1.571,0.533,7.75,5.357,0.585,0.488,52.714,58.571,46.857,46.464,4.429,6.5,2.0,0.504,3.929,-22.786,48.0,0.0,29,213,28,0.692,6.885,0.555,39,1.444,0.16,Meio,10850000.0
2026,Fortaleza,1.815,2.259,1.4,0.475,8.071,7.607,0.57,0.536,53.214,52.679,49.643,48.393,6.464,7.5,3.143,0.523,5.815,-41.037,58.0,0.0,32,199,28,0.646,6.924,0.569,47,1.741,0.181,Sobe,30900000.0
