ano,clube,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,idade_onze,idade_elenco,jogadores_usados,conc_onze_pct,estrangeiros_min_pct,n_estrangeiros_500min,emprestados_min_pct,altura_onze,valor_onze_eur,valor_elenco_wy,sub23_min_pct,vet30_min_pct,chegaram_no_ano_pct,trocas_treinador,xg,xg_sof,dist_rem,xg_por_rem,xg_por_rem_sof,rem_fora_sof_pct,duel_aer_pct,posse,ppda,saldo_bp,bp_pro,bp_sof,gols_por_escanteio_pct,esc_contra,spr_n,hi_n,dist,runs_area,psv_min_kmh,psv_amp_kmh,referencia
2024,Santos,38,68,57.0,32.0,25.0,1,4,1.7894736842105263,Sobe,64075000.0,17.97556483021441,1.0,1.7510507910137747,0.03842289319675163,28.375401544665436,26.35,32,69.4597417394607,23.141378655526015,5,100.0,181.25073474130272,7400000.0,29050000.0,24.750759589821495,45.9172047094569,55.00000000000001,0,1.3492105263157894,0.9847368421052632,19.77657894736842,0.0956131855717382,0.0824249786805901,62.90796793505772,47.16473684210526,52.50578947368421,9.992105263157894,10,20,10,3.3816425120772946,164,8.582355250756615,54.78722637029966,9591.412751908756,3.480612465214071,26.12,5.259999999999998,False
2024,Mirassol,38,67,42.0,26.0,16.0,2,3,1.763157894736842,Sobe,16975000.0,16.647252231409034,9.0,1.401905327660523,0.36125256707631914,30.13052309230673,28.060606060606062,29,75.4870972307402,11.145445110157098,2,100.0,179.73389163177302,4750000.0,11400000.0,0.3962824928055857,52.5380950134453,69.38775510204081,0,1.1863157894736842,0.9413157894736844,18.426578947368423,0.1142676775880809,0.0700254841918623,59.61816903472028,50.525263157894734,51.485,13.168421052631578,8,18,10,3.932584269662921,240,8.7056265491618,57.25836998655555,9898.020718869471,3.217217962632159,27.35,3.0599999999999987,True
2024,Sport,38,66,57.0,37.0,20.0,3,2,1.736842105263158,Sobe,20975000.0,16.858841810317543,6.0,1.457521409022072,0.2793206962410859,28.707914595329207,27.08108108108108,36,66.12979518471217,25.540419090866088,6,100.0,181.7661027860234,4050000.0,14650000.0,14.147864339435221,51.77380445579679,57.14285714285714,3,1.3834210526315789,1.0102631578947368,18.63815789473684,0.1141251892536518,0.0898739432911972,51.37189889257267,46.55394736842105,54.68894736842105,8.850263157894737,7,17,10,2.6200873362445414,169,8.652632338224484,56.04663609494964,9502.299580527102,3.95284723871306,26.17,4.439999999999998,True
2024,Ceará,38,64,59.0,41.0,18.0,4,0,1.6842105263157894,Sobe,24725000.0,17.02332543547305,4.0,1.5007557437491474,0.18345478256664194,26.590556538304533,25.56756756756757,29,68.03054848414719,16.783152048137005,4,100.0,179.09001224656416,3950000.0,13500000.0,23.378847489007175,32.33973617218236,64.0,2,1.5002631578947367,0.9644736842105264,19.002105263157897,0.1164503932509472,0.0960363429999652,53.36055155714599,44.59105263157895,49.59131578947368,9.382631578947368,5,21,16,3.4220532319391634,153,8.979369987407447,54.22855085501766,9201.57091921869,3.652350820743353,27.6,4.259999999999998,False
2024,Novorizontino,38,64,43.0,31.0,12.0,5,0,1.6842105263157894,Meio,11000000.0,16.213405830762646,16.0,1.2878692922317736,0.3963412340840158,29.631511345797062,28.633333333333333,30,66.20683138848207,3.3897103982614447,1,100.0,182.69202226345084,3500000.0,9650000.0,8.990409599848821,64.32890820616998,54.166666666666664,0,1.1765789473684212,0.911842105263158,20.66631578947369,0.092127674713201,0.089203875007861,52.29845726169256,50.555263157894736,42.28342105263158,11.13157894736842,7,17,10,5.7591623036649215,188,9.569216469624171,59.475497374806,9746.090949028214,4.018126917390302,27.26,2.509999999999998,True
2024,Goiás,38,63,56.0,32.0,24.0,6,-1,1.6578947368421053,Meio,28750000.0,17.174148325207632,3.0,1.540399369630597,0.11749536721150822,28.926052291337452,26.657894736842106,34,65.54922548142568,8.100663873063704,2,100.0,182.09384427524782,4550000.0,13500000.0,11.657799331418616,45.162201610245305,67.79661016949152,1,1.3834210526315789,1.233947368421053,19.914736842105263,0.1138153991261576,0.0980344842658473,48.95673526498848,44.76736842105263,50.19394736842105,10.896842105263158,6,18,12,3.191489361702128,213,8.802925481530611,54.25905428845889,9330.106613727916,3.177709567860388,27.33,4.560000000000002,False
2024,América-MG,38,58,50.0,35.0,15.0,7,-6,1.5263157894736843,Meio,23325000.0,16.96503630469768,5.0,1.4854345116902712,0.040881277783413106,28.736508410099578,26.45945945945946,31,63.732737515152955,8.240830976206889,4,100.0,180.90978256815723,3050000.0,11600000.0,22.307527750707138,45.93187706496161,53.191489361702125,1,1.4823684210526316,1.245,19.578157894736844,0.1107625662995178,0.114887923437072,49.27452771686518,48.74763157894737,55.134473684210526,10.774473684210529,2,11,9,2.5641025641025643,188,8.363822276430083,55.43545870406129,9760.007974987117,2.762367612863769,26.17,3.5699999999999967,False
2024,Operário-PR,37,55,31.0,30.0,1.0,8,-9,1.4864864864864864,Meio,12450000.0,16.33723118087499,12.0,1.3204166453764588,0.16606984111002765,27.651900897052542,26.785714285714285,37,57.10034635835894,8.702863554319723,3,100.0,182.14126441691585,1900000.0,7300000.0,11.983511390799551,32.8381872286453,48.214285714285715,0,1.0194594594594597,1.0754054054054054,21.61054054054054,0.080074164653112,0.0987414978336031,47.44967227939364,48.61324324324325,54.373243243243245,8.854594594594595,2,9,7,1.4634146341463414,176,8.120986726747718,53.58979595918717,9544.92999446376,2.470118223252383,27.18,2.6000000000000014,False
2024,Vila Nova,38,55,42.0,54.0,-12.0,9,-9,1.4473684210526316,Meio,12075000.0,16.306647757502912,13.0,1.3123778271541697,0.1349905938984619,27.457689348905518,26.023255813953487,34,68.22530238328125,5.744685926950879,2,100.0,180.8057206797678,3750000.0,8250000.0,16.764081398955078,30.970727866975214,70.58823529411765,2,1.1207894736842106,1.395,20.239473684210527,0.0986954690476362,0.105294910869642,47.18390299252284,46.17,49.7871052631579,9.739473684210529,-9,12,21,2.9411764705882355,236,8.771313821535749,53.57565856018567,9090.665341648142,3.5344540375440543,27.59,3.390000000000001,False
2024,Avaí,38,53,34.0,32.0,2.0,10,-11,1.394736842105263,Meio,19000000.0,16.759949537130716,8.0,1.4315276869306581,-0.036790844825395075,29.51577287066246,28.4375,32,69.77534272794698,17.202191544847718,4,100.0,181.9929707859004,3800000.0,11450000.0,7.644089288704931,46.23537574467067,56.81818181818182,3,1.181578947368421,1.1539473684210526,20.271578947368425,0.1015120198214238,0.1018218055164649,48.9029557044263,49.861315789473686,47.84763157894737,10.331315789473685,1,12,11,3.5175879396984926,208,9.015162097209933,58.1420753454854,9863.854443202496,3.288723740954729,27.06,4.330000000000002,False
2024,Amazonas,38,52,31.0,37.0,-6.0,11,-12,1.368421052631579,Meio,9675000.0,16.08505579688012,17.0,1.254132631078651,0.11428842155292807,27.767901055981483,28.488372093023255,38,65.59290272078184,15.41381028061769,3,100.0,179.50347171994792,2550000.0,6325000.0,22.724577175795243,47.71212372796926,74.60317460317461,1,1.1671052631578949,1.1894736842105265,20.46684210526316,0.0928507070172657,0.0956656595038948,47.79384448540795,42.38578947368421,50.78421052631579,12.498157894736842,-1,9,10,2.7649769585253456,174,7.865606652254117,51.50981791639365,9176.31086487553,2.882605121093833,26.69,5.459999999999997,False
2024,Paysandu,38,50,41.0,43.0,-2.0,12,-14,1.3157894736842106,Meio,13825000.0,16.441989105372674,10.0,1.3479521472768123,-0.03216267359260172,28.88932384341637,27.56756756756757,34,59.602649006622514,18.366288798284273,5,100.0,181.22400158165283,2400000.0,8975000.0,6.997242582074427,27.65195258183875,81.25,1,1.072105263157895,1.229736842105263,20.730526315789472,0.0905406444475716,0.1007315962237239,43.3491535697418,46.12421052631579,55.50157894736842,7.845526315789473,0,11,11,1.2195121951219512,170,9.040183221066458,57.56173638319626,9566.799833906443,3.1051989388909824,26.13,3.9700000000000015,False
2024,Coritiba,38,50,41.0,44.0,-3.0,13,-14,1.3157894736842106,Meio,32050000.0,17.282807741330952,2.0,1.568960374189456,-0.2531709005052454,24.69481718139865,25.0,33,67.29896316116394,14.14066606144584,3,100.0,179.2566560170394,3600000.0,14350000.0,46.265946772421046,21.888288977017535,45.45454545454545,3,1.2218421052631578,1.1694736842105262,21.024736842105263,0.0961371352912924,0.095200406297349,49.05846196287373,45.91578947368421,51.120789473684205,10.18078947368421,-7,14,21,2.3255813953488373,199,9.427725280451073,58.66535112269582,9818.489511876123,3.517504749064087,28.0,2.140000000000001,False
2024,Botafogo-SP,38,45,36.0,51.0,-15.0,14,-19,1.1842105263157894,Meio,9525000.0,16.06943047897704,18.0,1.2500255339508977,-0.06581500763510828,27.257956046595414,25.68421052631579,32,59.506908051453074,18.60647927584564,4,100.0,181.2874904927745,3225000.0,7125000.0,24.294902334444973,20.681276798475466,64.44444444444444,1,1.0339473684210525,1.260789473684211,20.624736842105264,0.0958134083623634,0.1152084563140677,44.14087189899883,44.16,46.13368421052631,12.32842105263158,3,15,12,4.2105263157894735,188,9.088321148457236,55.302213277673694,9524.52932824718,2.874007257285873,26.73,4.52,False
2024,Chapecoense,37,44,32.0,42.0,-10.0,15,-20,1.1891891891891893,Meio,11425000.0,16.25131449474454,14.0,1.2978335416584255,-0.1086443524692362,28.27872919334187,26.083333333333332,39,60.522109749600425,21.664164285368333,5,100.0,180.63916453265045,1650000.0,6700000.0,17.72412457015547,33.95408533927447,81.81818181818183,2,1.1302702702702705,1.355945945945946,20.236486486486488,0.0965184848526482,0.0953800687006799,54.97144353003695,46.50189189189189,46.59297297297297,12.266486486486489,0,15,15,5.161290322580645,235,7.53397744512679,51.95754106410443,9695.648800888335,2.1386183664602867,25.97,3.5400000000000027,False
2024,CRB,38,43,38.0,45.0,-7.0,16,-21,1.131578947368421,Meio,13675000.0,16.43107990627232,11.0,1.3450846766391535,-0.21350572927073252,28.058608707984682,25.97142857142857,31,66.43112869794611,9.190691539476164,3,100.0,181.73932775492838,1600000.0,7550000.0,7.308743169398907,28.58488788392689,63.46153846153846,2,1.0507894736842105,1.2873684210526315,21.061052631578946,0.0924604892260709,0.1081887939246618,47.069306993375534,46.46842105263158,53.572631578947366,8.480263157894736,-7,11,18,1.694915254237288,186,7.784367912336008,52.65868156381583,9583.5359109378,2.6243032803445505,27.25,3.1099999999999994,False
2024,Ponte Preta,38,38,37.0,55.0,-18.0,17,-26,1.0,Cai,7875000.0,15.879203742675971,19.0,1.200024651592523,-0.20002465159252303,28.38065498263008,26.558823529411764,32,61.455609662484704,6.735912874517235,2,100.0,183.81732308052617,3100000.0,5950000.0,9.787223834768634,30.661837023532517,60.0,2,1.1855263157894735,1.3315789473684212,19.959210526315783,0.105574925440057,0.1090266530694538,47.874303916472414,41.91736842105264,45.913947368421056,11.543157894736842,-4,14,18,4.093567251461988,196,8.548700550471782,54.11135611111434,9480.336009975112,3.062930581278,25.59,4.989999999999998,False
2024,Ituano,38,37,43.0,63.0,-20.0,18,-27,0.9736842105263158,Cai,11350000.0,16.244728301891687,15.0,1.2961023683206045,-0.32241815779428873,27.248792362405386,25.34090909090909,39,62.71109626943994,0.0,0,100.0,179.8828192157012,2050000.0,5825000.0,24.122221162102853,31.533250644022516,72.41379310344827,1,1.2386842105263158,1.739473684210526,19.88921052631579,0.1100948275365844,0.1135973100785513,44.74227911061072,43.12868421052631,46.46763157894737,12.567368421052633,-9,9,18,2.150537634408602,255,8.388503248027043,55.17972139334451,9703.039363186135,3.185385299251055,26.95,3.129999999999999,False
2024,Brusque,38,36,24.0,44.0,-20.0,19,-28,0.9473684210526315,Cai,7500000.0,15.830413578506539,20.0,1.1872002121561005,-0.23983179110346897,31.692004634994206,27.794871794871796,35,62.59973886551574,14.040814352724986,4,100.0,182.07806102742373,950000.0,4900000.0,3.5398230088495577,57.64060157647855,62.5,2,0.9489473684210528,1.361315789473684,21.885526315789477,0.0864963794375559,0.096529224456501,51.1420727385864,43.07552631578947,47.15473684210527,11.928947368421053,-7,7,14,2.6143790849673203,248,8.311252649065944,53.604356138386144,9556.659422814037,2.781366615565641,27.31,3.610000000000003,False
2024,Guarani,38,33,33.0,53.0,-20.0,20,-31,0.868421052631579,Cai,20600000.0,16.84080163375981,7.0,1.4527795690298229,-0.5843585163982439,29.02551137669501,25.54,44,60.931263858093125,2.6607538802660753,0,100.0,180.42721979621544,3350000.0,12075000.0,14.167347415100945,40.06301785505893,69.35483870967742,4,1.1460526315789472,1.145,21.76842105263158,0.0865661726292266,0.1150847861933388,47.27497283418336,44.59236842105263,48.89236842105263,11.15342105263158,-7,10,17,1.3157894736842106,177,7.844561744543674,51.94319480717455,9611.713651312744,2.4497776608520003,26.16,4.940000000000001,False
2025,Coritiba,38,68,39.0,23.0,16.0,1,6,1.7894736842105263,Sobe,23500000.0,16.972510979114386,4.0,1.4873992214016623,0.3020744628088641,28.887246218830903,27.7,28,69.00799247766808,28.262811471556184,6,100.0,180.35621338056956,3100000.0,10500000.0,19.43112364833098,41.90644099670898,40.0,0,1.073157894736842,0.91,19.07184210526316,0.0961086651182178,0.0833588560804158,52.80349934044737,45.23710526315789,52.265,10.540263157894737,6,15,9,3.5,168,8.410615878793957,54.12159155137607,9460.735856775778,2.8594877505201746,26.41,4.120000000000001,True
2025,Athletico-PR,38,65,53.0,43.0,10.0,2,3,1.7105263157894737,Sobe,50500000.0,17.73748389424559,1.0,1.6884714864290196,0.02205482936045411,27.295740008783486,25.86111111111111,36,53.1103491708068,33.734518228255546,8,100.0,181.01980676328503,4000000.0,14250000.0,38.80997364308539,21.519371166001914,50.0,1,1.4526315789473685,1.018684210526316,19.360526315789475,0.1151096802358921,0.0947898017072186,55.60536666319215,43.53526315789473,50.93868421052632,10.141052631578948,-7,14,21,1.951219512195122,148,9.222945732199546,58.07332805957325,9703.822475308756,3.2639973516552665,26.62,5.239999999999998,False
2025,Chapecoense,38,62,52.0,35.0,17.0,3,0,1.631578947368421,Sobe,10000000.0,16.11809565095832,18.0,1.2628171193321176,0.3687618280363034,29.220812435646195,27.914285714285715,29,70.63391516516516,12.23019894894895,2,100.0,181.51416614076462,1850000.0,6300000.0,5.3350225225225225,45.39695945945946,54.166666666666664,0,1.1721052631578948,1.3497368421052631,20.355263157894736,0.0917418111474552,0.089355774246529,54.91774480521018,43.88026315789474,47.42026315789474,12.451315789473684,0,15,15,2.6178010471204187,192,8.36875253929783,53.567438243254045,9634.92941138219,3.023534152164772,27.35,2.5299999999999976,True
2025,Remo,38,62,51.0,39.0,12.0,4,0,1.631578947368421,Sobe,27650000.0,17.135136285932617,3.0,1.5301450992568304,0.10143384811159062,29.7648121535619,27.767441860465116,38,57.67636820044048,13.242712008904256,6,100.0,179.04984602750974,4500000.0,14975000.0,11.09953347384375,42.40414900419163,79.66101694915254,2,1.1955263157894738,1.42,20.26184210526316,0.106101670203043,0.0935145147204341,50.12405168168057,43.417631578947365,48.14473684210526,11.550263157894738,8,18,10,2.9585798816568047,263,7.772522017179711,49.984857070031175,9454.487259302152,2.990755574115928,26.08,4.25,False
2025,Criciúma,38,61,47.0,33.0,14.0,5,-1,1.605263157894737,Meio,19725000.0,16.79739742469621,8.0,1.441370821797717,0.16389233609701992,30.518840780670434,26.425,32,67.84975068209616,11.042901495907422,2,100.0,181.63146947689535,2350000.0,9900000.0,11.294571455452065,44.11045253551604,75.36231884057972,1,1.288421052631579,1.1389473684210527,20.383157894736843,0.1076251813368075,0.0915871600130301,54.40809042082679,47.48605263157895,49.12842105263158,9.953157894736842,15,23,8,5.076142131979696,168,8.776004308832068,56.92881628159423,9794.598869311318,3.649156547012816,26.34,4.420000000000002,False
2025,Goiás,38,61,42.0,37.0,5.0,6,-1,1.605263157894737,Meio,18250000.0,16.719675637992776,10.0,1.4209417381199607,0.18432141977477623,30.661487708843246,27.272727272727273,29,67.19182000190676,8.277719515683097,2,100.0,181.01801993544038,3850000.0,11300000.0,12.822957383926017,56.068261988750116,59.183673469387756,1,1.2792105263157894,1.1471052631578946,20.52973684210526,0.1043871481832008,0.1009993762602232,47.97588947211072,44.79605263157895,49.56263157894737,9.732368421052632,0,16,16,3.1531531531531534,181,8.557623305099682,52.781239440683294,9271.310000459292,2.771175579397878,26.8,4.629999999999999,True
2025,Novorizontino,38,60,43.0,32.0,11.0,7,-2,1.5789473684210527,Meio,13375000.0,16.408897850746346,14.0,1.3392541484474396,0.23969321997361304,27.901715239829993,28.696969696969695,30,61.44805876180483,10.866270257665851,3,100.0,181.94869459623558,4500000.0,10625000.0,15.394660137577242,49.15704791885275,42.857142857142854,1,1.4052631578947368,1.052894736842105,20.77368421052632,0.1025640802274544,0.0937299028585793,49.40442147291993,46.482894736842105,50.773947368421055,10.691842105263158,11,17,6,2.985074626865672,187,9.494353450320318,60.77860252378155,9828.95347366088,3.7735209938142606,26.9,3.91,True
2025,Avaí,38,56,50.0,40.0,10.0,8,-6,1.4736842105263157,Meio,13200000.0,16.3957273875566,15.0,1.3357923071029427,0.13789190342337299,29.216306212370927,26.526315789473685,31,70.6065355751876,11.468129571577848,2,100.0,181.7865191214557,3400000.0,9350000.0,13.838225515341502,42.519236249643775,56.60377358490566,1,1.2623684210526316,1.2402631578947367,20.221052631578942,0.1038204136737377,0.0890897106562577,54.735152335669696,44.0,48.21763157894737,11.310526315789474,-4,12,16,1.1049723756906078,237,9.888732570953788,61.135137817178894,9799.828026535331,3.358833590567428,27.24,3.890000000000001,False
2025,CRB,38,56,45.0,40.0,5.0,9,-6,1.4736842105263157,Meio,20200000.0,16.821193162371433,7.0,1.447625504516167,0.026058706010148702,28.437944003343084,26.852941176470587,27,68.46107998569555,16.41912027655263,3,100.0,180.2207828388355,6000000.0,11750000.0,11.028728096316605,43.37584932649899,67.9245283018868,0,1.4452631578947368,1.3823684210526317,20.47657894736842,0.0916362260443257,0.0987126229825431,51.33316194288575,44.65368421052632,56.06578947368421,10.173421052631578,-1,13,14,2.7450980392156863,176,9.1001421486286,56.06166695275812,9659.403469448498,3.2698387792886128,27.0,3.640000000000001,False
2025,Cuiabá,38,54,43.0,44.0,-1.0,10,-8,1.4210526315789473,Meio,21900000.0,16.90199719478673,6.0,1.4688647529911298,-0.047812121412182496,28.053829717291254,25.756756756756758,33,57.69969414609859,17.334092040685682,5,100.0,181.82404667981592,3800000.0,9050000.0,21.103919197666976,34.62076487184959,56.666666666666664,1,1.321578947368421,1.098157894736842,19.330789473684213,0.0990306578969525,0.1029779303513823,49.13160691217966,48.24552631578947,49.40526315789474,10.082631578947368,2,16,14,2.926829268292683,156,9.3860677984065,55.99481079219213,9338.355173026956,3.369460865110846,27.03,3.9499999999999993,False
2025,Atlético-GO,38,52,39.0,38.0,1.0,11,-10,1.368421052631579,Meio,28675000.0,17.171536220979707,2.0,1.5397127809903886,-0.17129172835880957,26.507267441860463,26.2,41,52.384929017045735,12.703247040330108,4,100.0,184.54941860465115,3800000.0,12875000.0,22.947880336002356,22.33138478164759,66.66666666666666,2,1.1226315789473684,1.1878947368421051,20.56710526315789,0.0905699649787851,0.1091330490091236,45.70167989934322,42.78342105263158,50.948157894736845,9.293947368421051,-8,9,17,1.7647058823529411,184,10.293032485834075,61.28839089499882,9559.756426336378,3.373146061574032,27.76,3.979999999999997,False
2025,Operário-PR,38,48,40.0,44.0,-4.0,12,-14,1.263157894736842,Meio,19100000.0,16.76519889301686,9.0,1.4329074741846686,-0.16974957944782654,29.449442659367687,26.64,41,60.594187919140445,22.428671009302214,6,100.0,179.62247609980562,2750000.0,14250000.0,9.915150349734395,53.45768334014374,57.8125,1,1.2244736842105264,0.9628947368421054,21.114473684210527,0.0993812274954521,0.0971179193785231,45.71418910466898,43.87842105263158,54.118947368421054,8.986052631578948,5,19,14,1.0416666666666667,154,8.567387916143273,55.33685748950727,9536.969552184886,2.5681944142099744,26.27,3.969999999999999,False
2025,Vila Nova,38,47,40.0,44.0,-4.0,13,-15,1.236842105263158,Meio,11175000.0,16.229189698463905,16.0,1.2920180639945489,-0.05517595873139092,28.18118572292801,26.195121951219512,37,63.06602761284784,11.195364475284356,2,100.0,183.19339836660617,3500000.0,9325000.0,11.586427259937526,34.18937930705582,50.0,3,1.0960526315789474,1.2244736842105264,20.39157894736842,0.0963892452576663,0.1010757626295002,54.387742123626914,47.02105263157895,45.44684210526316,10.362631578947369,3,19,16,6.097560975609756,217,8.41817929071545,54.07843501608407,9348.882756126864,3.131258041169956,27.3,2.66,False
