id_jogador,jogador,temporada_tm,lesao,de,ate,dias,jogos_perdidos,dias_2022,dias_2023,dias_2024,dias_2025,dias_2026
546033,Sabino,25/26,Problemas na panturrilha,2026-04-05,2026-04-17,13,3,0,0,0,0,13
834444,Victor Gabriel,25/26,Lesão nos adutores,2026-02-13,2026-02-28,16,3,0,0,0,0,0
834444,Victor Gabriel,24/25,Lesão nos ligamentos do tornozelo,2025-05-23,2025-07-01,40,4,0,0,0,40,0
834444,Victor Gabriel,24/25,Lesão na coxa,2025-03-17,2025-04-18,33,6,0,0,0,18,0
490613,Daniel Amorim,19/20,Lesão muscular,2019-08-03,2021-03-01,577,54,0,0,0,0,0
631808,Danilo Belão,24/25,Choque,2025-06-01,2025-07-12,42,4,0,0,0,42,0
631808,Danilo Belão,24/25,Problemas físicos,2025-05-17,2025-05-25,9,1,0,0,0,9,0
68804,Renatinho,13/14,Rotura muscular na coxa,2013-08-16,2013-09-13,29,4,0,0,0,0,0
68804,Renatinho,12/13,Lesão muscular,2013-04-22,2013-05-01,10,2,0,0,0,0,0
658665,Kleiton Pego,23/24,Lesão no joelho,2024-05-31,2024-07-12,43,10,0,0,43,0,0
685768,Allanzinho,25/26,Lesão na coxa,2025-09-14,2025-11-11,59,10,0,0,0,59,0
404199,Keké,25/26,Rotura do tendão de Aquiles,2025-07-16,2025-12-01,139,4,0,0,0,138,0
404199,Keké,24/25,Lesão na coxa,2025-06-01,2025-06-29,29,2,0,0,0,29,0
180271,Nenê Bonilha,22/23,Lesão desconhecida,2022-09-28,2023-01-14,109,7,64,0,0,0,0
180271,Nenê Bonilha,17/18,Lesão no cotovelo,2017-12-30,2018-02-12,45,9,0,0,0,0,0
600549,Zé Ricardo,24/25,inflamação no joelho,2025-01-22,2025-05-22,121,20,0,0,0,52,0
546532,Jordan,23/24,Lesão na cabeça,2023-10-12,2023-10-18,7,0,0,7,0,0,0
437777,Marcondes,24/25,Lesão do ligamento cruzado,2024-07-30,2026-01-22,542,78,0,0,124,244,0
437777,Marcondes,23/24,Rotura de ligamentos no joelho,2023-08-23,2024-06-09,292,45,0,100,70,0,0
437777,Marcondes,19/20,Rotura do menisco,2019-08-08,2020-02-01,178,27,0,0,0,0,0
644711,Moisés Lucas,25/26,Lesão do ligamento cruzado,2025-09-25,2026-03-01,158,11,0,0,0,67,0
371990,Patrick,18/19,Cirurgia Ligamento Cruzado,2019-03-29,2020-09-01,523,45,0,0,0,0,0
112962,Roger Carvalho,22/23,Lesão desconhecida,2022-09-20,2022-10-18,29,0,29,0,0,0,0
112962,Roger Carvalho,19/20,Lesão dos ligamentos laterais do joelho,2019-08-18,2020-02-01,168,25,0,0,0,0,0
112962,Roger Carvalho,12/13,Fratura,2012-11-02,2012-12-08,37,6,0,0,0,0,0
691310,Alan Grafite,25/26,Lesão tornozelo,2025-11-07,2025-11-25,19,2,0,0,0,19,0
401932,Christian Ebere,24/25,Operado ao joelho,2024-07-01,2024-12-31,184,27,0,0,153,0,0
639751,Neto Pessoa,25/26,Lesão no joelho,2026-01-02,2026-02-21,51,12,0,0,0,0,0
150479,Fabrício,24/25,Lesão na tíbia,2024-08-15,2025-01-10,149,20,0,0,108,0,0
277713,Alex Silva,17/18,Lesão meniscal,2017-10-26,2018-01-19,86,9,0,0,0,0,0
277713,Alex Silva,14/15,Problemas musculares na coxa,2015-02-28,2015-08-31,185,30,0,0,0,0,0
231039,Marlone,18/19,Lesão no pé,2018-10-28,2018-11-16,20,3,0,0,0,0,0
480225,Alesson,26/27,Lesão muscular,2026-07-24,2026-08-01,9,2,0,0,0,0,9
203323,Victor Andrade,17/18,Lesão muscular,2018-03-12,2018-03-26,15,1,0,0,0,0,0
203323,Victor Andrade,17/18,Lesão muscular,2018-01-25,2018-02-19,26,4,0,0,0,0,0
203323,Victor Andrade,16/17,Recuperação ritmo competitivo,2017-05-02,2017-08-28,119,10,0,0,0,0,0
203323,Victor Andrade,16/17,Rotura dos ligamentos cruzados,2016-10-26,2017-05-01,188,22,0,0,0,0,0
124546,Deivid,14/15,Lesão na coxa,2015-05-20,2015-07-21,63,12,0,0,0,0,0
698784,Doma,25/26,Lesão na coxa,2026-05-25,2026-07-16,53,4,0,0,0,0,53
371522,Matheus Mancini,22/23,Problemas musculares,2022-09-25,2022-12-31,98,13,67,0,0,0,0
347285,Renato Palm,24/25,Lesão do ligamento cruzado,2025-04-24,2026-03-24,335,52,0,0,0,221,0
458602,Ricardo Lima,24/25,Rotura parcial de ligamento,2024-09-30,2025-05-26,239,27,0,0,62,56,0
104509,André Felipe,20/21,Lesão desconhecida,2021-01-25,2021-01-30,6,1,0,0,0,0,0
104509,André Felipe,20/21,Fratura de um dedo,2020-10-12,2020-11-07,27,4,0,0,0,0,0
1108966,Jeh,26/27,Pequena lesão,2026-07-26,2026-08-03,9,2,0,0,0,0,9
1108966,Jeh,25/26,Lesão desconhecida,2026-02-08,2026-02-19,12,1,0,0,0,0,0
114340,Gabriel Silva,22/23,Lesão desconhecida,2022-08-25,2022-09-02,9,2,9,0,0,0,0
114340,Gabriel Silva,18/19,Achillessehnenanriss,2019-02-22,2019-09-01,192,15,0,0,0,0,0
114340,Gabriel Silva,16/17,Fratura de um dedo,2016-08-29,2016-10-01,34,4,0,0,0,0,0
114340,Gabriel Silva,14/15,Lesão na coxa,2014-08-25,2014-12-07,105,14,0,0,0,0,0
114340,Gabriel Silva,13/14,Lesão desconhecida,2014-03-09,2014-03-21,13,1,0,0,0,0,0
114340,Gabriel Silva,13/14,Lesão desconhecida,2014-01-27,2014-02-02,7,1,0,0,0,0,0
114340,Gabriel Silva,12/13,Lesão desconhecida,2012-11-02,2012-11-25,24,5,0,0,0,0,0
114340,Gabriel Silva,11/12,Distorção do tornozelo,2012-03-22,2012-04-29,39,6,0,0,0,0,0
1115489,Felipinho,25/26,Lesão muscular,2026-06-04,2026-07-29,56,2,0,0,0,0,56
1115489,Felipinho,25/26,Problemas musculares,2026-01-18,2026-02-18,32,7,0,0,0,0,0
1115489,Felipinho,23/24,Doente,2024-06-18,2024-08-06,50,14,0,0,50,0,0
68465,Wallyson,08/09,Problemas musculares na coxa,2009-05-25,2009-06-25,32,4,0,0,0,0,0
55484,Márcio Azevedo,15/16,Lesão no joelho,2015-11-02,2017-01-16,442,58,0,0,0,0,0
55484,Márcio Azevedo,15/16,Pequena lesão,2015-10-15,2015-10-22,8,2,0,0,0,0,0
55484,Márcio Azevedo,15/16,Pequena lesão,2015-09-17,2015-09-24,8,2,0,0,0,0,0
55484,Márcio Azevedo,15/16,Gestão de esforço,2015-08-20,2015-08-24,5,1,0,0,0,0,0
55484,Márcio Azevedo,15/16,Problemas físicos,2015-07-27,2015-08-17,22,4,0,0,0,0,0
55484,Márcio Azevedo,15/16,Pequena lesão,2015-07-13,2015-07-16,4,1,0,0,0,0,0
55484,Márcio Azevedo,14/15,Problemas físicos,2015-03-09,2015-06-29,113,15,0,0,0,0,0
55484,Márcio Azevedo,13/14,Pequena lesão,2014-04-28,2014-05-01,4,0,0,0,0,0,0
55484,Márcio Azevedo,13/14,Operado ao joelho,2013-09-02,2013-09-12,11,0,0,0,0,0,0
55484,Márcio Azevedo,12/13,Lesão meniscal,2013-05-06,2013-05-30,25,2,0,0,0,0,0
288502,Gustavo Hebling,15/16,Lesão no tornozelo,2016-01-28,2016-04-13,77,17,0,0,0,0,0
