ano,clube,distance_p90,hsr_distance_p90,sprint_distance_p90,sprint_count_p90,hi_count_p90,high_accel_p90,high_decel_p90,expl_accel_sprint_p90,cod_count_p90,psv99,psv99_top5,sprint_distance_p30tip,sprint_distance_p30otip,hsr_distance_p30tip,hsr_distance_p30otip,runs_p30tip,runs_penalty_area_p30tip,runs_dangerous_p30tip,distance_p90_pct,hsr_distance_p90_pct,sprint_distance_p90_pct,sprint_count_p90_pct,hi_count_p90_pct,high_accel_p90_pct,high_decel_p90_pct,expl_accel_sprint_p90_pct,cod_count_p90_pct,psv99_pct,psv99_top5_pct,sprint_distance_p30tip_pct,sprint_distance_p30otip_pct,hsr_distance_p30tip_pct,hsr_distance_p30otip_pct,runs_p30tip_pct,runs_penalty_area_p30tip_pct,runs_dangerous_p30tip_pct,pos,pontos,faixa,posto_valor,rendimento
2023,ABC,9541.09498190271,444.16093339007324,138.77522273318658,7.446367198832255,50.02579425370983,5.8950517782323075,13.765679797688609,1.2032657701148373,29.961984826645804,28.289066515360197,30.05764741017322,87.91922486856012,79.20016897820851,241.25497800412737,289.0598642482036,25.31218742478528,2.7601252427080807,7.219982831596818,40.0,15.0,10.0,5.0,10.0,10.0,10.0,40.0,30.0,10.0,5.0,25.0,5.0,20.0,10.0,80.0,40.0,50.0,20,28,Cai,15.0,-0.5097111342256536
2024,Santos,9591.412751908756,498.83954379646485,159.28683253341623,8.582355250756615,54.78722637029966,6.2390643311803595,14.450591037991142,1.2540935580140105,31.279127030380213,28.48180429868485,30.32918342224842,86.20787933708723,98.90183513422062,250.88450552431908,333.71493115004324,25.798370418917113,3.480612465214071,8.077532193790956,60.0,65.0,45.0,50.0,55.0,25.0,30.0,45.0,70.0,35.0,15.0,30.0,65.0,50.0,70.0,90.0,75.0,70.0,1,68,Sobe,1.0,0.03842289319675163
2024,Mirassol,9898.020718869473,519.3092060829663,165.38427266934693,8.7056265491618,57.25836998655555,5.875751043372637,15.303673453563428,1.2599723778773857,31.835976958205396,28.559898452849676,30.95905914780853,96.46557755619152,89.00701758303389,267.5489003235059,312.17059712081715,26.841005799129682,3.217217962632159,7.858028779495463,100.0,90.0,65.0,60.0,80.0,10.0,75.0,50.0,95.0,60.0,90.0,55.0,15.0,90.0,40.0,100.0,65.0,65.0,2,67,Sobe,9.0,0.36125256707631914
2024,Sport,9502.299580527102,485.01694384123533,154.12138035351967,8.652632338224484,56.04663609494964,6.271186727965605,14.283792066752822,1.3790635011602892,31.746537767625366,28.495534204308704,30.41721681286772,84.85503484754584,99.85374379886036,244.93966529315324,340.92246317868324,25.584191353247178,3.9528472387130598,8.974648616934877,30.0,45.0,20.0,55.0,75.0,30.0,20.0,80.0,90.0,40.0,30.0,20.0,70.0,35.0,80.0,85.0,95.0,85.0,3,66,Sobe,6.0,0.2793206962410859
2024,Ceará,9201.57091921869,443.685549964548,171.77431496564907,8.979369987407447,54.22855085501766,6.478474710180157,14.590643006233831,1.632020531406818,28.00834088940357,29.120887729232656,31.477761513518285,112.47487896559095,96.8123098747905,251.52341059529556,288.4859497552285,23.51233814809503,3.652350820743353,7.630234669087794,15.0,10.0,70.0,75.0,45.0,55.0,40.0,100.0,20.0,95.0,100.0,95.0,50.0,55.0,10.0,55.0,90.0,55.0,4,64,Sobe,4.0,0.18345478256664194
2024,Novorizontino,9746.090949028214,529.7916821711349,181.34406497822232,9.569216469624173,59.475497374806004,6.581631178514845,15.573570478778374,1.249738366853871,30.867524883704093,28.697980308647555,30.708773792835707,131.91539800202847,91.89681203862344,333.23662922247496,307.4912007273889,25.963661690091193,4.018126917390302,9.262253939940482,80.0,100.0,100.0,100.0,100.0,80.0,95.0,40.0,60.0,70.0,65.0,100.0,30.0,100.0,30.0,95.0,100.0,100.0,5,64,Meio,16.0,0.3963412340840158
2024,Goiás,9330.106613727916,476.08081149041413,176.51525619301967,8.802925481530611,54.25905428845889,6.812126389052048,14.223376747792907,1.6006246812224998,27.980785140618988,29.193972209293516,31.35547423682994,107.64574995055696,105.29453178273704,248.03786549931525,311.9160635253096,20.93285193407793,3.1777095678603877,7.323212232580065,20.0,30.0,95.0,70.0,50.0,90.0,15.0,95.0,15.0,100.0,95.0,85.0,85.0,45.0,35.0,5.0,55.0,40.0,6,63,Meio,3.0,0.11749536721150822
2024,América-MG,9760.007974987117,515.1877423753702,159.6186833232955,8.363822276430083,55.43545870406129,5.994353703192037,15.086185849574997,1.048558282160974,30.672972030088737,28.414729206895696,30.270856699801936,77.10741729636092,105.59396873467158,234.4504232546552,356.19063078599504,24.373520182295714,2.762367612863769,6.864414357184103,85.0,85.0,50.0,35.0,70.0,15.0,60.0,10.0,55.0,20.0,10.0,10.0,90.0,15.0,90.0,65.0,25.0,35.0,7,58,Meio,5.0,0.040881277783413106
2024,Operário-PR,9544.92999446376,479.8352010171965,155.60894375197645,8.120986726747718,53.58979595918717,6.301570601514232,14.836916419419236,1.2172682684971297,29.168162009187938,28.555625506065187,30.468703200010978,74.45551586777727,111.25493869015632,212.16610344575813,378.1822386124676,21.997349446244602,2.470118223252383,6.324261006854017,40.0,35.0,25.0,25.0,30.0,35.0,50.0,35.0,40.0,55.0,40.0,5.0,95.0,5.0,95.0,10.0,15.0,15.0,8,55,Meio,12.0,0.16606984111002765
2024,Vila Nova,9090.665341648142,449.42500196793793,164.22736534604198,8.771313821535749,53.57565856018567,6.890421817079909,15.405866896460292,1.489487747305061,27.355405854916658,28.83515044308734,30.670684439516464,106.33618679053941,95.98380375027334,255.2412209169592,295.52312110824346,23.00085305891246,3.5344540375440543,8.995415985578784,5.0,15.0,60.0,65.0,25.0,100.0,80.0,85.0,5.0,85.0,60.0,80.0,45.0,65.0,25.0,40.0,85.0,95.0,9,55,Meio,13.0,0.1349905938984619
