posicao,indicador,qtd_jogadores_liga,liga_p25,liga_mediana,liga_p75,titulares_mediana,qtd_titulares,ref_mediana,qtd_titulares_referencia,outros_titulares_mediana,ref_vs_outros_pct
MEI,Sprints/90,104,6.18,7.7,9.62,6.88,14,6.56,6,7.13,-7.92
MEI,Ações alta intensidade/90,104,48.7,56.36,65.47,52.57,14,49.86,6,56.75,-12.14
MEI,Acelerações fortes/90,104,4.91,5.86,6.66,5.56,14,5.53,6,5.62,-1.51
MEI,Desacelerações fortes/90,104,12.0,14.38,16.0,13.22,14,11.84,6,14.1,-16.06
MEI,Arrancadas explosivas/90,104,0.55,0.9,1.33,0.9,14,0.98,6,0.76,28.1
MEI,Mudanças de direção/90,104,29.67,34.44,40.34,31.45,14,28.05,6,34.17,-17.92
MEI,PSV-99 (km/h),104,26.86,27.74,28.4,28.04,14,27.64,6,28.16,-1.81
MEI,PSV-99 top5 (km/h),104,28.42,29.44,30.63,29.93,14,30.12,6,29.93,0.63
MEI,Sprint/30min com bola (m),104,67.16,88.44,119.09,104.52,14,80.03,6,109.15,-26.68
MEI,Sprint/30min sem bola (m),104,60.08,75.65,103.63,64.42,14,56.78,6,64.42,-11.86
MEI,Alta vel./30min com bola (m),104,272.97,324.12,372.27,326.92,14,312.66,6,349.12,-10.44
MEI,Alta vel./30min sem bola (m),104,270.7,320.62,388.15,300.0,14,269.39,6,322.14,-16.37
MEI,Corridas sem bola/30min posse,104,29.49,35.07,40.32,33.79,14,31.76,6,35.2,-9.77
MEI,Corridas p/ área/30min posse,104,2.98,4.08,5.9,4.0,14,3.74,6,4.41,-15.08
MEI,Corridas perigosas/30min posse,104,8.7,11.97,14.52,11.34,14,10.41,6,12.41,-16.12
ED,Distância/90 (m),207,9544.62,9969.71,10236.01,9491.32,26,9682.4,10,9419.17,2.79
ED,Alta velocidade/90 (m),207,551.1,624.56,690.67,562.07,26,589.78,10,543.24,8.57
ED,Sprint/90 (m),207,195.85,236.45,290.52,196.89,26,184.82,10,206.35,-10.43
ED,Sprints/90,207,10.34,12.05,14.82,10.26,26,10.02,10,11.46,-12.57
ED,Ações alta intensidade/90,207,64.65,72.76,82.74,65.06,26,63.81,10,67.35,-5.26
ED,Acelerações fortes/90,207,7.14,8.29,9.49,7.65,26,7.08,10,8.19,-13.55
