ano,clube,duelos_def_cru,duelos_def_padj,duelos_def_pct,aereos_pct,duelos_pct,intercep_padj,duelos_of_padj,duelos_of_pct,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,posse
2022,Londrina,4.608333333333333,4.235095510604194,59.955000000000005,45.565,49.76833333333334,3.2977072818556348,5.9273782425190875,44.465,37,52,35.0,36.0,-1.0,9,-10,1.4054054054054055,Meio,7200000.0,15.789591583986283,15.0,1.176470197094437,0.22893520831096859,45.593513513513514
2022,Novorizontino,5.25,5.202465890599574,57.77,50.43,53.86333333333334,3.6136493233751956,5.617997422059804,50.46666666666667,38,44,44.0,49.0,-5.0,15,-18,1.1578947368421053,Meio,11300000.0,16.240313283682568,11.0,1.2949418857807853,-0.13704714893867997,49.54315789473684
2022,Náutico,5.2299999999999995,5.222303973092285,51.525000000000006,41.519999999999996,45.79,2.5412549926424215,5.402962260172886,39.07,38,30,32.0,65.0,-33.0,20,-32,0.7894736842105263,Cai,13925000.0,16.449196343777622,8.0,1.349846561735168,-0.5603728775246417,49.92631578947368
2022,Operário-PR,6.4625,6.4499395913221615,64.3275,45.6325,56.0025,4.291642590744339,3.1235827664399096,50.375,38,34,31.0,53.0,-22.0,19,-28,0.8947368421052632,Cai,10925000.0,16.206564298945928,13.0,1.2860710033362661,-0.39133416123100295,49.902631578947364
2022,Ponte Preta,6.343999999999999,6.884113014226726,62.464,47.562,50.266,4.090968799438014,3.8202696833197494,44.660000000000004,38,49,34.0,36.0,-2.0,12,-13,1.2894736842105263,Meio,20500000.0,16.835935444108635,5.0,1.4515004965870464,-0.16202681237652006,53.92289473684211
2022,Sampaio Corrêa,5.31375,4.7443527581848,58.56125,45.65625,47.74875,2.7946034595376945,8.402139392453213,43.16,38,58,48.0,42.0,6.0,5,-4,1.5263157894736843,Meio,4500000.0,15.319587954740548,18.0,1.0529302750472498,0.4733855144264345,43.99921052631579
2022,Sport,5.6259999999999994,6.138605901202522,66.39200000000001,56.54,57.976,4.899100692570089,3.6824924951181837,51.132000000000005,38,57,37.0,31.0,6.0,7,-5,1.5,Meio,16300000.0,16.60667566577699,6.0,1.3912398233043755,0.10876017669562454,54.17526315789473
2022,Tombense,5.466666666666666,5.287879183986475,58.92666666666667,47.395,50.935,3.616071039537093,6.575661790073382,49.27666666666667,37,44,37.0,46.0,-9.0,16,-18,1.1891891891891893,Meio,3950000.0,15.189226136877304,20.0,1.0186648187515188,0.17052437043767044,48.30945945945946
2022,Vasco,6.145714285714286,6.312326482069976,62.30428571428571,51.53142857142858,54.15571428571428,4.055618409214647,4.970240384439292,52.59571428571429,38,62,48.0,36.0,12.0,4,0,1.631578947368421,Sobe,31125000.0,17.253521912749147,2.0,1.5612626272893104,0.0703163200791106,51.319736842105264
2022,Vila Nova,6.68,6.274129842652417,67.8275,57.79,57.9825,4.853527838608737,5.150695800437795,47.075,38,47,28.0,31.0,-3.0,13,-15,1.236842105263158,Meio,8900000.0,16.00156183470237,14.0,1.2321863376098037,0.0046557676533542924,46.76552631578947
2023,ABC,6.36,5.982859434490066,58.82,42.11,53.64,3.2736400679285267,4.27978407284452,47.66,38,28,28.0,51.0,-23.0,20,-36,0.7368421052631579,Cai,9400000.0,16.056220247240233,15.0,1.2465532394888115,-0.5097111342256536,46.84815789473684
