ano,clube,duelos_def_cru,duelos_def_padj,duelos_def_pct,aereos_pct,duelos_pct,intercep_padj,duelos_of_padj,duelos_of_pct,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,posse
2022,Ponte Preta,7.109999999999999,7.715328425465325,65.5,51.995,55.915,4.904822008875284,2.74465977248215,49.33,38,49,34.0,36.0,-2.0,12,-13,1.2894736842105263,Meio,20500000.0,16.835935444108635,5.0,1.4515004965870464,-0.16202681237652006,53.92289473684211
2022,Sampaio Corrêa,6.623333333333332,5.913607107669222,63.873333333333335,58.16,57.51666666666667,4.047561986124882,4.303107511897143,49.306666666666665,38,58,48.0,42.0,6.0,5,-4,1.5263157894736843,Meio,4500000.0,15.319587954740548,18.0,1.0529302750472498,0.4733855144264345,43.99921052631579
2022,Sport,4.22,4.6044999827718875,72.16,64.985,65.38,5.362824032067257,1.4674594153478477,58.905,38,57,37.0,31.0,6.0,7,-5,1.5,Meio,16300000.0,16.60667566577699,6.0,1.3912398233043755,0.10876017669562454,54.17526315789473
2022,Tombense,5.345000000000001,5.170191628977021,66.095,57.885000000000005,62.254999999999995,4.347990902198635,3.4879297323002043,62.46000000000001,37,44,37.0,46.0,-9.0,16,-18,1.1891891891891893,Meio,3950000.0,15.189226136877304,20.0,1.0186648187515188,0.17052437043767044,48.30945945945946
2022,Vasco,6.2725,6.442549395896965,65.475,55.5225,59.2275,4.942968348785037,3.0714304027895287,59.93,38,62,48.0,36.0,12.0,4,0,1.631578947368421,Sobe,31125000.0,17.253521912749147,2.0,1.5612626272893104,0.0703163200791106,51.319736842105264
2022,Vila Nova,5.395,5.067205164836794,70.815,57.61,59.295,4.423825083666599,3.854334895812818,43.375,38,47,28.0,31.0,-3.0,13,-15,1.236842105263158,Meio,8900000.0,16.00156183470237,14.0,1.2321863376098037,0.0046557676533542924,46.76552631578947
2023,Atlético-GO,6.755000000000001,7.400306748466257,58.519999999999996,57.955,55.385000000000005,4.157537248028046,4.097682119205299,50.195,38,64,56.0,45.0,11.0,4,0,1.6842105263157894,Sobe,24525000.0,17.0152035634157,2.0,1.4986209188703423,0.18558960744544706,54.35999999999999
2023,Botafogo-SP,4.4799999999999995,4.033874690184965,61.303333333333335,51.67666666666667,57.093333333333334,3.781757522048404,2.035067786279418,56.85666666666666,38,47,25.0,42.0,-17.0,12,-17,1.236842105263158,Meio,8600000.0,15.967272761223736,16.0,1.223173493450667,0.013668611812490905,44.470263157894735
2023,CRB,10.49,10.526621562382816,60.39,60.47,58.87,4.646163759183264,4.5441909986835265,61.94,38,57,45.0,39.0,6.0,10,-7,1.5,Meio,13900000.0,16.44739939810092,10.5,1.3493742365976384,0.15062576340236156,50.173947368421054
2023,Ceará,5.28,5.6710646813417895,67.39,60.31,60.27,5.091069429840925,1.7867869346436767,38.0,38,50,40.0,45.0,-5.0,11,-14,1.3157894736842106,Meio,35475000.0,17.38433878101038,1.0,1.5956476930671757,-0.27985821938296507,53.4478947368421
2023,Criciúma,5.613333333333333,5.463182086718368,65.95,56.333333333333336,59.21,4.288792588267032,2.2107610213337088,41.75333333333333,38,64,45.0,33.0,12.0,3,0,1.6842105263157894,Sobe,10900000.0,16.204273347199372,12.0,1.2854688292623395,0.39874169705344986,48.62578947368421
