ano,Equipa,treinador,jogos,pontos,ppj,primeiro,ultimo,xg,xg_sof,dist_rem,dist_rem_sof,ppda,posse,ppj_esperado,posto_valor,pos_final_clube,pos_ao_assumir,pos_ao_sair,rendimento,temporada_inteira,ppj_vs_liga
2022,Náutico,Dado Cavalcanti,13,9,0.6923076923076923,26,38,0.7861538461538462,1.8169230769230766,22.603846153846156,19.641538461538463,9.646153846153847,51.923846153846156,1.349846561735168,8.0,20.0,20.0,18.0,-0.6575388694274757,False,-0.6776923076923078
2020,Confiança,Daniel Paulista,22,31,1.4090909090909092,10,31,1.2863636363636364,0.9731818181818181,20.374545454545455,20.373181818181816,9.15409090909091,51.83681818181819,,,,15.0,13.0,,False,0.039090909090909065
2021,Guarani,Daniel Paulista,38,60,1.5789473684210527,1,38,1.29,1.0142105263157895,19.94263157894737,21.15473684210526,8.963684210526315,50.61763157894737,,,,,6.0,,True,0.20894736842105255
2022,CRB,Daniel Paulista,30,46,1.5333333333333334,8,37,0.9420000000000001,1.3263333333333334,20.864666666666665,20.308666666666667,10.575,49.07,1.3851220405091595,7.0,11.0,20.0,10.0,0.1482112928241739,False,0.16333333333333333
2023,CRB,Daniel Paulista,30,52,1.7333333333333334,9,38,1.2196666666666667,1.2343333333333333,20.001666666666665,20.896333333333335,9.276333333333334,50.535999999999994,1.3493742365976384,10.5,10.0,18.0,9.0,0.38395909673569495,False,0.3633333333333333
2024,CRB,Daniel Paulista,24,25,1.0416666666666667,1,24,1.0954166666666667,1.3445833333333332,21.456666666666667,20.255,8.727916666666667,54.9575,1.3450846766391535,11.0,16.0,,16.0,-0.3034180099724868,False,-0.32833333333333337
2025,Remo,Daniel Paulista,10,17,1.7,1,10,1.4929999999999999,1.356,17.694,20.676,12.459,46.344,1.5301450992568304,3.0,4.0,,6.0,0.16985490074316956,False,0.32999999999999985
2026,Ceará,Daniel Paulista,12,14,1.1666666666666667,15,26,1.1383333333333334,1.7375,19.1675,18.6025,9.303333333333333,53.405,1.3421855788493735,4.0,16.0,,15.0,-0.17551891218270677,False,-0.20333333333333337
2026,Goiás,Daniel Paulista,14,18,1.2857142857142858,1,14,1.3228571428571427,1.305,19.294999999999998,19.645,9.706428571428571,53.394999999999996,1.3214701492649503,6.0,13.0,,12.0,-0.03575586355066451,False,-0.0842857142857143
2018,CRB,Doriva,14,17,1.2142857142857142,14,27,1.0542857142857143,0.8257142857142857,22.919285714285714,21.545714285714286,8.802142857142858,49.550714285714285,,,,18.0,17.0,,False,-0.15571428571428592
