mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nascido_em,passaporte,aderencia,aderencia_ajustada,nivel_overall,rank_na_liga,nota,nota_completa,nivel_bola_parada,nivel_fisico,criterios_com_dado,posse_est,Duelos def/90 PAdj,Aéreos/90 PAdj,Duelos of/90 PAdj,xG per 90,Goals per 90,xG,Goals,sul_americano,ocupa_vaga_estrangeiro,On loan,livre_2027,contrato_vencido,nivel
Exterior,Mexico,ZE,F. Pereira,Toluca,26.0,3128,2028-06-30,0,Uruguay,Uruguay,75.8,53.7,64.09,2.0,58.9,True,0.0,24.08,7,60.84802556037767,8.2,5.91,1.21,0.14,0.09,5.01,3,True,True,sim,False,False,N1
Exterior,Israel,ZE,Heitor,Maccabi Tel Aviv,26.0,1775,2028-06-30,250000,Brazil,Brazil,82.0,55.6,60.86,6.0,58.2,True,0.0,,7,50.190992568159956,4.18,3.81,1.71,0.08,0.05,1.66,1,True,False,sim,False,False,N1
Exterior,Israel,ZE,Chico,Hapoel Tel Aviv,27.0,3055,2029-06-30,500000,Brazil,Brazil,73.5,53.0,62.11,4.0,57.6,True,0.0,,7,46.3700005826133,3.24,2.33,1.47,0.06,0.06,2.12,2,True,False,sim,False,False,N1
Exterior,França B,ZE,J. Guevara,Bastia,24.0,2172,2026-06-30,0,Colombia,Colombia,81.8,55.5,59.31,9.0,57.4,True,0.0,,7,44.47797197062894,5.64,4.77,3.63,0.11,0.04,2.62,1,True,True,sim,True,True,N1/N2
Exterior,Mexico,ZE,S. Homenchenko,Querétaro,22.0,2721,2027-12-31,500000,Uruguay,Uruguay,69.1,51.7,60.2,6.0,56.0,True,0.0,23.28,7,34.876233839897836,5.77,2.03,4.21,0.17,0.2,5.08,6,True,True,sim,False,False,N2 jovem
Exterior,Holanda,ZE,R. Hillen,NAC Breda,23.0,2070,2029-06-30,500000,Netherlands,"Netherlands, Brazil",76.1,53.8,56.91,16.0,55.4,True,0.0,31.64,7,48.50124634524693,5.86,4.89,2.56,0.09,0.0,1.99,0,True,False,sim,False,False,N2 jovem
Exterior,China,ZE,Lucas Maia,Henan,33.0,1533,,800000,Brazil,Brazil,66.7,51.0,59.31,7.0,55.2,True,0.0,25.64,7,48.653518274213674,4.58,6.69,0.3,0.12,0.06,2.12,1,True,False,sim,True,False,N1
Exterior,Espanha B,ZE,A. Sienra,Castellón,26.0,1879,2026-06-30,125000,Argentina,Argentina,56.6,48.0,62.13,7.0,55.1,True,0.0,36.59,7,53.53221220865907,6.6,4.33,1.17,0.08,0.05,1.6,1,True,True,sim,True,True,N1
Exterior,Portugal C,ZE,Tiago Caveira,Sporting Covilhã,25.0,916,,0,Brazil,Brazil,68.4,51.5,58.1,5.0,54.8,True,0.0,,7,46.411329838942855,2.57,6.51,2.22,0.03,0.0,0.31,0,True,False,sim,True,False,N1/N2
Exterior,EUA,ZE,M. Laborda,Vancouver Whitecaps,26.0,1644,2026-12-31,1500000,Uruguay,Uruguay,68.4,51.5,57.71,3.0,54.6,True,0.0,34.92,7,56.409119883795775,5.02,3.52,1.21,0.16,0.16,3.01,3,True,True,sim,True,False,N1
