ordem,pos11,jogador,clube,liga,mercado_l,idade,minutos,contrato,livre,valor,nota,aderencia_ajustada,nivel_overall,psv,sofa_vmax,tipo,tipo_pref,bp,sofa_nota,sofa_xgxa,scouts,score
4,ZE,Wallace,Botafogo-SP,Série B,Série B,31.0,1046,2026-11-30,True,1000000.0,64.4,72.5,56.4,,34.0,,False,0.0,6.669,0.043,,64.4
5,ZE,S. Morales,Aucas,Equador A,Sul-americanas,24.0,1911,2026-12-31,True,0.0,60.8,56.3,65.3,27.17,,Baixa intensidade,False,92.4,,,,63.8
6,ZE,J. Díaz,Universidad Católica,Chile,Sul-americanas,28.0,1229,,True,500000.0,60.4,54.3,66.4,28.93,,Motor de volume,True,0.0,,,,63.4
7,ZE,Patrick,Novorizontino,Série B,Série B,27.0,2357,2027-12-31,False,,63.1,69.2,57.0,,34.33,,False,0.0,7.115,0.08600000000000001,,63.1
8,ZE,T. Viera Alegre,Nacional,Uruguai,Sul-americanas,20.0,1079,2028-12-31,False,0.0,58.4,51.0,65.7,28.41,,Motor de volume,True,0.0,,,,61.4
9,ZE,Luiz Otávio,Ceará,Série B,Série B,33.0,1988,2026-12-31,True,900000.0,58.4,66.7,50.2,,33.42,,False,92.5,6.926,0.109,,61.4
10,ZE,Marcos Paulo,Juventude,Série B,Série B,23.0,2295,2028-12-31,False,,61.3,70.5,,,32.86,,False,0.0,7.104,0.11699999999999999,,61.3
1,LE,Samuel Toscas,Al Riffa,Bahrain,Exterior,26.0,2048,2031-06-30,False,0.0,71.3,59.4,83.2,,,,False,0.0,,,,71.3
2,LE,M. Del Blanco,Unión Santa Fe,Argentina A,Sul-americanas,22.0,1700,2031-06-30,False,0.0,63.1,55.7,70.6,29.39,,Explosivo e rápido,True,93.4,,,,69.1
3,LE,Patrick Brey,Botafogo-SP,Série B,Série B,29.0,2301,2026-11-30,True,125000.0,68.6,72.3,64.8,28.6,33.69,Médio em tudo,False,84.5,6.962,0.302,,68.6
4,LE,J. Carabalí,Universitario,Peru,Sul-americanas,29.0,1077,2029-12-31,False,600000.0,64.5,56.6,72.5,31.03,,Explosivo e rápido,True,0.0,,,,67.5
5,LE,Felipinho,Sport,Série B,Série B,29.0,2169,2027-12-31,False,500000.0,61.0,66.5,55.6,30.6,34.72,Explosivo e rápido,True,0.0,7.048,0.245,média ≥7,67.0
