mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nascido_em,passaporte,aderencia,aderencia_ajustada,nivel_overall,rank_na_liga,nota,nota_completa,nivel_bola_parada,nivel_fisico,criterios_com_dado,posse_est,Duelos def/90 PAdj,Aéreos/90 PAdj,Duelos of/90 PAdj,xG per 90,Goals per 90,xG,Goals,sul_americano,ocupa_vaga_estrangeiro,On loan,livre_2027,contrato_vencido,nivel
Sul-americano,Venezuela,LE,J. Yendis,Caracas,28.0,1211,,225000,Venezuela,Venezuela,80.0,55.0,57.11,2.0,56.1,True,0.0,,6,56.97807865195156,6.22,2.34,4.69,0.04,0.22,0.55,3,True,True,sim,True,False,N1
Sul-americano,Venezuela,VOL,M. Cova,Carabobo,34.0,1598,2026-12-31,0,Venezuela,Venezuela,62.8,49.8,74.93,1.0,62.4,True,0.0,,6,56.39110341896443,6.33,1.62,4.29,0.12,0.06,2.12,1,True,True,sim,True,False,N1
Sul-americano,Peru,VOL,D. Carabaño,Sport Huancayo,28.0,1003,2027-12-31,375000,Peru,Peru,46.5,45.0,73.89,2.0,59.4,True,0.0,25.09,6,53.07524857278618,3.25,1.25,1.36,0.08,0.0,0.84,0,True,True,sim,False,False,N1
Sul-americano,Colombia B,VOL,J. Mercado,Unión Magdalena,22.0,1344,,0,Colombia,Colombia,51.4,46.4,72.21,1.0,59.3,True,0.0,,6,55.5606451348963,5.81,1.88,5.18,0.09,0.0,1.35,0,True,True,sim,True,False,N2 jovem
Sul-americano,Equador A,VOL,S. Vasquez,Orense,22.0,2439,,0,Ecuador,Ecuador,46.1,44.8,72.82,1.0,58.8,True,0.0,27.68,6,54.63068011040652,4.52,1.06,7.46,0.11,0.15,2.94,4,True,True,sim,True,False,N2 jovem
Sul-americano,Colombia B,VOL,K. Salazar,Unión Magdalena,28.0,1413,,300000,Colombia,Colombia,87.3,57.2,59.79,2.0,58.5,True,0.0,,6,55.5606451348963,9.38,1.64,3.44,0.06,0.0,1.02,0,True,True,sim,True,False,N1
Sul-americano,Equador B,VOL,K. Charcopa,San Antonio,19.0,1506,,0,Ecuador,Ecuador,47.4,45.2,71.77,1.0,58.5,True,0.0,,6,53.27617328413389,5.76,1.66,8.3,0.03,0.06,0.56,1,True,True,sim,True,False,N2 jovem
Sul-americano,Colombia A,VOL,L. Flores,Atlético Bucaramanga,31.0,1181,2027-12-31,400000,Venezuela,Venezuela,60.1,49.0,66.6,1.0,57.8,True,0.0,21.18,6,55.146427251599086,7.22,1.27,4.35,0.02,0.08,0.23,1,True,True,sim,False,False,N1
Sul-americano,Argentina B,VOL,G. Hachen,San Martín San Juan,35.0,1000,2026-12-31,300000,Argentina,Argentina,29.5,39.8,75.36,1.0,57.6,True,0.0,,6,56.976689800376235,4.5,1.26,7.35,0.1,0.09,1.07,1,True,True,sim,True,False,N1
Sul-americano,Paraguai,VOL,R. Piris Da Motta,Cerro Porteño,32.0,1447,2027-12-31,1000000,Paraguay,Paraguay,41.7,43.5,68.22,1.0,55.9,True,0.0,29.65,6,53.44127747898634,6.95,3.07,3.49,0.08,0.0,1.32,0,True,True,sim,False,False,N1
Sul-americano,Paraguai,VOL,Á. Cardozo Lucena,Nacional Asunción,31.0,1805,2026-12-31,1500000,Paraguay,Paraguay,45.3,44.6,65.4,2.0,55.0,True,0.0,17.87,6,52.22182422455572,7.2,2.55,4.11,0.07,0.05,1.38,1,True,True,sim,True,False,N1
Sul-americano,Uruguai,VOL,P. Siles,Torque,29.0,1264,2026-12-31,350000,Uruguay,Uruguay,42.1,43.6,65.93,1.0,54.8,True,0.0,18.01,6,51.902430846231404,6.36,1.4,3.08,0.0,0.0,0.06,0,True,True,sim,True,False,N1
Sul-americano,Bolivia,VOL,M. Abisab,Blooming,32.0,1161,2026-12-31,275000,Uruguay,Uruguay,64.6,50.4,57.06,2.0,53.7,True,0.0,,6,65.8746682957608,11.47,0.91,4.47,0.05,0.0,0.61,0,True,True,sim,True,False,N1
Sul-americano,Argentina B,MED,E. Hoyos,Ferro Carril Oeste,26.0,1388,2027-12-31,0,Argentina,Argentina,82.5,55.8,74.34,1.0,65.1,True,0.0,,6,47.65504764465053,4.71,3.47,12.11,0.14,0.19,2.21,3,True,True,sim,False,False,N1
Sul-americano,Peru,MED,F. Gaibor,Alianza Lima,34.0,1236,2026-12-31,650000,Ecuador,Ecuador,84.8,56.4,70.12,2.0,63.3,True,0.0,38.79,6,57.00345105471285,5.0,1.27,3.83,0.08,0.22,1.06,3,True,True,sim,True,False,N1
Sul-americano,Peru,MED,J. Concha,Universitario,27.0,1616,2026-12-31,0,Peru,Peru,78.8,54.6,70.86,1.0,62.7,True,0.0,42.82,6,57.87477079232248,4.83,1.39,6.74,0.06,0.11,1.07,2,True,True,sim,True,False,N1
Sul-americano,Chile,MED,J. Meneses,Deportes Limache,33.0,1762,2026-12-31,0,Chile,Chile,83.5,56.0,67.53,1.0,61.8,True,0.0,48.85,6,44.954056623142755,5.52,1.06,11.7,0.09,0.31,1.73,6,True,True,sim,True,False,N1
Sul-americano,Argentina B,MED,F. Rodríguez,Los Andes,26.0,1343,,0,Argentina,Argentina,93.3,59.0,63.83,2.0,61.4,True,0.0,,6,51.577392026622086,6.92,1.1,2.79,0.09,0.07,1.39,1,True,True,sim,True,False,N1
Sul-americano,Paraguai,MED,A. Molinas,Club Libertad,20.0,997,2026-12-31,0,Paraguay,Paraguay,74.2,53.3,67.77,2.0,60.5,True,0.0,38.06,6,54.848652900990636,7.4,2.5,8.72,0.11,0.18,1.26,2,True,True,sim,True,False,N2 jovem
Sul-americano,Venezuela,MED,J. Castellanos,Deportivo La Guaira,30.0,941,2026-12-31,300000,Venezuela,Venezuela,86.4,56.9,63.8,1.0,60.4,True,0.0,,6,55.980123928115255,3.69,0.98,3.93,0.32,0.57,3.36,6,True,True,sim,True,False,N1
Sul-americano,Argentina A,MED,A. Molinas,Defensa y Justicia,25.0,1465,2027-12-31,0,Argentina,"Argentina, Italy",89.7,57.9,62.26,1.0,60.1,True,0.0,34.74,6,49.3828160631,3.09,0.67,5.54,0.22,0.18,3.52,3,True,True,sim,False,False,N1/N2
Sul-americano,Colombia B,MED,A. Alfonso,Bogotá,21.0,1219,,0,Colombia,Colombia,91.3,58.4,59.87,3.0,59.1,True,0.0,,6,53.57900577058908,6.68,1.83,6.13,0.14,0.0,1.87,0,True,True,sim,True,False,N2 jovem
Sul-americano,Chile,MED,Víctor Méndez,Colo Colo,26.0,1876,2027-12-31,0,Chile,Chile,76.8,54.0,62.76,2.0,58.4,True,0.0,38.74,6,68.21443551819354,5.43,1.29,2.95,0.1,0.1,1.99,2,True,True,sim,False,False,N1
Sul-americano,Paraguai,MED,M. Acosta,Rubio Ñú,25.0,1265,2026-12-31,250000,Paraguay,Paraguay,88.5,57.6,58.32,3.0,58.0,True,0.0,48.62,6,44.556550616462474,3.98,4.04,5.82,0.13,0.14,1.79,2,True,True,sim,True,False,N1/N2
Sul-americano,Peru,MED,J. Vélez,Alianza Lima,31.0,1929,2028-12-31,700000,Ecuador,Ecuador,82.6,55.8,59.77,3.0,57.8,True,0.0,45.31,6,57.00345105471285,7.11,3.2,8.96,0.13,0.19,2.86,4,True,True,sim,False,False,N1
Sul-americano,Paraguai,MEI,F. Carrizo,Club Libertad,35.0,1335,2026-12-31,500000,Argentina,Argentina,49.4,45.8,90.93,1.0,68.4,True,51.22,33.8,7,54.848652900990636,3.13,0.74,3.93,0.12,0.27,1.84,4,True,True,sim,True,False,N1
Sul-americano,Colombia B,MEI,K. Álvarez,Patriotas Boyacá,21.0,1369,,0,Colombia,Colombia,64.6,50.4,73.92,1.0,62.2,True,84.74,,7,61.35148493938682,2.64,0.43,6.97,0.33,0.53,5.04,8,True,True,sim,True,False,N2 jovem
Sul-americano,Equador A,MEI,M. Díaz,Universidad Católica,35.0,1528,,300000,Argentina,"Argentina, United States",77.8,54.3,69.49,1.0,61.9,True,39.32,20.38,7,59.56245011128337,3.5,0.73,5.93,0.13,0.12,2.27,2,True,True,sim,True,False,N1
Sul-americano,Peru,MEI,N. Quagliata,Melgar,27.0,1510,2029-12-31,0,Uruguay,"Uruguay, Italy",88.0,57.4,65.64,2.0,61.5,True,69.87,37.38,7,58.93784586657747,3.48,0.44,6.68,0.28,0.3,4.67,5,True,True,sim,False,False,N1
Sul-americano,Colombia B,MEI,J. Barrera,Real Cartagena,30.0,1042,2026-12-31,700000,Colombia,Colombia,82.3,55.7,66.57,2.0,61.1,True,40.54,,7,54.483535444145254,3.03,1.7,8.87,0.22,0.09,2.6,1,True,True,sim,True,False,N1
Sul-americano,Peru,MEI,A. Hohberg,Cienciano,35.0,1787,2027-12-31,400000,Peru,"Peru, Uruguay",78.9,54.7,67.43,1.0,61.1,True,88.57,34.76,7,47.40525893143292,1.67,1.34,4.62,0.66,0.6,13.18,12,True,True,sim,False,False,N1
Sul-americano,Colombia A,MEI,E. Cardona,Atlético Nacional,33.0,1128,2027-06-30,800000,Colombia,Colombia,72.7,52.8,67.52,1.0,60.2,True,45.85,25.45,7,56.687399673222785,3.59,1.48,6.12,0.12,0.32,1.53,4,True,True,sim,True,False,N1
Sul-americano,Venezuela,MEI,L. González,Monagas,35.0,915,2026-12-31,500000,Venezuela,Venezuela,75.9,53.8,65.78,2.0,59.8,True,55.12,,7,58.08077883589426,2.58,0.7,7.2,0.39,0.39,3.96,4,True,True,sim,True,False,N1
Sul-americano,Equador A,MEI,D. Pazmiño,Leones del Norte,26.0,1106,2026-12-31,50000,Ecuador,Ecuador,78.8,54.6,64.51,2.0,59.6,True,27.81,35.78,7,43.87633206204592,3.99,0.87,7.98,0.26,0.33,3.21,4,True,True,sim,True,False,N1
Sul-americano,Chile,MEI,M. Palavecino,Universidad Católica,28.0,1126,2028-12-31,0,Argentina,"Argentina, Italy",78.6,54.6,64.01,1.0,59.3,True,41.81,31.52,7,52.859895874917214,3.05,1.19,7.03,0.13,0.16,1.61,2,True,True,sim,False,False,N1
Sul-americano,Argentina B,MEI,J. Rodríguez,Atlanta,27.0,1433,2026-12-31,150000,Argentina,Argentina,80.2,55.1,63.3,3.0,59.2,True,19.26,,7,56.171850108208865,7.31,2.86,9.28,0.18,0.25,2.79,4,True,True,sim,True,False,N1
