pos11,mercado_l,jogador,clube,liga,idade,minutos,contrato,livre,br,fisico,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,runs_p30tip,tipo,tipo_pref,nota
ZD,Série B,Yago Lincoln,Londrina,Série B,23.0,2039,2030-06-30,False,True,80.0,30.27,6.83,39.72,1.24,6.48,Motor de volume,True,52.9
ZD,Sul-americanas,S. Núñez,Estudiantes,Argentina A,26.0,1235,2028-12-31,False,False,80.0,29.75,6.68,40.11,1.31,6.2,Motor de volume,True,51.5
ZD,Sul-americanas,R. Cáseres,Unión La Calera,Chile,28.0,1110,2026-12-31,True,False,80.0,28.33,7.05,46.36,1.05,10.8,Motor de volume,True,55.7
ZD,Sul-americanas,R. Orihuela,Sarmiento,Argentina A,25.0,1037,2026-12-31,True,False,79.0,29.25,6.71,41.73,1.15,6.8,Motor de volume,True,45.8
ZD,Sul-americanas,J. Angulo,Tolima,Colombia A,25.0,2291,,True,False,79.0,30.34,6.91,38.7,1.75,4.7,Explosivo e rápido,False,50.2
ZD,Sul-americanas,I. Villalba,Independiente Rivadavia,Argentina A,31.0,1502,2027-12-31,False,False,78.0,28.85,6.81,42.54,1.26,6.1,Motor de volume,True,42.4
ZD,Sul-americanas,G. Vargas,Olimpia,Paraguai,24.0,1315,2026-12-31,True,False,78.0,29.03,6.6,41.88,1.13,7.3,Motor de volume,True,66.7
ZD,Série B,Tito,Atlético-GO,Série B,26.0,1717,2028-11-30,False,True,77.0,29.08,6.12,39.95,1.36,7.32,Motor de volume,True,47.1
ZD,Sul-americanas,A. Moralez,Llaneros,Colombia A,25.0,1509,2026-12-31,True,False,77.0,29.86,6.32,39.21,1.55,6.0,Explosivo e rápido,False,47.0
ZD,Série B,Ericson,Botafogo-SP,Série B,27.0,1369,2026-11-30,True,True,75.0,29.71,6.76,41.23,1.05,5.6,Motor de volume,True,52.3
ZD,Série B,Bruno Alves,Criciúma,Série B,35.0,1146,2027-12-31,False,True,72.0,28.79,5.8,38.76,1.38,6.49,Motor de volume,True,63.2
ZD,Brasileiros e sul-americanos no exterior,Lucão,Chongqing Tongliang Long,China,30.0,1430,,True,True,72.0,28.68,6.87,42.41,0.94,,Motor de volume,True,61.8
ZD,Brasileiros e sul-americanos no exterior,Marlon Júnior,Portimonense,Portugal B,20.0,2086,2027-06-30,True,True,71.0,29.09,8.23,49.75,0.65,,Motor de volume,True,44.0
ZD,Série B,Calebe Costa,Cuiabá,Série B,23.0,2318,2026-11-30,True,True,67.0,27.64,6.99,50.7,0.58,30.93,Motor de volume,True,49.9
ZD,Série B,Jhonatan Silva,Athletic,Série B,27.0,2120,2026-11-30,True,True,65.0,29.39,5.37,37.58,1.14,6.21,Motor de volume,True,45.1
