treinador,clube,temporada,inicio,interino,rodadas,rodada_1a,rodada_ultima,no_g4,pct_g4,rodadas_apos_10,no_g4_apos_10,pct_g4_apos_10,pontos,ppj,pos_ao_assumir,pos_ao_sair,dist_g4_ao_assumir,dist_g4_ao_sair,xg_saldo_pj,xg_jogos,valor_elenco_eur,base_incompleta,em_curso,no_ranking,ppj_outros_mesmo_time,rodadas_outros
Eduardo Barroca,CRB,2026,2025-03-28,0,16,1,16,0,0.0,7,0,0.0,19,1.19,8,15,-2,-9,0.12,16,11450000.0,0,1,1,,0
Roberto Fernandes,Náutico,2022,2022-04-19,0,16,3,18,0,0.0,9,0,0.0,18,1.12,12,18,-2,-14,-0.18,16,13925000.0,0,0,1,0.57,21
Matheus Costa,Operário-PR,2022,2022-07-29,0,16,21,36,0,0.0,16,0,0.0,13,0.81,16,18,-16,-24,-0.49,16,10925000.0,0,0,1,0.95,21
Gilmar Dal Pozzo,Chapecoense,2024,2024-08-20,0,15,23,37,0,0.0,15,0,0.0,24,1.6,20,14,-18,-19,-0.27,15,11425000.0,1,0,1,0.91,22
Rafael Guanaes,Novorizontino,2022,2022-06-22,0,15,14,28,0,0.0,15,0,0.0,19,1.27,12,13,-5,-12,-0.26,15,11300000.0,0,0,1,1.09,23
António Oliveira,Remo,2025,2025-06-20,0,15,13,27,0,0.0,15,0,0.0,19,1.27,8,8,-1,-4,-0.42,15,27650000.0,0,0,1,1.87,23
Lisca,América-MG,2024,2024-08-29,0,14,24,37,0,0.0,14,0,0.0,20,1.43,9,9,-4,-8,0.14,14,23325000.0,0,0,1,1.52,23
Moacir Júnior,Tombense,2023,2023-08-25,0,14,25,38,0,0.0,14,0,0.0,17,1.21,18,18,-22,-27,-0.15,14,6950000.0,0,0,1,0.83,24
Marcelo Cabo,Brusque,2024,2024-09-09,0,13,26,38,0,0.0,13,0,0.0,13,1.0,19,19,-17,-28,-0.49,13,7500000.0,0,0,1,0.92,25
Vagner Mancini,Ceará,2023,2023-09-01,0,13,26,38,0,0.0,13,0,0.0,15,1.15,10,11,-6,-14,0.28,13,35475000.0,0,0,1,1.4,25
Mozart,Goiás,2026,2026-06-25,0,13,15,27,0,0.0,13,0,0.0,18,1.38,10,13,-4,-11,-0.0,13,12500000.0,0,1,1,1.29,14
Allan Aal,Novorizontino,2022,2022-02-14,0,13,1,13,0,0.0,4,0,0.0,14,1.08,15,15,-2,-7,0.16,13,11300000.0,0,0,1,1.2,25
Dado Cavalcanti,Náutico,2022,2022-08-25,0,13,26,38,0,0.0,13,0,0.0,9,0.69,20,20,-21,-32,-1.03,13,13925000.0,0,0,1,0.88,24
Márcio Fernandes,Paysandu,2024,2024-09-09,0,13,26,38,0,0.0,13,0,0.0,23,1.77,14,13,-13,-14,-0.14,13,13825000.0,0,0,1,1.08,25
Claudinei Oliveira,Paysandu,2025,2025-06-08,0,13,12,24,0,0.0,13,0,0.0,17,1.31,20,20,-14,-18,-0.25,13,14100000.0,0,0,1,0.53,19
Umberto Louzer,América-MG,2026,2026-06-03,0,12,12,23,0,0.0,12,0,0.0,8,0.67,20,19,-18,-26,-0.64,12,5875000.0,0,1,1,0.6,15
Mozart,CSA,2022,2021-09-02,0,12,1,12,0,0.0,3,0,0.0,13,1.08,13,16,-2,-6,-0.2,12,13750000.0,0,0,1,1.12,26
Eduardo Barroca,Ceará,2023,2023-04-27,0,12,3,14,0,0.0,5,0,0.0,21,1.75,14,9,-6,-7,-0.5,12,35475000.0,0,0,1,1.12,26
Vagner Mancini,Ceará,2024,2023-09-01,0,12,1,12,0,0.0,3,0,0.0,16,1.33,10,12,-2,-4,0.49,12,24725000.0,0,0,1,1.85,26
Daniel Paulista,Ceará,2026,2026-06-25,0,12,15,26,0,0.0,12,0,0.0,14,1.17,15,16,-8,-13,-0.6,12,13525000.0,1,1,1,1.18,11
Daniel Azambuja,Ferroviária,2025,2025-09-19,1,12,27,38,0,0.0,12,0,0.0,9,0.75,15,17,-11,-22,-0.05,12,6650000.0,0,0,0,1.24,25
Eduardo Souza,Londrina,2023,2023-07-07,0,12,16,27,0,0.0,12,0,0.0,9,0.75,18,19,-19,-25,-0.39,12,7700000.0,0,0,1,0.85,26
Márcio Zanardi,Ponte Preta,2026,2026-06-11,0,12,13,24,0,0.0,12,0,0.0,2,0.17,19,20,-13,-30,-1.22,12,4125000.0,0,1,1,0.53,15
João Burse,Tombense,2023,2023-06-23,0,12,13,24,0,0.0,12,0,0.0,11,0.92,19,18,-16,-22,-0.24,12,6950000.0,0,0,1,1.0,26
Argel Fuchs,ABC,2023,2023-09-04,0,11,27,37,0,0.0,11,0,0.0,9,0.82,20,20,-29,-36,-0.24,11,9400000.0,0,0,1,0.7,27
Guilherme Alves,Amazonas,2025,2025-04-23,0,11,5,15,0,0.0,6,0,0.0,13,1.18,19,20,-8,-10,-0.52,11,15970000.0,0,0,1,0.85,27
Enderson Moreira,América-MG,2025,2025-06-03,0,11,11,21,0,0.0,11,0,0.0,8,0.73,14,17,-7,-13,0.35,11,23150000.0,0,0,1,1.41,27
Vinícius,Avaí,2025,2025-09-25,0,11,28,38,0,0.0,11,0,0.0,19,1.73,10,9,-6,-6,-0.23,11,13200000.0,0,0,1,1.37,27
Allan Aal,Avaí,2026,2026-07-09,0,11,17,27,0,0.0,11,0,0.0,16,1.45,18,17,-14,-18,0.01,11,8000000.0,0,1,1,0.87,15
Gilson Kleina,Brusque,2022,2022-09-02,0,11,28,38,0,0.0,11,0,0.0,6,0.55,15,18,-14,-28,-0.09,11,4375000.0,0,0,1,1.04,27
Hélio dos Anjos,CRB,2024,2024-09-23,0,11,28,38,0,0.0,11,0,0.0,17,1.55,19,16,-19,-21,-0.21,11,13675000.0,0,0,1,0.96,27
Roberto Fernandes,CSA,2022,2022-08-08,0,11,24,34,0,0.0,11,0,0.0,13,1.18,17,17,-19,-19,-0.11,11,13750000.0,0,0,1,1.07,27
Guto Ferreira,Ceará,2023,2023-06-30,0,11,15,25,0,0.0,11,0,0.0,14,1.27,12,11,-8,-8,-0.02,11,35475000.0,0,0,1,1.33,27
Gilmar Dal Pozzo,Chapecoense,2022,2022-09-02,0,11,28,38,0,0.0,11,0,0.0,16,1.45,14,14,-13,-17,0.24,11,13875000.0,0,0,1,1.12,26
Gilmar Dal Pozzo,Chapecoense,2023,2023-06-05,0,11,11,21,0,0.0,11,0,0.0,10,0.91,17,18,-14,-19,-0.33,11,16325000.0,0,0,1,1.2,25
Roberto Fonseca,Londrina,2023,2023-09-13,0,11,28,38,0,0.0,11,0,0.0,11,1.0,19,19,-27,-33,-0.44,11,7700000.0,0,0,1,0.74,27
Pintado,Ponte Preta,2023,2023-07-25,0,11,20,30,0,0.0,11,0,0.0,11,1.0,13,15,-12,-20,-0.51,11,10675000.0,0,0,1,1.15,27
Gilmar Dal Pozzo,Sport,2026,2026-06-30,0,11,16,26,0,0.0,11,0,0.0,13,1.18,8,9,-3,-6,0.16,11,23625000.0,0,1,1,1.75,16
Roger Silva,Athletic,2025,2024-03-08,0,10,1,10,0,0.0,1,0,0.0,6,0.6,20,19,-3,-12,0.08,10,17710000.0,0,0,1,1.36,28
Eduardo Souza,Atlético-GO,2026,2026-03-10,0,10,1,13,0,0.0,4,0,0.0,14,1.4,15,13,-3,-4,0.23,10,10550000.0,1,1,1,1.62,16
Roger Silva,Atlético-GO,2026,2026-07-07,0,10,17,26,0,0.0,10,0,0.0,19,1.9,10,8,-6,-4,0.46,10,10550000.0,1,1,1,1.31,16
Márcio Zanardi,Botafogo-SP,2024,2024-10-03,0,10,29,38,0,0.0,10,0,0.0,13,1.3,16,14,-15,-19,-0.39,10,9525000.0,0,0,1,1.14,28
Alberto Valentim,CSA,2022,2022-06-17,0,10,13,22,0,0.0,10,0,0.0,7,0.7,16,17,-7,-19,-0.38,10,13750000.0,0,0,1,1.25,28
Marcelo Cabo,Chapecoense,2022,2022-07-11,0,10,18,27,0,0.0,10,0,0.0,11,1.1,13,15,-11,-15,0.09,10,13875000.0,0,0,1,1.26,27
Mazola Júnior,Novorizontino,2022,2022-09-05,0,10,29,38,0,0.0,10,0,0.0,11,1.1,13,15,-12,-18,0.54,10,11300000.0,0,0,1,1.18,28
Márcio Fernandes,Paysandu,2025,2025-09-09,0,10,26,35,0,0.0,10,0,0.0,6,0.6,20,20,-19,-29,-0.12,10,14100000.0,0,0,1,0.95,22
Rodrigo Santana,Ponte Preta,2026,2026-02-23,0,10,1,10,0,0.0,1,0,0.0,7,0.7,14,19,-3,-12,-0.53,10,4125000.0,0,1,1,0.18,17
