fronteira,familia,comparacao,indicador,unidade,medida_nome,n_a,n_b,clubes_a,clubes_b,cru_a,cru_b,d,ic95_d,p,limiar_visivel,q,selo,poder_suficiente,nome,alvo_nome,porta_parcial,porta_p,porta_passa
sem,como_ataca,dist_remate,cruzamentos,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,15.171,20.58,0.268,"[0.01, 0.54]",0.044,0.265,0.176,sem diferença clara,True,Cruzamentos por jogo,Distância média da própria finalização (m),0.106,0.35066,False
sem,como_ataca,dist_remate,cruz_certos_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,32.696,20.58,0.191,"[-0.14, 0.48]",0.261,0.31,0.261,sem diferença clara,False,Cruzamentos certos (%),Distância média da própria finalização (m),-0.017,0.88138,False
sem,sem_bola,dist_remate,ppda,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,10.347,20.58,0.169,"[-0.14, 0.47]",0.2756,0.305,0.459333,sem diferença clara,False,Passes do adversário por ação defensiva,Distância média da própria finalização (m),0.184,0.10161,False
sem,sem_bola,dist_remate,recuperacoes,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,77.4,20.58,-0.066,"[-0.32, 0.23]",0.6802,0.275,0.6802,sem diferença clara,False,Recuperações por jogo,Distância média da própria finalização (m),0.216,0.05418,False
sem,sem_bola,dist_remate,intensidade,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,15.557,20.58,0.092,"[-0.17, 0.35]",0.495,0.26,0.61875,sem diferença clara,False,Intensidade de jogo,Distância média da própria finalização (m),0.037,0.74718,False
sem,sem_bola,dist_remate,duelos_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,47.769,20.58,0.189,"[-0.07, 0.43]",0.1432,0.25,0.358,sem diferença clara,False,Divididas ganhas (%),Distância média da própria finalização (m),0.127,0.2601,False
sem,sem_bola,dist_remate,duelos_aereos_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,45.991,20.58,0.427,"[0.19, 0.63]",0.0012,0.22,0.006,provável,True,Divididas pelo alto ganhas (%),Distância média da própria finalização (m),0.194,0.08531,False
sem,bola_parada,dist_remate,bolas_paradas,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,28.0,20.58,-0.346,"[-0.61, -0.02]",0.0354,0.295,0.0708,sem diferença clara,True,Bolas paradas por jogo,Distância média da própria finalização (m),-0.014,0.90402,False
sem,bola_parada,dist_remate,cantos,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,5.184,20.58,0.016,"[-0.23, 0.27]",0.9176,0.25,0.9176,provável,False,Escanteios por jogo,Distância média da própria finalização (m),0.255,0.02264,True
sem,construcao,xg_por_remate_contra,posse,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,50.141,0.099,0.1,"[-0.16, 0.37]",0.466,0.265,0.5592,sem diferença clara,False,Posse de bola (%),Gol esperado por finalização sofrida,0.116,0.30753,False
sem,construcao,xg_por_remate_contra,passes_pct,clube-temporada,"correlação de posto com o alvo (Spearman), sinal alinhado",52,52,32,32,81.607,0.099,0.187,"[-0.11, 0.45]",0.207,0.28,0.45,sem diferença clara,False,Passes certos (%),Gol esperado por finalização sofrida,0.177,0.1158,False
