unidade,fronteira,comparacao,familia,setor,indicador,nome,n_a,n_b,clubes_a,clubes_b,pct_a,pct_b,cru_a,cru_b,d,ic95_lo,ic95_hi,p,q,d_minimo_80,poder_suficiente,passou_bh,selo
chegada-jogador,com,aprovado x reprovado,estilo_tecnico|minutos,Zaga,estilo_tecnico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",20,31,11,20,65.2,38.1,1766.0,1295.0,0.512,0.04,1.19,0.09605,0.28815,0.82,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,estilo_tecnico|minutos,Lateral,estilo_tecnico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",29,26,17,17,60.0,43.3,1411.2,1168.4,0.383,-0.34,1.33,0.15939,0.31878,0.77,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,estilo_tecnico|minutos,Meia,estilo_tecnico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",25,47,17,23,31.2,56.2,869.9,1280.7,-0.589,-1.18,-0.08,0.01826,0.10958,0.7,False,False,pode ser sorte
chegada-jogador,com,aprovado x reprovado,estilo_tecnico|minutos,Atacante,estilo_tecnico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",15,33,13,24,47.4,50.0,1094.9,1312.9,-0.248,-0.93,0.55,0.45101,0.67652,0.89,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,estilo_tecnico|minutos,Todos,estilo_tecnico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",59,112,21,23,54.5,50.0,1292.6,1340.1,-0.039,-0.42,0.39,0.81254,0.81254,0.45,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,estilo_tecnico|minutos,Zaga,estilo_tecnico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",17,16,9,12,63.6,45.2,1674.9,1389.8,0.337,-0.24,1.15,0.33762,0.45386,1.01,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,estilo_tecnico|minutos,Lateral,estilo_tecnico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",13,19,11,15,75.0,45.0,1731.8,1184.8,0.718,-0.23,2.02,0.06355,0.15887,1.04,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,estilo_tecnico|minutos,Meia,estilo_tecnico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",14,24,11,16,22.0,59.1,796.9,1412.8,-0.934,-1.82,-0.24,0.00938,0.04689,0.97,False,True,firme
chegada-jogador,sem,aprovado x reprovado,estilo_tecnico|minutos,Atacante,estilo_tecnico -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",8,18,7,13,36.1,51.3,967.1,1323.1,-0.431,-1.37,0.61,0.36309,0.45386,1.24,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,estilo_tecnico|permanencia,Todos,estilo_tecnico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",104,193,30,33,0.0,0.0,21.2,20.2,0.023,-0.18,0.2,0.8488,0.87062,0.34,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,estilo_tecnico|permanencia,Zaga,estilo_tecnico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",20,31,11,20,0.0,0.0,40.0,19.4,0.465,-0.08,1.1,0.13133,0.78796,0.82,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,estilo_tecnico|permanencia,Lateral,estilo_tecnico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",29,26,17,17,0.0,0.0,13.8,15.4,-0.044,-0.6,0.59,0.87062,0.87062,0.77,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,estilo_tecnico|permanencia,Meia,estilo_tecnico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",25,47,17,23,0.0,0.0,20.0,14.9,0.135,-0.4,0.68,0.60149,0.87062,0.7,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,estilo_tecnico|permanencia,Atacante,estilo_tecnico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",15,33,13,24,0.0,0.0,26.7,18.2,0.205,-0.38,0.89,0.53997,0.87062,0.89,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,estilo_tecnico|permanencia,Todos,estilo_tecnico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",59,112,21,23,0.0,0.0,25.4,21.4,0.095,-0.23,0.35,0.56476,0.88964,0.45,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,estilo_tecnico|permanencia,Zaga,estilo_tecnico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",17,16,9,12,0.0,0.0,35.3,12.5,0.535,-0.26,1.17,0.13162,0.65811,1.01,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,estilo_tecnico|permanencia,Lateral,estilo_tecnico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",13,19,11,15,0.0,0.0,23.1,10.5,0.34,-0.44,1.16,0.38552,0.88964,1.04,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,estilo_tecnico|permanencia,Meia,estilo_tecnico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",14,24,11,16,0.0,0.0,21.4,16.7,0.12,-0.61,0.73,0.73258,0.88964,0.97,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,estilo_tecnico|permanencia,Atacante,estilo_tecnico -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (estilo tecnico)",8,18,7,13,0.0,0.0,25.0,27.8,-0.06,-0.72,0.61,0.88964,0.88964,1.24,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,minutagem|minutos,Todos,minutagem -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (minutagem)",38,259,20,33,67.9,50.0,1717.5,1244.1,0.403,0.05,0.78,0.02874,0.02874,0.49,False,True,firme
chegada-jogador,sem,aprovado x reprovado,minutagem|minutos,Todos,minutagem -> minutos,"Minutos no ano da chegada de quem o filtro aprovaria, contra quem reprovaria (minutagem)",24,147,13,23,63.7,50.0,1574.3,1282.8,0.334,-0.01,0.69,0.12858,0.12858,0.62,False,False,não separa (poder insuficiente)
chegada-jogador,com,aprovado x reprovado,minutagem|permanencia,Todos,minutagem -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (minutagem)",38,259,20,33,0.0,0.0,18.4,20.8,-0.06,-0.27,0.18,0.72472,0.94477,0.49,False,False,não separa (poder insuficiente)
chegada-jogador,sem,aprovado x reprovado,minutagem|permanencia,Todos,minutagem -> permanencia,"Permanência no clube no ano seguinte de quem o filtro aprovaria, contra quem reprovaria (minutagem)",24,147,13,23,0.0,0.0,16.7,23.8,-0.17,-0.49,0.17,0.40852,0.40852,0.62,False,False,não separa (poder insuficiente)
