fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,setor,subamostra,unidade,medida_nome,nome
com,volume_de_corrida,SM,runs_p30tip,0,23,76,32.34,31.89,0.153,"[-0.28, 0.57]",0.53154,0.67,0.55983,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas sem bola no total, por 30 min de posse"
com,volume_de_corrida,SM,runs_above_hsr_p30tip,0,23,76,9.36,8.96,0.136,"[-0.32, 0.63]",0.55983,0.67,0.55983,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas acima da alta velocidade, por 30 min de posse"
com,volume_de_corrida,SM,runs_avg_distance,0,23,76,13.89,14.105,-0.17,"[-0.59, 0.27]",0.47254,0.67,0.55983,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),Distância média da corrida (m)
com,volume_de_corrida,CM,runs_p30tip,0,24,76,30.73,31.89,-0.097,"[-0.58, 0.35]",0.69328,0.66,0.69328,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas sem bola no total, por 30 min de posse"
com,volume_de_corrida,CM,runs_above_hsr_p30tip,0,24,76,8.755,8.96,-0.22,"[-0.68, 0.25]",0.38103,0.66,0.69328,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas acima da alta velocidade, por 30 min de posse"
com,volume_de_corrida,CM,runs_avg_distance,0,24,76,14.055,14.105,-0.103,"[-0.58, 0.35]",0.68901,0.66,0.69328,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),Distância média da corrida (m)
sem,para_a_area,SM,runs_penalty_area_p30tip,0,12,54,8.835,8.715,0.073,"[-0.87, 0.96]",0.83556,0.91,0.83556,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
sem,para_a_area,SM,runs_dangerous_p30tip,0,12,54,20.015,19.57,0.223,"[-0.58, 0.93]",0.49035,0.91,0.83556,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
sem,para_a_area,SM,runs_shot_within_10s_p30tip,0,12,54,1.495,1.405,0.15,"[-0.57, 0.83]",0.63532,0.91,0.83556,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas que viraram finalização em 10 s, por 30 min de posse"
sem,para_a_area,CM,runs_penalty_area_p30tip,0,18,54,6.995,8.715,-0.704,"[-1.27, -0.23]",0.00673,0.77,0.02019,firme,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
sem,para_a_area,CM,runs_dangerous_p30tip,0,18,54,15.915,19.57,-0.598,"[-1.15, -0.08]",0.02456,0.77,0.03685,firme,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
sem,para_a_area,CM,runs_shot_within_10s_p30tip,0,18,54,1.48,1.405,0.166,"[-0.4, 0.71]",0.54041,0.77,0.54041,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas que viraram finalização em 10 s, por 30 min de posse"
sem,procurado,SM,runs_targeted_p30tip,0,12,54,10.28,10.775,-0.089,"[-0.86, 0.75]",0.81192,0.91,0.81192,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que o passe foi tentado, por 30 min de posse"
sem,procurado,SM,runs_received_p30tip,0,12,54,5.61,6.345,-0.496,"[-1.11, 0.07]",0.14514,0.91,0.29027,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que a bola chegou, por 30 min de posse"
sem,procurado,CM,runs_targeted_p30tip,0,18,54,11.16,10.775,0.145,"[-0.38, 0.65]",0.641,0.77,0.73842,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que o passe foi tentado, por 30 min de posse"
sem,procurado,CM,runs_received_p30tip,0,18,54,7.135,6.345,0.108,"[-0.38, 0.58]",0.73842,0.77,0.73842,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que a bola chegou, por 30 min de posse"
sem,volume_de_corrida,SM,runs_p30tip,0,12,54,32.68,31.965,0.071,"[-0.61, 0.67]",0.84416,0.91,0.88773,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas sem bola no total, por 30 min de posse"
sem,volume_de_corrida,SM,runs_above_hsr_p30tip,0,12,54,9.435,8.96,0.051,"[-0.58, 0.66]",0.88773,0.91,0.88773,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas acima da alta velocidade, por 30 min de posse"
sem,volume_de_corrida,SM,runs_avg_distance,0,12,54,13.74,14.095,-0.471,"[-1.05, 0.04]",0.06036,0.91,0.18108,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),Distância média da corrida (m)
sem,volume_de_corrida,CM,runs_p30tip,0,18,54,30.97,31.965,-0.016,"[-0.6, 0.46]",0.95426,0.77,0.95426,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas sem bola no total, por 30 min de posse"
sem,volume_de_corrida,CM,runs_above_hsr_p30tip,0,18,54,8.165,8.96,-0.282,"[-0.73, 0.14]",0.33791,0.77,0.85279,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas acima da alta velocidade, por 30 min de posse"
sem,volume_de_corrida,CM,runs_avg_distance,0,18,54,13.87,14.095,-0.173,"[-0.69, 0.3]",0.56853,0.77,0.85279,sem diferença clara,False,Atacante,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),Distância média da corrida (m)
com,para_a_area,SM,runs_penalty_area_p30tip,0,17,53,5.98,5.53,0.082,"[-0.46, 0.73]",0.77933,0.79,0.96601,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
com,para_a_area,SM,runs_dangerous_p30tip,0,17,53,12.1,13.23,0.036,"[-0.5, 0.6]",0.90634,0.79,0.96601,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
com,para_a_area,SM,runs_shot_within_10s_p30tip,0,17,53,1.54,1.59,0.011,"[-0.57, 0.57]",0.96601,0.79,0.96601,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas que viraram finalização em 10 s, por 30 min de posse"
com,para_a_area,CM,runs_penalty_area_p30tip,0,18,53,4.84,5.53,-0.076,"[-0.81, 0.68]",0.78185,0.78,0.78185,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
com,para_a_area,CM,runs_dangerous_p30tip,0,18,53,13.185,13.23,0.184,"[-0.42, 0.76]",0.51261,0.78,0.76892,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
com,para_a_area,CM,runs_shot_within_10s_p30tip,0,18,53,1.35,1.59,-0.304,"[-0.9, 0.21]",0.28461,0.78,0.76892,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas que viraram finalização em 10 s, por 30 min de posse"
com,procurado,SM,runs_targeted_p30tip,0,17,53,12.31,11.96,0.057,"[-0.45, 0.6]",0.85091,0.79,0.85091,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que o passe foi tentado, por 30 min de posse"
com,procurado,SM,runs_received_p30tip,0,17,53,8.96,8.68,0.237,"[-0.26, 0.79]",0.42389,0.79,0.84777,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que a bola chegou, por 30 min de posse"
com,procurado,CM,runs_targeted_p30tip,0,18,53,12.205,11.96,0.156,"[-0.36, 0.62]",0.52173,0.78,0.52173,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que o passe foi tentado, por 30 min de posse"
com,procurado,CM,runs_received_p30tip,0,18,53,8.84,8.68,0.189,"[-0.33, 0.67]",0.44232,0.78,0.52173,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que a bola chegou, por 30 min de posse"
com,volume_de_corrida,SM,runs_p30tip,0,17,53,32.85,34.15,-0.183,"[-0.78, 0.43]",0.55232,0.79,0.71375,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas sem bola no total, por 30 min de posse"
com,volume_de_corrida,SM,runs_above_hsr_p30tip,0,17,53,9.73,10.05,-0.11,"[-0.57, 0.33]",0.71375,0.79,0.71375,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas acima da alta velocidade, por 30 min de posse"
com,volume_de_corrida,SM,runs_avg_distance,0,17,53,14.29,14.03,0.151,"[-0.4, 0.72]",0.60079,0.79,0.71375,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),Distância média da corrida (m)
com,volume_de_corrida,CM,runs_p30tip,0,18,53,34.98,34.15,0.411,"[-0.16, 1.0]",0.12917,0.78,0.3875,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas sem bola no total, por 30 min de posse"
com,volume_de_corrida,CM,runs_above_hsr_p30tip,0,18,53,10.37,10.05,0.234,"[-0.32, 0.81]",0.35513,0.78,0.53269,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas acima da alta velocidade, por 30 min de posse"
com,volume_de_corrida,CM,runs_avg_distance,0,18,53,13.875,14.03,-0.082,"[-0.71, 0.55]",0.77729,0.78,0.77729,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),Distância média da corrida (m)
sem,para_a_area,SM,runs_penalty_area_p30tip,0,8,32,4.765,5.06,0.086,"[-0.73, 1.02]",0.81798,1.14,0.81798,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
sem,para_a_area,SM,runs_dangerous_p30tip,0,8,32,11.445,12.685,-0.27,"[-0.88, 0.18]",0.41908,1.14,0.81798,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
sem,para_a_area,SM,runs_shot_within_10s_p30tip,0,8,32,1.49,1.455,-0.114,"[-0.94, 0.67]",0.71457,1.14,0.81798,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas que viraram finalização em 10 s, por 30 min de posse"
sem,para_a_area,CM,runs_penalty_area_p30tip,0,15,32,4.66,5.06,0.052,"[-0.76, 0.79]",0.87071,0.9,0.87071,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
sem,para_a_area,CM,runs_dangerous_p30tip,0,15,32,13.04,12.685,0.11,"[-0.48, 0.61]",0.72849,0.9,0.87071,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
sem,para_a_area,CM,runs_shot_within_10s_p30tip,0,15,32,1.29,1.455,-0.285,"[-1.08, 0.31]",0.37398,0.9,0.87071,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas que viraram finalização em 10 s, por 30 min de posse"
sem,procurado,SM,runs_targeted_p30tip,0,8,32,11.325,12.105,-0.486,"[-1.1, -0.08]",0.26074,1.14,0.52149,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que o passe foi tentado, por 30 min de posse"
sem,procurado,SM,runs_received_p30tip,0,8,32,8.185,8.47,-0.118,"[-0.66, 0.38]",0.77058,1.14,0.77058,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que a bola chegou, por 30 min de posse"
sem,procurado,CM,runs_targeted_p30tip,0,15,32,11.76,12.105,0.025,"[-0.67, 0.55]",0.93214,0.9,0.93214,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que o passe foi tentado, por 30 min de posse"
sem,procurado,CM,runs_received_p30tip,0,15,32,8.74,8.47,0.22,"[-0.48, 0.87]",0.46235,0.9,0.92469,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que a bola chegou, por 30 min de posse"
sem,volume_de_corrida,SM,runs_p30tip,0,8,32,31.73,33.005,-0.723,"[-1.24, -0.27]",0.04182,1.14,0.12547,pode ser sorte,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas sem bola no total, por 30 min de posse"
sem,volume_de_corrida,SM,runs_above_hsr_p30tip,0,8,32,8.445,9.77,-0.415,"[-1.08, 0.12]",0.317,1.14,0.47549,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas acima da alta velocidade, por 30 min de posse"
sem,volume_de_corrida,SM,runs_avg_distance,0,8,32,14.34,14.1,0.162,"[-0.73, 1.13]",0.69762,1.14,0.69762,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),Distância média da corrida (m)
sem,volume_de_corrida,CM,runs_p30tip,0,15,32,34.78,33.005,0.256,"[-0.3, 0.76]",0.40251,0.9,0.99562,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas sem bola no total, por 30 min de posse"
sem,volume_de_corrida,CM,runs_above_hsr_p30tip,0,15,32,9.58,9.77,0.002,"[-0.6, 0.56]",0.99562,0.9,0.99562,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas acima da alta velocidade, por 30 min de posse"
sem,volume_de_corrida,CM,runs_avg_distance,0,15,32,13.87,14.1,-0.087,"[-0.8, 0.59]",0.79291,0.9,0.99562,sem diferença clara,False,Extremo,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),Distância média da corrida (m)
com,para_a_area,SM,runs_penalty_area_p30tip,0,27,79,1.32,1.27,0.231,"[-0.21, 0.7]",0.34606,0.63,0.64338,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
com,para_a_area,SM,runs_dangerous_p30tip,0,27,79,4.18,3.58,0.199,"[-0.28, 0.68]",0.42892,0.63,0.64338,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
com,para_a_area,SM,runs_shot_within_10s_p30tip,0,27,79,0.86,0.74,0.109,"[-0.37, 0.64]",0.65284,0.63,0.65284,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas que viraram finalização em 10 s, por 30 min de posse"
com,para_a_area,CM,runs_penalty_area_p30tip,0,27,79,1.4,1.27,0.217,"[-0.33, 0.72]",0.37676,0.63,0.55611,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
com,para_a_area,CM,runs_dangerous_p30tip,0,27,79,3.82,3.58,0.138,"[-0.3, 0.63]",0.55611,0.63,0.55611,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
com,para_a_area,CM,runs_shot_within_10s_p30tip,0,27,79,0.87,0.74,0.323,"[-0.18, 0.84]",0.16656,0.63,0.49969,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas que viraram finalização em 10 s, por 30 min de posse"
com,procurado,SM,runs_targeted_p30tip,0,27,79,8.78,8.86,0.012,"[-0.54, 0.62]",0.95947,0.63,0.95947,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que o passe foi tentado, por 30 min de posse"
com,procurado,SM,runs_received_p30tip,0,27,79,7.74,7.66,-0.077,"[-0.58, 0.45]",0.73473,0.63,0.95947,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que a bola chegou, por 30 min de posse"
com,procurado,CM,runs_targeted_p30tip,0,27,79,9.38,8.86,0.103,"[-0.37, 0.6]",0.64558,0.63,0.76198,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que o passe foi tentado, por 30 min de posse"
com,procurado,CM,runs_received_p30tip,0,27,79,7.93,7.66,0.062,"[-0.37, 0.52]",0.76198,0.63,0.76198,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que a bola chegou, por 30 min de posse"
com,volume_de_corrida,SM,runs_p30tip,0,27,79,24.73,23.86,-0.002,"[-0.57, 0.61]",0.99456,0.63,0.99456,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas sem bola no total, por 30 min de posse"
com,volume_de_corrida,SM,runs_above_hsr_p30tip,0,27,79,7.52,7.27,0.036,"[-0.58, 0.77]",0.88936,0.63,0.99456,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas acima da alta velocidade, por 30 min de posse"
com,volume_de_corrida,SM,runs_avg_distance,0,27,79,14.22,14.63,-0.208,"[-0.74, 0.34]",0.37597,0.63,0.99456,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),Distância média da corrida (m)
com,volume_de_corrida,CM,runs_p30tip,0,27,79,24.85,23.86,-0.025,"[-0.49, 0.47]",0.9124,0.63,0.9124,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas sem bola no total, por 30 min de posse"
com,volume_de_corrida,CM,runs_above_hsr_p30tip,0,27,79,6.95,7.27,-0.05,"[-0.43, 0.34]",0.82517,0.63,0.9124,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas acima da alta velocidade, por 30 min de posse"
com,volume_de_corrida,CM,runs_avg_distance,0,27,79,14.51,14.63,-0.118,"[-0.53, 0.28]",0.56998,0.63,0.9124,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),Distância média da corrida (m)
sem,para_a_area,SM,runs_penalty_area_p30tip,0,14,53,1.315,1.24,0.195,"[-0.47, 0.84]",0.58808,0.85,0.88212,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
sem,para_a_area,SM,runs_dangerous_p30tip,0,14,53,4.595,3.4,0.234,"[-0.46, 1.02]",0.53195,0.85,0.88212,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
sem,para_a_area,SM,runs_shot_within_10s_p30tip,0,14,53,0.71,0.74,-0.025,"[-0.65, 0.66]",0.94013,0.85,0.94013,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas que viraram finalização em 10 s, por 30 min de posse"
sem,para_a_area,CM,runs_penalty_area_p30tip,0,21,53,1.39,1.24,0.156,"[-0.54, 0.79]",0.57833,0.73,0.70459,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
sem,para_a_area,CM,runs_dangerous_p30tip,0,21,53,3.82,3.4,0.105,"[-0.53, 0.75]",0.70459,0.73,0.70459,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
sem,para_a_area,CM,runs_shot_within_10s_p30tip,0,21,53,1.01,0.74,0.359,"[-0.32, 0.98]",0.18209,0.73,0.54628,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas que viraram finalização em 10 s, por 30 min de posse"
sem,procurado,SM,runs_targeted_p30tip,0,14,53,8.595,8.67,-0.094,"[-0.89, 0.81]",0.77766,0.85,0.77766,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que o passe foi tentado, por 30 min de posse"
sem,procurado,SM,runs_received_p30tip,0,14,53,7.095,7.5,-0.117,"[-0.91, 0.69]",0.72303,0.85,0.77766,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que a bola chegou, por 30 min de posse"
sem,procurado,CM,runs_targeted_p30tip,0,21,53,9.55,8.67,0.22,"[-0.39, 0.9]",0.40142,0.73,0.52991,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que o passe foi tentado, por 30 min de posse"
sem,procurado,CM,runs_received_p30tip,0,21,53,7.93,7.5,0.154,"[-0.38, 0.76]",0.52991,0.73,0.52991,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas em que a bola chegou, por 30 min de posse"
sem,volume_de_corrida,SM,runs_p30tip,0,14,53,23.04,23.43,-0.018,"[-0.88, 1.0]",0.96082,0.85,0.96082,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas sem bola no total, por 30 min de posse"
sem,volume_de_corrida,SM,runs_above_hsr_p30tip,0,14,53,6.825,7.27,-0.069,"[-0.89, 0.91]",0.8565,0.85,0.96082,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas acima da alta velocidade, por 30 min de posse"
sem,volume_de_corrida,SM,runs_avg_distance,0,14,53,14.015,14.55,-0.363,"[-0.98, 0.27]",0.22284,0.85,0.66852,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),Distância média da corrida (m)
sem,volume_de_corrida,CM,runs_p30tip,0,21,53,24.96,23.43,0.184,"[-0.4, 0.9]",0.49948,0.73,0.91842,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas sem bola no total, por 30 min de posse"
sem,volume_de_corrida,CM,runs_above_hsr_p30tip,0,21,53,6.95,7.27,-0.038,"[-0.47, 0.42]",0.8851,0.73,0.91842,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas acima da alta velocidade, por 30 min de posse"
sem,volume_de_corrida,CM,runs_avg_distance,0,21,53,14.51,14.55,-0.025,"[-0.53, 0.41]",0.91842,0.73,0.91842,sem diferença clara,False,Lateral,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),Distância média da corrida (m)
com,para_a_area,SM,runs_penalty_area_p30tip,0,28,75,3.6,3.13,0.214,"[-0.3, 0.75]",0.33943,0.63,0.53182,sem diferença clara,False,Meia,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas para a grande área, por 30 min de posse"
com,para_a_area,SM,runs_dangerous_p30tip,0,28,75,9.13,8.58,0.146,"[-0.4, 0.67]",0.53182,0.63,0.53182,sem diferença clara,False,Meia,todos,jogador-temporada,corrida sem bola por 30 min de posse do time (p30tip),"Corridas perigosas, por 30 min de posse"
