subamostra,setor,comparacao,fronteira,familia,indicador,nome,n_a,n_b,clubes_a,clubes_b,pct_a,pct_b,cru_a,cru_b,d,ic95_lo,ic95_hi,p,q,d_minimo_80,poder_suficiente,selo,passou_bh,passou_bh_nos_dois_cortes,confianca_do_achado
todos,Zaga,CM,com,sprints,sprint_count_p90,Número de sprints por 90,28,81,15,25,44.3,48.3,4.71,5.0,-0.184,-0.66,0.28,0.42698,0.62901,0.62,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,com,sprints,sprint_count_p30tip,Sprints por 30 min COM a bola,28,81,15,25,39.7,49.1,1.075,1.17,-0.098,-0.58,0.43,0.67127,0.67127,0.62,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,com,sprints,sprint_count_p30otip,Sprints por 30 min SEM a bola,28,81,15,25,49.0,49.1,3.37,3.73,-0.219,-0.69,0.23,0.32996,0.62901,0.62,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,sprints,sprint_distance_p90,Distância em sprint por 90 (m),25,29,15,11,48.3,54.2,96.85,97.79,-0.346,-1.04,0.39,0.20994,0.55806,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,sprints,sprint_count_p90,Número de sprints por 90,25,29,15,11,54.4,45.0,5.03,5.01,-0.198,-0.86,0.53,0.47194,0.55806,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,sprints,sprint_count_p30tip,Sprints por 30 min COM a bola,25,29,15,11,51.7,56.2,1.23,1.27,-0.161,-0.82,0.55,0.55806,0.55806,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,sprints,sprint_count_p30otip,Sprints por 30 min SEM a bola,25,29,15,11,48.3,45.0,3.74,3.73,-0.197,-0.89,0.53,0.47801,0.55806,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,velocidade_maxima,psv99,PSV-99 da temporada (km/h),25,81,15,25,50.9,53.3,28.59,28.64,-0.011,-0.4,0.38,0.9611,0.9611,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,com,velocidade_maxima,psv99_top5,PSV-99 dos 5 picos mais altos (km/h),25,81,15,25,71.7,55.0,31.36,30.94,0.271,-0.04,0.64,0.21445,0.42891,0.65,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,com,velocidade_maxima,psv99,PSV-99 da temporada (km/h),28,81,15,25,52.5,53.3,28.7,28.64,-0.095,-0.56,0.38,0.69752,0.69752,0.62,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,com,velocidade_maxima,psv99_top5,PSV-99 dos 5 picos mais altos (km/h),28,81,15,25,54.6,55.0,31.17,30.94,-0.169,-0.6,0.27,0.48699,0.69752,0.62,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,velocidade_maxima,psv99,PSV-99 da temporada (km/h),25,29,15,11,50.9,61.7,28.59,28.9,-0.338,-0.91,0.22,0.21868,0.43737,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,ST,com,velocidade_maxima,psv99_top5,PSV-99 dos 5 picos mais altos (km/h),25,29,15,11,71.7,75.4,31.36,31.46,-0.176,-0.71,0.29,0.51856,0.51856,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,volume,distance_p90,Distância por 90 min (m),13,54,8,21,25.0,59.4,8509.32,8907.925,-0.847,-1.63,-0.0,0.02065,0.03441,0.88,False,firme,True,False,indício
todos,Zaga,SM,sem,volume,running_distance_p90,Distância em corrida por 90 min (m),13,54,8,21,45.0,60.2,917.98,976.665,-0.384,-1.15,0.36,0.31228,0.39035,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,volume,m_per_min,Metros por minuto,13,54,8,21,25.0,59.4,94.55,98.975,-0.847,-1.71,-0.02,0.02065,0.03441,0.88,False,firme,True,False,indício
todos,Zaga,SM,sem,volume,m_per_min_tip,Metros por minuto COM a bola,13,54,8,21,15.0,56.7,114.05,122.275,-0.936,-1.86,-0.13,0.01902,0.03441,0.88,True,firme,True,False,indício
todos,Zaga,SM,sem,volume,m_per_min_otip,Metros por minuto SEM a bola,13,54,8,21,35.0,53.0,134.34,136.315,-0.232,-0.97,0.54,0.48462,0.48462,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,sem,volume,distance_p90,Distância por 90 min (m),21,54,11,21,43.8,59.4,8769.47,8907.925,-0.428,-1.04,0.16,0.10334,0.13622,0.73,False,sem diferença clara,False,False,indício
todos,Zaga,CM,sem,volume,running_distance_p90,Distância em corrida por 90 min (m),21,54,11,21,43.3,60.2,937.99,976.665,-0.437,-1.16,0.28,0.10898,0.13622,0.73,False,sem diferença clara,False,False,indício
todos,Zaga,CM,sem,volume,m_per_min,Metros por minuto,21,54,11,21,43.8,59.4,97.44,98.975,-0.428,-1.02,0.17,0.10334,0.13622,0.73,False,sem diferença clara,False,False,indício
todos,Zaga,CM,sem,volume,m_per_min_tip,Metros por minuto COM a bola,21,54,11,21,35.0,56.7,119.41,122.275,-0.63,-1.4,0.05,0.02332,0.11662,0.73,False,pode ser sorte,False,False,indício
todos,Zaga,CM,sem,volume,m_per_min_otip,Metros por minuto SEM a bola,21,54,11,21,48.3,53.0,136.22,136.315,-0.066,-0.52,0.41,0.78932,0.78932,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,alta_intensidade,hi_distance_p90,Distância em alta intensidade por 90 (m),13,54,8,21,52.6,55.0,401.38,426.935,-0.283,-0.95,0.45,0.39732,0.78679,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,alta_intensidade,hi_count_p90,Ações em alta intensidade por 90,13,54,8,21,55.0,51.9,34.56,35.185,-0.206,-0.72,0.37,0.52452,0.78679,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,alta_intensidade,hsr_distance_p90,Distância em corrida de alta velocidade por 90 (m),13,54,8,21,48.3,56.7,303.87,320.185,-0.313,-0.96,0.36,0.38162,0.78679,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,alta_intensidade,high_accel_p90,Acelerações fortes por 90,13,54,8,21,45.8,46.5,4.96,4.83,0.1,-0.47,0.69,0.76418,0.9112,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,alta_intensidade,hi_distance_p30tip,Alta intensidade por 30 min COM a bola (m),13,54,8,21,50.0,54.7,129.87,132.92,-0.265,-0.93,0.47,0.46404,0.78679,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,alta_intensidade,hi_distance_p30otip,Alta intensidade por 30 min SEM a bola (m),13,54,8,21,58.3,50.4,332.79,332.83,-0.035,-0.7,0.69,0.9112,0.9112,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,sem,alta_intensidade,hi_distance_p90,Distância em alta intensidade por 90 (m),21,54,11,21,48.3,55.0,420.19,426.935,-0.08,-0.66,0.46,0.75498,0.98971,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,sem,alta_intensidade,hi_count_p90,Ações em alta intensidade por 90,21,54,11,21,45.0,51.9,34.21,35.185,0.003,-0.53,0.49,0.98971,0.98971,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,sem,alta_intensidade,hsr_distance_p90,Distância em corrida de alta velocidade por 90 (m),21,54,11,21,40.0,56.7,303.41,320.185,-0.137,-0.74,0.45,0.61087,0.98971,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,sem,alta_intensidade,high_accel_p90,Acelerações fortes por 90,21,54,11,21,53.3,46.5,4.84,4.83,0.105,-0.54,0.73,0.6901,0.98971,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
