treinador,clube,clube_wyscout,id_clube,temporada,interino,em_curso,inicio,fim,rodadas,rodada_1a,rodada_ultima,rodadas_no_ano,jogos_tm_todas_competicoes,ppj_tm_todas_competicoes,fim_inferido
Eduardo Barroca,Avaí FC,Avaí,2035,2024,0,0,2023-07-07,2024-04-27,2,1,2,38,40,1.45,0
Marquinhos,Avaí FC,Avaí,2035,2024,0,0,2024-05-02,2024-05-05,1,3,3,38,1,1.00,0
Gilmar Dal Pozzo,Avaí FC,Avaí,2035,2024,0,0,2024-05-06,2024-08-05,16,4,19,38,16,1.50,0
Enderson Moreira,Avaí FC,Avaí,2035,2024,0,0,2024-08-05,2025-03-24,19,20,38,38,34,1.59,0
Jair Ventura,Avaí FC,Avaí,2035,2025,0,0,2025-03-31,2025-09-22,27,1,27,38,27,1.37,0
Vinícius,Avaí FC,Avaí,2035,2025,0,0,2025-09-25,2025-11-28,11,28,38,38,10,1.60,0
Cauan de Almeida,Avaí FC,Avaí,2035,2026,0,0,2025-12-02,2026-07-06,15,1,15,27,37,1.41,0
Allan Aal,Avaí FC,Avaí,2035,2026,0,1,2026-07-09,,11,17,27,27,12,1.42,0
Sidney Moraes,Boa EC,Boa,17561,2018,0,0,2017-11-09,2018-05-06,4,1,4,38,22,1.14,0
Daniel Paulista,Boa EC,Boa,17561,2018,0,0,2018-05-07,2018-06-24,8,5,12,38,8,0.75,0
Ney da Matta,Boa EC,Boa,17561,2018,0,0,2018-06-26,2018-10-09,18,13,30,38,18,1.11,0
Tuca Guimarães,Boa EC,Boa,17561,2018,0,0,2018-10-09,2019-02-25,8,31,38,38,16,0.75,0
Roberto Cavalo,Botafogo FC,Botafogo-SP,9030,2019,0,0,2019-02-19,2019-08-06,14,1,14,38,21,1.48,0
Émerson Nunes,Botafogo FC,Botafogo-SP,9030,2019,1,0,2019-08-09,2019-08-13,1,15,15,38,1,1.00,0
Hemerson Maria,Botafogo FC,Botafogo-SP,9030,2019,0,0,2019-08-14,2019-12-03,23,16,38,38,23,1.13,0
Claudinei Oliveira,Botafogo FC,Botafogo-SP,9030,2020,0,0,2020-02-17,2020-11-21,22,1,22,31,30,1.00,0
Moacir Júnior,Botafogo FC,Botafogo-SP,9030,2020,0,0,2020-11-23,2021-01-28,9,23,31,31,15,1.07,0
Moacir Júnior,Botafogo FC,Botafogo-SP,9030,2021,0,0,2020-11-23,2021-01-28,6,1,6,7,15,1.07,0
Adilson Batista,Botafogo FC,Botafogo-SP,9030,2023,0,0,2023-02-28,2023-06-24,13,1,13,38,19,1.16,0
José Leão,Botafogo FC,Botafogo-SP,9030,2023,1,0,2023-06-27,2023-06-29,1,14,14,38,1,3.00,0
Marcelo Chamusca,Botafogo FC,Botafogo-SP,9030,2023,0,0,2023-06-30,2023-11-22,23,15,37,38,23,1.13,0
José Leão,Botafogo FC,Botafogo-SP,9030,2023,1,0,2023-11-23,2023-11-27,1,38,38,38,1,0.00,0
Paulo Gomes,Botafogo FC,Botafogo-SP,9030,2024,0,0,2023-12-07,2024-10-01,28,1,28,38,44,1.16,0
Márcio Zanardi,Botafogo FC,Botafogo-SP,9030,2024,0,0,2024-10-03,2025-05-18,10,29,38,38,30,0.97,0
Márcio Zanardi,Botafogo FC,Botafogo-SP,9030,2025,0,0,2024-10-03,2025-05-18,8,1,8,38,30,0.97,0
Allan Aal,Botafogo FC,Botafogo-SP,9030,2025,0,0,2025-05-20,2025-10-06,22,9,30,38,22,1.09,0
Claudio Tencati,Botafogo FC,Botafogo-SP,9030,2026,0,1,2025-11-24,,27,1,27,27,35,1.17,0
Marcelo Chamusca,Botafogo FR,Botafogo,537,2021,0,0,2021-03-09,2021-07-13,10,1,10,38,25,1.24,0
Ricardo Resende,Botafogo FR,Botafogo,537,2021,1,0,2021-07-16,2022-03-27,28,11,38,38,10,1.30,0
Jerson Testoni,Brusque FC,Brusque,14390,2021,0,0,2019-09-30,2021-09-14,23,1,23,38,84,1.56,0
Waguinho Dias,Brusque FC,Brusque,14390,2021,0,0,2021-09-15,2022-05-15,15,24,38,38,39,1.59,0
Waguinho Dias,Brusque FC,Brusque,14390,2022,0,0,2021-09-15,2022-05-15,7,1,7,38,39,1.59,0
Luan Carlos,Brusque FC,Brusque,14390,2022,0,0,2022-05-17,2022-08-31,20,8,27,38,20,1.05,0
Gilson Kleina,Brusque FC,Brusque,14390,2022,0,0,2022-09-02,2022-11-07,11,28,38,38,11,0.55,0
Luizinho Lopes,Brusque FC,Brusque,14390,2024,0,0,2022-11-11,2024-05-20,6,1,6,38,72,1.54,0
Luizinho Vieira,Brusque FC,Brusque,14390,2024,0,0,2024-05-20,2024-09-09,19,7,25,38,20,0.95,0
Marcelo Cabo,Brusque FC,Brusque,14390,2024,0,0,2024-09-09,2024-11-25,13,26,38,38,13,1.00,0
Antônio Carlos Zago,CA Bragantino,Bragantino,8793,2019,0,0,2019-04-23,2020-01-01,38,1,38,38,37,2.00,0
Marcelo Cabo,CR Vasco da Gama,Vasco,978,2021,0,0,2021-03-02,2021-07-19,12,1,12,38,30,1.73,0
