treinador,clube,clube_wyscout,id_clube,temporada,interino,em_curso,inicio,fim,rodadas,rodada_1a,rodada_ultima,rodadas_no_ano,jogos_tm_todas_competicoes,ppj_tm_todas_competicoes,fim_inferido
Luizinho Lopes,Paysandu SC,Paysandu,6347,2025,0,0,2025-02-12,2025-06-02,9,1,9,38,24,1.25,0
Claudinei Oliveira,Paysandu SC,Paysandu,6347,2025,0,0,2025-06-08,2025-09-05,13,12,24,38,13,1.31,0
Márcio Fernandes,Paysandu SC,Paysandu,6347,2025,0,0,2025-09-09,2025-11-03,10,26,35,38,10,0.60,0
Francisco Diá,Sampaio Corrêa FC,Sampaio Corrêa,3319,2018,0,0,2017-02-26,2018-05-08,5,1,5,38,44,1.52,0
Roberto Fonseca,Sampaio Corrêa FC,Sampaio Corrêa,3319,2018,0,0,2018-05-15,2018-07-25,12,6,17,38,18,1.33,0
Paulo Roberto Santos,Sampaio Corrêa FC,Sampaio Corrêa,3319,2018,0,0,2018-07-26,2018-09-06,8,18,25,38,7,0.71,0
Marcinho Guerreiro,Sampaio Corrêa FC,Sampaio Corrêa,3319,2018,0,0,2018-09-07,2018-12-01,13,26,38,38,13,1.31,0
Léo Condé,Sampaio Corrêa FC,Sampaio Corrêa,3319,2020,0,0,2020-03-12,2021-01-31,31,1,31,31,43,1.65,0
Léo Condé,Sampaio Corrêa FC,Sampaio Corrêa,3319,2021,0,0,2020-03-12,2021-01-31,7,1,7,45,43,1.65,0
Felipe Surian,Sampaio Corrêa FC,Sampaio Corrêa,3319,2021,0,0,2021-05-28,2021-10-29,32,8,39,45,32,1.25,0
João Brigatti,Sampaio Corrêa FC,Sampaio Corrêa,3319,2021,0,0,2021-11-03,2022-03-20,6,40,45,45,21,1.52,0
Léo Condé,Sampaio Corrêa FC,Sampaio Corrêa,3319,2022,0,0,2022-03-28,2022-11-17,38,1,38,38,42,1.50,0
Evaristo Piza,Sampaio Corrêa FC,Sampaio Corrêa,3319,2023,0,0,2023-03-10,2023-05-04,4,1,4,38,6,0.50,0
Edson Silva,Sampaio Corrêa FC,Sampaio Corrêa,3319,2023,1,0,2023-05-05,2023-05-10,1,5,5,38,1,3.00,0
Márcio Fernandes,Sampaio Corrêa FC,Sampaio Corrêa,3319,2023,0,0,2023-05-10,2023-09-11,22,6,27,38,22,1.05,0
Fernando Marchiori,Sampaio Corrêa FC,Sampaio Corrêa,3319,2023,0,0,2023-09-13,2023-10-31,7,28,34,38,7,1.14,0
Dejair Ferreira,Sampaio Corrêa FC,Sampaio Corrêa,3319,2023,0,0,2023-11-01,2023-11-27,4,35,38,38,4,0.75,0
Fábio Carille,Santos FC,Santos,221,2024,0,0,2024-01-01,2024-11-18,37,1,37,38,53,1.92,0
Leandro Zago,Santos FC,Santos,221,2024,1,0,2024-11-18,2024-12-09,1,38,38,38,1,0.00,0
Guto Ferreira,Sport Recife,Sport,8718,2019,0,0,2019-02-20,2020-02-13,38,1,38,38,54,1.83,0
Gilmar Dal Pozzo,Sport Recife,Sport,8718,2022,0,0,2022-03-15,2022-06-26,14,1,14,38,21,1.62,0
César Lucena,Sport Recife,Sport,8718,2022,1,0,2022-06-26,2022-07-01,1,15,15,38,1,0.00,0
Lisca,Sport Recife,Sport,8718,2022,0,0,2022-07-01,2022-07-19,3,16,18,38,4,1.50,0
César Lucena,Sport Recife,Sport,8718,2022,1,0,2022-07-19,2022-07-26,2,19,20,38,1,0.00,0
Claudinei Oliveira,Sport Recife,Sport,8718,2022,0,0,2022-07-27,2022-11-16,18,21,38,38,18,1.67,0
Enderson Moreira,Sport Recife,Sport,8718,2023,0,0,2022-11-18,2023-11-19,37,1,37,38,68,1.90,0
César Lucena,Sport Recife,Sport,8718,2023,1,0,2023-11-20,2023-11-27,1,38,38,38,1,3.00,0
Mariano Soso,Sport Recife,Sport,8718,2024,0,0,2023-12-05,2024-07-25,14,1,14,38,41,2.00,0
César Lucena,Sport Recife,Sport,8718,2024,1,0,2024-07-22,2024-07-24,1,15,15,38,1,1.00,0
César Lucena,Sport Recife,Sport,8718,2024,0,0,2024-07-26,2024-07-28,1,16,16,38,1,3.00,0
Guto Ferreira,Sport Recife,Sport,8718,2024,0,0,2024-07-26,2024-08-28,5,17,21,38,5,0.80,0
Pepa,Sport Recife,Sport,8718,2024,0,0,2024-09-03,2025-05-04,17,22,38,38,43,1.70,0
Roger Silva,Sport Recife,Sport,8718,2026,0,0,2025-12-23,2026-03-23,1,1,1,27,12,2.25,0
Márcio Goiano,Sport Recife,Sport,8718,2026,0,0,2026-03-24,2026-06-29,14,2,15,27,22,1.91,0
Gilmar Dal Pozzo,Sport Recife,Sport,8718,2026,0,0,2026-06-30,2026-09-06,11,16,26,27,11,1.18,0
Mariano Soso,Sport Recife,Sport,8718,2026,0,1,2026-09-09,,1,27,27,27,2,1.50,0
Ricardo Catalá,São Bernardo FC,São Bernardo,16439,2026,0,0,2024-04-04,2026-07-28,20,1,20,26,100,1.44,0
Vinícius,São Bernardo FC,São Bernardo,16439,2026,0,1,2026-08-06,,6,21,26,26,8,1.38,0
Hemerson Maria,Tombense FC,Tombense,3234,2022,0,0,2022-02-25,2022-05-12,6,1,6,37,15,1.07,0
Bruno Pivetti,Tombense FC,Tombense,3234,2022,0,0,2022-05-13,2022-11-07,31,7,37,37,32,1.28,0
Marcelo Chamusca,Tombense FC,Tombense,3234,2023,0,0,2023-01-17,2023-06-05,10,1,10,38,26,1.15,0
Julian Tobar,Tombense FC,Tombense,3234,2023,1,0,2023-06-06,2023-06-22,2,11,12,38,2,1.50,0
João Burse,Tombense FC,Tombense,3234,2023,0,0,2023-06-23,2023-08-23,12,13,24,38,12,0.92,0
Moacir Júnior,Tombense FC,Tombense,3234,2023,0,0,2023-08-25,2023-11-30,14,25,38,38,14,1.21,0
Hemerson Maria,Vila Nova FC,Vila Nova,5677,2018,0,0,2017-05-09,2018-11-26,38,1,38,38,96,1.54,0
Eduardo Baptista,Vila Nova FC,Vila Nova,5677,2019,0,0,2019-02-23,2019-07-14,9,1,9,38,23,1.13,0
Marcelo Cabo,Vila Nova FC,Vila Nova,5677,2019,0,0,2019-07-19,2019-10-03,17,10,26,38,17,1.12,0
Rafael Toledo,Vila Nova FC,Vila Nova,5677,2019,1,0,2019-10-04,2019-10-18,3,27,29,38,3,0.33,0
Itamar Schulle,Vila Nova FC,Vila Nova,5677,2019,0,0,2019-10-18,2019-12-01,9,30,38,38,9,1.00,0
Wagner Lopes,Vila Nova FC,Vila Nova,5677,2021,0,0,2021-03-08,2021-06-24,6,1,6,38,23,1.52,0
Higo Magalhães,Vila Nova FC,Vila Nova,5677,2021,1,0,2021-06-24,2021-08-12,11,7,17,38,11,1.18,0
Hemerson Maria,Vila Nova FC,Vila Nova,5677,2021,0,0,2021-08-12,2021-08-23,3,18,20,38,3,0.33,0
Higo Magalhães,Vila Nova FC,Vila Nova,5677,2021,0,0,2021-08-23,2022-05-15,18,21,38,38,50,1.60,0
Higo Magalhães,Vila Nova FC,Vila Nova,5677,2022,0,0,2021-08-23,2022-05-15,7,1,7,38,50,1.60,0
Dado Cavalcanti,Vila Nova FC,Vila Nova,5677,2022,0,0,2022-05-18,2022-07-02,9,8,16,38,9,0.56,0
Allan Aal,Vila Nova FC,Vila Nova,5677,2022,0,0,2022-07-07,2022-11-23,22,17,38,38,28,1.64,0
Claudinei Oliveira,Vila Nova FC,Vila Nova,5677,2023,0,0,2022-12-14,2023-08-03,21,1,21,38,39,1.56,0
Marquinhos Santos,Vila Nova FC,Vila Nova,5677,2023,0,0,2023-08-04,2023-09-20,8,22,29,38,8,1.38,0
Lisca,Vila Nova FC,Vila Nova,5677,2023,0,0,2023-09-26,2023-10-21,4,30,33,38,4,1.25,0
Higo Magalhães,Vila Nova FC,Vila Nova,5677,2023,0,0,2023-10-27,2024-03-18,5,34,38,38,19,2.11,0
Márcio Fernandes,Vila Nova FC,Vila Nova,5677,2024,0,0,2024-03-19,2024-05-23,6,1,6,38,14,1.43,0
Luizinho Lopes,Vila Nova FC,Vila Nova,5677,2024,0,0,2024-05-24,2024-10-21,26,7,32,38,26,1.54,0
Thiago Carvalho,Vila Nova FC,Vila Nova,5677,2024,0,0,2024-10-22,2024-11-25,6,33,38,38,6,1.00,0
Rafael Lacerda,Vila Nova FC,Vila Nova,5677,2025,0,0,2025-01-01,2025-06-11,11,1,11,38,34,1.71,0
Luizinho Lopes,Vila Nova FC,Vila Nova,5677,2025,0,0,2025-06-12,2025-08-04,9,12,20,38,9,1.22,0
Paulo Turra,Vila Nova FC,Vila Nova,5677,2025,0,0,2025-08-04,2025-09-25,8,21,28,38,8,1.25,0
Umberto Louzer,Vila Nova FC,Vila Nova,5677,2025,0,0,2025-09-30,2026-03-18,9,30,38,38,24,1.58,0
Guto Ferreira,Vila Nova FC,Vila Nova,5677,2026,0,1,2026-03-27,,25,2,26,26,28,1.61,0
Rogério Corrêa,Volta Redonda FC,Volta Redonda,4176,2025,0,0,2024-02-21,2025-12-04,38,1,38,38,78,1.37,0
