setor,bloco,indicador,nome,sentido,n_sobe,mediana_pct_sobe,piso_pct,piso_em_unidade_de_jogo,sem_piso_porque,cobertura_pct,no_perfil_curto
Extremo,fisico,psv,Velocidade de pico da temporada (km/h),maior é melhor,17,69.7,65,29.84,,,0
Extremo,fisico,expl,Arrancadas explosivas até o sprint por 90 min,maior é melhor,17,53.3,50,1.85,,,0
Atacante,fisico,t505_90,Tempo para girar 90 graus (s),menor é melhor,23,58.8,55,1.88,,100.0,1
Atacante,fisico,spr_n,Sprints por 90 min,maior é melhor,23,62.5,60,11.29,,100.0,1
Atacante,fisico,spr_km,Distância em sprint por 90 min (m),maior é melhor,23,60.0,60,210.75,,100.0,0
Atacante,fisico,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",maior é melhor,23,48.7,,,quem subiu não estava acima da mediana da liga neste número,100.0,0
Atacante,fisico,t_hsr_cod,Tempo até a alta velocidade depois de mudar de direção (s),menor é melhor,23,55.0,55,0.68,,99.3,0
Atacante,fisico,hsr,Distância em corrida de alta velocidade por 90 min (m),maior é melhor,23,55.0,55,527.46,,100.0,0
Atacante,fisico,psv,Velocidade de pico da temporada (km/h),maior é melhor,23,59.0,55,28.89,,100.0,0
Atacante,fisico,expl,Arrancadas explosivas até o sprint por 90 min,maior é melhor,23,62.5,60,1.72,,100.0,0
Goleiro,duelo_corpo,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",maior é melhor,16,19.6,,,quem subiu não estava acima da mediana da liga neste número,100.0,1
