temporada,clube,faixa,trave,fronteira,dist_g4,no_recorte,jogador,posicao,setor,idade_na_temporada,sc_player_id,sc_nome,sc_short_name,wyscout_player_id,nascimento,minutos_wy,jogos_wy,fatia_pct,sc_matches,sc_min_medio,sc_min_tot,sc_poucos_jogos,tem_fisico,elegivel,titular,titular_ordem,clube_sc,clube_confere,clubes_no_ano_sc,cobertura_clube_pct,cobertura_baixa,distance_p90,running_distance_p90,m_per_min,m_per_min_tip,m_per_min_otip,hi_distance_p90,hi_count_p90,hsr_distance_p90,high_accel_p90,hi_distance_p30tip,hi_distance_p30otip,sprint_distance_p90,sprint_count_p90,sprint_count_p30tip,sprint_count_p30otip,psv99,psv99_top5,distance_p90_m60,running_distance_p90_m60,m_per_min_m60,hi_distance_p90_m60,hi_count_p90_m60,hsr_distance_p90_m60,high_accel_p90_m60,sprint_distance_p90_m60,sprint_count_p90_m60,psv99_m60,identidade
2022,Bahia,Sobe,0,0,0,1,Lucas Mugni,LDMF,Volante,30.0,32845,Lucas Andrés Mugni,Lucas Mugni,86485,1992-01-12,2201.0,29.0,59.3,29,75.9,2201,0,1,1,1,2,,,,77.8,1,10332.06,1710.14,114.8,141.75,167.26,816.28,65.83,656.61,5.72,420.19,586.71,159.68,8.67,3.87,6.21,27.72,30.0,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Rezende,LDMF,Volante,27.0,177402,Júlio César de Rezende Miranda,Rezende,349056,1995-01-02,1982.0,28.0,53.4,27,69.7,1883,0,1,1,0,,,,,77.8,1,10116.5,1392.77,112.41,133.77,167.14,644.06,57.36,498.93,5.4,177.77,602.03,145.13,8.46,1.94,7.39,28.69,30.7,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Emerson Santos,RDMF,Volante,30.0,177403,Emerson Gustavo Pinto dos Santos,Emerson Santos,41141,1992-02-27,966.0,22.0,26.0,21,44.8,942,0,1,1,0,,,,,77.8,1,9687.77,1237.05,107.64,132.63,160.56,494.04,43.68,399.89,5.73,141.61,454.95,94.14,5.83,1.19,4.27,26.86,29.9,,,,,,,,,,,nome_colide
2022,Bahia,Sobe,0,0,0,1,Falcão,LDMF,Volante,24.0,31682,Lucas de Oliveira Teodoro Falcão,Falcão,556825,1998-04-14,150.0,7.0,4.0,7,21.4,149,1,1,0,0,,,,,77.8,1,10797.59,1775.71,119.97,149.26,170.69,710.53,62.62,583.47,6.02,361.62,492.89,127.05,6.62,3.03,2.91,27.37,28.1,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Ignácio,RCB,Zaga,25.0,24791,Ignácio da Silva Oliveira,Ignácio,556956,1996-12-01,3355.0,35.0,90.4,34,95.9,3259,0,1,1,1,1,,,,77.8,1,8789.41,910.46,97.66,120.0,138.3,382.63,36.48,294.91,5.47,129.87,324.83,87.73,5.63,1.33,4.52,28.86,32.02,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Luiz Otávio,LCB,Zaga,29.0,25277,Luiz Otávio da Silva Santos,Luiz Otávio,295697,1992-10-09,2685.0,28.0,72.4,27,95.9,2588,0,1,1,1,2,,,,77.8,1,8382.38,824.87,93.14,113.56,133.29,289.27,25.48,225.78,4.55,84.33,258.37,63.49,3.16,0.51,2.48,28.04,31.46,,,,,,,,,,,nome_colide
2022,Bahia,Sobe,0,0,0,1,Gabriel Xavier,LCB,Zaga,21.0,175735,Gabriel Lheman Xavier,Gabriel Xavier,555330,2001-05-06,1046.0,14.0,28.2,14,74.8,1047,0,1,1,0,,,,,77.8,1,9200.71,1061.87,102.23,126.59,143.37,459.21,42.72,348.51,5.5,165.58,360.91,110.7,6.62,1.95,4.66,28.07,29.26,,,,,,,,,,,
2022,Bahia,Sobe,0,0,0,1,Didi,LCB,Zaga,31.0,25282,Vinicius José Ignácio,Didi,40467,1991-05-25,726.0,9.0,19.6,8,88.6,709,0,1,0,0,,,,,77.8,1,9160.56,1126.52,101.78,128.36,140.92,472.04,40.37,388.37,5.21,197.53,336.84,83.67,5.97,1.68,4.36,28.99,30.18,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Alex Sandro,CF,Atacante,27.0,172989,Alex Sandro de Oliveira,Alex Sandro,170350,1995-08-20,2035.0,27.0,54.0,26,75.7,1967,0,1,1,1,1,,,,85.0,0,9365.74,1204.64,104.06,137.88,134.55,850.38,76.54,600.26,10.29,502.47,474.02,250.12,13.95,7.43,7.76,30.06,31.8,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Crislan,CF,Atacante,30.0,177413,Crislan Henrique da Silva de Sousa,Crislan,46537,1992-03-13,1125.0,21.0,29.9,20,53.4,1067,0,1,1,1,2,,,,85.0,0,9354.86,1010.93,103.94,131.05,136.04,580.94,52.28,428.14,8.6,313.98,353.3,152.8,8.18,3.35,4.48,29.07,31.24,,,,,,,,,,,
