jogador,setor,liga_origem,ano,clube,na_fronteira,clube_sem_ponte,fatia_origem,temporadas_com_dado,minutagem_alta,minutagem_alta_e_regular,indicadores_com_dado,duelo_corpo,estilo_tecnico,filtro_j09,minutos,jogou_900
W. Clar,Lateral,Paraguai,2025,Chapecoense,True,False,100.0,2,True,True,4,True,True,True,3795.0,1.0
Val Soares,Volante,Portugal A,2024,Paysandu,False,False,79.6,1,True,False,4,False,False,False,1073.0,1.0
Lucas Gazal,Zaga,China,2026,Fortaleza,True,False,62.3,1,True,False,4,False,False,False,919.0,1.0
J. Cuenú,Zaga,Colombia A,2026,Operário-PR,False,False,28.4,3,False,False,4,False,False,False,903.0,1.0
J. Barreto,Zaga,Paraguai,2026,Atlético-GO,False,False,47.7,3,False,False,4,False,True,False,671.0,0.0
Léo Coelho,Zaga,Uruguai,2025,Amazonas,False,False,55.3,3,False,False,4,False,False,False,1315.0,1.0
E. Brítez,Zaga,Argentina A,2026,Fortaleza,True,False,42.7,1,False,False,4,False,False,False,1017.0,1.0
J. Novillo,Zaga,Chile,2025,Paysandu,False,False,16.9,1,False,False,4,False,True,False,1361.0,1.0
L. Segovia,Zaga,Belgica A,2024,CRB,False,False,77.5,1,True,False,4,False,True,False,1229.0,1.0
J. Aguirre,Zaga,Colombia A,2025,Athletico-PR,False,False,62.0,2,True,True,4,False,False,False,1310.0,1.0
F. Avenatti,Atacante,Uruguai,2026,Avaí,True,False,38.1,2,True,False,4,True,True,False,381.0,0.0
K. Viveros,Atacante,Colombia A,2025,Athletico-PR,False,False,75.9,2,True,True,4,False,False,False,1855.0,1.0
Hernandes,Atacante,Coreia A,2026,Cuiabá,False,False,76.9,1,True,False,4,False,True,False,390.0,0.0
Rafa Silva,Atacante,Coreia A,2026,Vila Nova,True,False,42.0,1,True,False,4,False,False,False,432.0,0.0
Sandro Lima,Atacante,Coreia A,2025,Atlético-GO,False,False,24.5,1,False,False,4,False,True,False,1203.0,1.0
R. Carrillo,Atacante,Portugal A,2025,Botafogo-SP,True,False,49.3,1,True,False,4,False,True,False,987.0,1.0
J. Miritello,Atacante,Argentina A,2026,Fortaleza,True,False,56.2,1,True,False,4,False,False,False,636.0,0.0
Alisson Safira,Atacante,Portugal B,2025,Cuiabá,False,False,29.7,1,False,False,4,False,True,False,1742.0,1.0
Fábio Lima,Extremo,Bulgaria,2026,Juventude,True,False,19.5,1,False,False,4,False,False,False,513.0,0.0
Pedro Vitor,Extremo,Coreia B,2026,São Bernardo,False,False,61.0,1,True,False,4,False,False,False,647.0,0.0
Jader,Extremo,Chile,2025,Cuiabá,False,False,14.8,1,False,False,4,False,False,False,700.0,0.0
D. Vera,Extremo,Equador A,2026,Athletic,False,False,75.7,3,True,True,4,False,False,False,379.0,0.0
Jefferson Nem,Extremo,Portugal C,2025,Botafogo-SP,True,False,68.9,2,True,True,4,False,False,False,2512.0,1.0
Carlos Akapo,Lateral,EUA,2025,Amazonas,False,False,54.2,2,True,True,4,True,True,True,1062.0,1.0
Ruan,Lateral,EUA,2025,Atlético-GO,False,False,85.5,2,True,True,4,True,True,True,1040.0,1.0
Léo Alaba,Lateral,Portugal B,2025,Criciúma,True,False,70.0,2,True,True,4,False,False,False,884.0,0.0
Lucas Lovat,Lateral,Eslovaquia,2025,Goiás,True,False,25.4,2,False,False,4,True,True,False,836.0,0.0
G. Cabezas,Volante,Colombia A,2026,Athletic,False,False,19.3,3,False,False,4,False,False,False,572.0,0.0
João Schmidt,Volante,Japao A,2024,Santos,False,False,60.7,1,True,False,4,False,False,False,3154.0,1.0
Luizão,Volante,Polonia,2025,Atlético-GO,False,False,72.8,2,True,True,4,False,False,False,2159.0,1.0
João Basso,Zaga,Portugal A,2024,Santos,False,False,100.0,1,True,False,4,True,True,False,687.0,0.0
L. Haquín,Zaga,Colombia A,2024,Ponte Preta,False,False,39.2,1,False,False,4,False,False,False,603.0,0.0
C. Terán,Zaga,EUA,2025,Athletico-PR,False,False,44.9,2,False,False,4,False,False,False,837.0,0.0
Matheus Costa,Zaga,Portugal B,2024,Botafogo-SP,False,False,100.0,1,True,False,4,False,False,False,1775.0,1.0
Y. Quintana,Zaga,Uruguai,2024,Paysandu,False,False,34.1,1,False,False,4,False,True,False,2143.0,1.0
Wallace,Zaga,Emirados,2025,Atlético-GO,False,False,47.7,1,False,False,4,False,True,False,728.0,0.0
Ronaldo Tavares,Atacante,Portugal A,2025,Athletic,False,False,53.8,1,True,False,4,True,True,False,2037.0,1.0
Thiaguinho,Extremo,Bahrain,2025,CRB,False,False,60.3,1,True,False,4,False,False,False,2730.0,1.0
J. Torres,Extremo,Chile,2025,Amazonas,False,False,18.2,1,False,False,4,False,False,False,1413.0,1.0
Guilherme Marques,Extremo,China,2026,Atlético-GO,False,False,32.2,1,False,False,4,False,False,False,429.0,0.0
Jája Silva,Extremo,Emirados,2025,Goiás,True,False,100.0,1,True,False,4,False,False,False,1486.0,1.0
Diego Zabala,Extremo,Uruguai,2025,Amazonas,False,False,45.7,1,True,False,4,False,False,False,906.0,1.0
Pedro Castro,Volante,Emirados,2025,Remo,True,False,100.0,1,True,False,4,False,False,False,1692.0,1.0
Marquinho,Meia,Portugal B,2025,Botafogo-SP,True,False,54.0,1,True,False,4,False,False,False,1504.0,1.0
Gonzalo Freitas,Volante,Uruguai,2025,Goiás,True,False,39.6,1,False,False,4,False,False,False,1255.0,1.0
Jaime Giraldo,Zaga,Colombia B,2025,Operário-PR,False,False,60.5,1,True,False,4,False,False,False,1066.0,1.0
Daniel Penha,Atacante,China,2026,Avaí,True,False,40.3,1,True,False,4,True,True,False,567.0,0.0
Val Soares,Volante,Japao B,2026,América-MG,False,False,31.2,1,False,False,4,False,False,False,330.0,0.0
Caio Marcelo,Zaga,Coreia A,2026,Vila Nova,True,False,86.4,1,True,False,4,False,False,False,480.0,0.0
