fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,subamostra,unidade,medida_nome,nome
sem,topo,SM,max_hi_distance_p90,0,8,32,89.359,86.386,0.185,"[-0.8, 1.21]",0.69132,1.14,0.77695,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Alta intensidade: o melhor do onze
sem,topo,SM,max_sprint_count_p90,0,8,32,92.385,90.086,0.134,"[-0.86, 1.23]",0.77695,1.14,0.77695,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Sprints: o melhor do onze
sem,topo,SM,max_high_accel_p90,0,8,32,82.6,89.767,-0.428,"[-1.36, 0.51]",0.34061,1.14,0.51092,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Arrancadas fortes: o melhor do onze
sem,topo,SM,max_psv99,0,8,32,97.096,92.057,0.614,"[-0.23, 1.6]",0.1391,1.14,0.39521,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Velocidade de pico: o melhor do onze
sem,topo,SM,max_m_per_min,0,8,32,88.839,82.426,0.608,"[-0.29, 1.59]",0.17318,1.14,0.39521,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Metros por minuto: o melhor do onze
sem,topo,CM,max_distance_p90,0,12,32,87.811,82.426,0.389,"[-0.24, 1.11]",0.22161,0.97,0.26593,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Distância: o melhor do onze
sem,topo,CM,max_hi_distance_p90,0,12,32,80.401,86.386,-0.521,"[-1.3, 0.2]",0.13263,0.97,0.26526,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Alta intensidade: o melhor do onze
sem,topo,CM,max_sprint_count_p90,0,12,32,80.194,90.086,-0.9,"[-1.8, -0.22]",0.03782,0.97,0.14639,pode ser sorte,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Sprints: o melhor do onze
sem,topo,CM,max_high_accel_p90,0,12,32,80.224,89.767,-0.674,"[-1.5, 0.03]",0.0488,0.97,0.14639,pode ser sorte,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Arrancadas fortes: o melhor do onze
sem,topo,CM,max_psv99,0,12,32,93.476,92.057,-0.087,"[-0.73, 0.54]",0.78648,0.97,0.78648,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Velocidade de pico: o melhor do onze
sem,topo,CM,max_m_per_min,0,12,32,87.811,82.426,0.389,"[-0.25, 1.11]",0.22161,0.97,0.26593,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo,Metros por minuto: o melhor do onze
sem,distancia,SM,amp_distance_p90,0,8,32,77.786,73.628,0.813,"[0.08, 1.73]",0.05654,1.14,0.16963,sem diferença clara,False,todos,clube-temporada,percentil por setor do onze físico: máximo menos mínimo,Distância: do melhor ao último do onze
