treinador,clube,temporada,jogos_antes,jogos_depois,dist_remate_antes,dist_remate_depois,dist_remate_mudou,entradas_area_antes,entradas_area_depois,entradas_area_mudou,duelo_def_antes,duelo_def_depois,duelo_def_mudou,xg_antes,xg_depois,xg_mudou,xg_contra_antes,xg_contra_depois,xg_contra_mudou,xg_por_remate_antes,xg_por_remate_depois,xg_por_remate_mudou,xg_por_remate_contra_antes,xg_por_remate_contra_depois,xg_por_remate_contra_mudou
Claudinei Oliveira,Sport,2022,20,18,15.0,80.0,65.0,60.0,95.0,35.0,5.0,95.0,90.0,60.0,85.0,25.0,90.0,95.0,5.0,35.0,80.0,45.0,100.0,80.0,-20.0
Pepa,Sport,2024,21,17,85.0,100.0,15.0,90.0,95.0,5.0,5.0,80.0,75.0,75.0,100.0,25.0,70.0,100.0,30.0,65.0,100.0,35.0,80.0,95.0,15.0
Gilmar Dal Pozzo,Sport,2026,15,11,100.0,65.0,-35.0,35.0,30.0,-5.0,100.0,0.0,-100.0,85.0,80.0,-5.0,55.0,35.0,-20.0,100.0,85.0,-15.0,45.0,75.0,30.0
João Burse,Tombense,2023,12,12,95.0,80.0,-15.0,85.0,45.0,-40.0,80.0,75.0,-5.0,95.0,80.0,-15.0,90.0,0.0,-90.0,40.0,100.0,60.0,95.0,0.0,-95.0
Moacir Júnior,Tombense,2023,24,14,85.0,25.0,-60.0,80.0,25.0,-55.0,80.0,65.0,-15.0,90.0,5.0,-85.0,35.0,80.0,45.0,70.0,15.0,-55.0,15.0,100.0,85.0
Maurício Souza,Vasco,2022,12,8,100.0,85.0,-15.0,50.0,45.0,-5.0,100.0,60.0,-40.0,30.0,15.0,-15.0,85.0,80.0,-5.0,80.0,80.0,0.0,100.0,95.0,-5.0
Jorginho,Vasco,2022,28,10,95.0,100.0,5.0,50.0,25.0,-25.0,85.0,100.0,15.0,30.0,55.0,25.0,80.0,10.0,-70.0,80.0,100.0,20.0,90.0,0.0,-90.0
Allan Aal,Vila Nova,2022,16,22,35.0,20.0,-15.0,40.0,0.0,-40.0,65.0,85.0,20.0,55.0,10.0,-45.0,45.0,95.0,50.0,10.0,30.0,20.0,50.0,95.0,45.0
Marquinhos Santos,Vila Nova,2023,21,8,25.0,100.0,75.0,80.0,15.0,-65.0,80.0,60.0,-20.0,90.0,80.0,-10.0,95.0,100.0,5.0,15.0,75.0,60.0,80.0,100.0,20.0
Luizinho Lopes,Vila Nova,2025,11,9,30.0,30.0,0.0,25.0,0.0,-25.0,100.0,25.0,-75.0,25.0,45.0,20.0,95.0,15.0,-80.0,10.0,80.0,70.0,95.0,30.0,-65.0
Paulo Turra,Vila Nova,2025,20,8,30.0,10.0,-20.0,15.0,15.0,0.0,95.0,100.0,5.0,30.0,0.0,-30.0,55.0,30.0,-25.0,40.0,40.0,0.0,65.0,0.0,-65.0
Umberto Louzer,Vila Nova,2025,28,9,20.0,95.0,75.0,15.0,30.0,15.0,100.0,15.0,-85.0,10.0,85.0,75.0,50.0,45.0,-5.0,40.0,100.0,60.0,45.0,60.0,15.0
