treinador,clube,temporada,rodadas,inicio,dist_remate,entradas_area,duelo_def,xg,xg_contra,xg_por_remate,xg_por_remate_contra
Mozart,CSA,2022,12,2021-09-02,80.0,85.0,5.0,30.0,30.0,5.0,25.0
Alberto Valentim,CSA,2022,10,2022-06-17,70.0,90.0,5.0,15.0,10.0,45.0,75.0
Roberto Fernandes,CSA,2022,11,2022-08-08,80.0,60.0,65.0,30.0,45.0,30.0,85.0
Eduardo Barroca,Ceará,2023,12,2023-04-27,75.0,10.0,0.0,50.0,0.0,85.0,15.0
Guto Ferreira,Ceará,2023,11,2023-06-30,55.0,45.0,40.0,50.0,65.0,65.0,15.0
Vagner Mancini,Ceará,2023,13,2023-09-01,30.0,85.0,40.0,80.0,75.0,70.0,85.0
Vagner Mancini,Ceará,2024,12,2023-09-01,95.0,90.0,5.0,100.0,50.0,100.0,40.0
Léo Condé,Ceará,2024,25,2024-07-04,85.0,80.0,100.0,90.0,100.0,75.0,80.0
Mozart,Ceará,2026,11,2025-12-12,100.0,55.0,95.0,75.0,20.0,85.0,5.0
Daniel Paulista,Ceará,2026,12,2026-06-25,50.0,50.0,0.0,10.0,5.0,0.0,0.0
Gilson Kleina,Chapecoense,2022,15,2022-04-08,45.0,55.0,95.0,10.0,65.0,5.0,80.0
Marcelo Cabo,Chapecoense,2022,10,2022-07-11,0.0,27.5,65.0,30.0,80.0,5.0,95.0
Gilmar Dal Pozzo,Chapecoense,2022,11,2022-09-02,65.0,55.0,100.0,85.0,45.0,45.0,5.0
Gilmar Dal Pozzo,Chapecoense,2023,11,2023-06-05,35.0,45.0,0.0,30.0,5.0,60.0,65.0
Claudinei Oliveira,Chapecoense,2023,17,2023-08-10,60.0,80.0,45.0,30.0,45.0,5.0,95.0
Umberto Louzer,Chapecoense,2024,17,2024-02-16,75.0,5.0,0.0,40.0,5.0,35.0,80.0
Gilmar Dal Pozzo,Chapecoense,2024,15,2024-08-20,50.0,5.0,10.0,5.0,45.0,5.0,85.0
Gilmar Dal Pozzo,Chapecoense,2025,38,2024-08-20,62.5,37.5,32.5,37.5,27.5,27.5,87.5
Jorginho,Coritiba,2024,19,2024-07-27,25.0,10.0,10.0,65.0,50.0,50.0,45.0
Mozart,Coritiba,2025,38,2024-12-04,92.5,32.5,72.5,12.5,97.5,47.5,97.5
Claudio Tencati,Criciúma,2022,38,2021-10-07,82.5,62.5,72.5,87.5,67.5,72.5,47.5
Claudio Tencati,Criciúma,2023,38,2021-10-07,82.5,82.5,62.5,32.5,52.5,22.5,47.5
Eduardo Baptista,Criciúma,2025,32,2025-05-07,80.0,45.0,45.0,85.0,80.0,95.0,95.0
Eduardo Baptista,Criciúma,2026,26,2025-05-07,42.5,82.5,67.5,57.5,77.5,32.5,57.5
Paulo Pezzolano,Cruzeiro,2022,38,2022-01-04,42.5,97.5,52.5,72.5,72.5,17.5,37.5
Guto Ferreira,Cuiabá,2025,21,2025-02-21,80.0,75.0,50.0,65.0,80.0,80.0,30.0
Eduardo Barros,Cuiabá,2025,17,2025-08-13,95.0,95.0,15.0,85.0,70.0,25.0,20.0
Eduardo Barros,Cuiabá,2026,23,2025-08-13,85.0,80.0,100.0,10.0,100.0,5.0,100.0
Vinícius,Ferroviária,2025,25,2025-02-17,10.0,0.0,20.0,30.0,15.0,50.0,20.0
Thiago Carpini,Fortaleza,2026,19,2025-12-11,60.0,67.5,30.0,70.0,40.0,30.0,40.0
Márcio Zanardi,Goiás,2024,18,2024-04-05,60.0,70.0,50.0,75.0,70.0,80.0,80.0
Vagner Mancini,Goiás,2024,20,2024-08-06,80.0,65.0,20.0,100.0,15.0,90.0,50.0
Vagner Mancini,Goiás,2025,32,2025-03-26,30.0,85.0,70.0,80.0,70.0,90.0,60.0
Daniel Paulista,Goiás,2026,14,2025-12-09,50.0,55.0,100.0,75.0,50.0,90.0,25.0
Mozart,Goiás,2026,13,2026-06-25,45.0,25.0,0.0,10.0,80.0,55.0,100.0
Roger Machado,Grêmio,2022,27,2022-02-14,25.0,75.0,70.0,75.0,95.0,80.0,95.0
Renato Gaúcho,Grêmio,2022,10,2022-09-08,100.0,95.0,100.0,100.0,100.0,100.0,90.0
Mozart,Guarani,2022,23,2022-07-01,85.0,55.0,30.0,45.0,65.0,60.0,65.0
Bruno Pivetti,Guarani,2023,10,2023-03-30,100.0,100.0,0.0,90.0,5.0,100.0,50.0
Umberto Louzer,Guarani,2023,26,2023-06-23,10.0,35.0,15.0,30.0,90.0,85.0,100.0
Allan Aal,Guarani,2024,20,2024-07-29,15.0,10.0,100.0,25.0,75.0,15.0,20.0
Mazola Júnior,Ituano,2022,17,2021-06-08,90.0,35.0,25.0,80.0,70.0,95.0,70.0
Carlos Pimentel,Ituano,2022,21,2022-07-15,95.0,25.0,50.0,75.0,35.0,100.0,35.0
Marcinho,Ituano,2023,30,2023-05-26,75.0,80.0,65.0,20.0,70.0,15.0,60.0
Alberto Valentim,Ituano,2024,32,2024-02-29,80.0,10.0,55.0,65.0,0.0,90.0,10.0
Thiago Carpini,Juventude,2023,32,2023-05-17,35.0,15.0,100.0,50.0,90.0,35.0,25.0
Maurício Barbieri,Juventude,2026,24,2025-12-11,90.0,55.0,70.0,35.0,90.0,55.0,90.0
Adilson Batista,Londrina,2022,37,2022-03-10,12.5,2.5,32.5,17.5,57.5,32.5,17.5
Eduardo Souza,Londrina,2023,12,2023-07-07,0.0,15.0,75.0,0.0,40.0,0.0,20.0
Roberto Fonseca,Londrina,2023,11,2023-09-13,35.0,15.0,10.0,65.0,0.0,85.0,20.0
Rogério Micale,Londrina,2026,18,2026-05-14,5.0,5.0,45.0,75.0,35.0,35.0,45.0
Mozart,Mirassol,2023,35,2023-05-04,90.0,45.0,15.0,85.0,95.0,75.0,90.0
Mozart,Mirassol,2024,38,2023-05-04,97.5,42.5,62.5,62.5,92.5,82.5,97.5
Allan Aal,Novorizontino,2022,13,2022-02-14,40.0,55.0,50.0,55.0,80.0,35.0,35.0
Rafael Guanaes,Novorizontino,2022,15,2022-06-22,65.0,95.0,25.0,75.0,0.0,5.0,0.0
Mazola Júnior,Novorizontino,2022,10,2022-09-05,90.0,85.0,5.0,100.0,40.0,100.0,35.0
Eduardo Baptista,Novorizontino,2023,38,2022-11-16,72.5,97.5,92.5,97.5,97.5,82.5,87.5
Eduardo Baptista,Novorizontino,2024,38,2022-11-16,32.5,47.5,47.5,47.5,97.5,37.5,82.5
Umberto Louzer,Novorizontino,2025,22,2025-04-04,10.0,40.0,100.0,85.0,55.0,80.0,30.0
Enderson Moreira,Novorizontino,2025,15,2025-08-26,80.0,95.0,10.0,100.0,100.0,80.0,95.0
Enderson Moreira,Novorizontino,2026,23,2025-08-26,85.0,90.0,75.0,100.0,90.0,95.0,95.0
Roberto Fernandes,Náutico,2022,16,2022-04-19,0.0,55.0,20.0,85.0,0.0,40.0,20.0
Dado Cavalcanti,Náutico,2022,13,2022-08-25,0.0,25.0,25.0,0.0,0.0,0.0,0.0
