fronteira,familia,comparacao,indicador,n_a,n_b,cru_a,cru_b,d,medida_nome,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,nome,placar_redescrito
sem,com_bola,esforco_x_efeito,fis_runs_penalty_area_p30tip×xg,52,52,3.012,1.169,0.497,rho de Spearman,"[0.26, 0.68]",0.00018,0.38,0.00093,firme,True,Corridas para a área × xG criado,True
sem,resultado,esforco_x_efeito,fis_distance_p90×dist_g4,52,52,9564.897,-13.173,0.011,rho de Spearman,"[-0.26, 0.28]",0.93779,0.38,0.93779,sem relação clara,False,Distância por 90 min × distância ao G4,True
sem,resultado,esforco_x_efeito,fis_hi_distance_p90×dist_g4,52,52,652.725,-13.173,0.249,rho de Spearman,"[-0.03, 0.49]",0.07489,0.38,0.16934,sem relação clara,False,Distância em alta intensidade × distância ao G4,True
sem,resultado,esforco_x_efeito,fis_sprint_distance_p90×dist_g4,52,52,165.647,-13.173,0.348,rho de Spearman,"[0.08, 0.57]",0.01154,0.38,0.05771,pode ser sorte,False,Sprint por 90 × distância ao G4,True
sem,resultado,esforco_x_efeito,fis_m_per_min_otip×dist_g4,52,52,146.987,-13.173,0.078,rho de Spearman,"[-0.2, 0.34]",0.58045,0.38,0.72556,sem relação clara,False,Metros por minuto sem posse × distância ao G4,True
sem,resultado,esforco_x_efeito,fis_m_per_min_tip×dist_g4,52,52,135.688,-13.173,-0.23,rho de Spearman,"[-0.47, 0.05]",0.1016,0.38,0.16934,sem relação clara,False,Metros por minuto com posse × distância ao G4,True
sem,tec_alta,SM_tec_alta,fis_distance_p90,7,9,9610.69,9632.014,-0.236,d de Cohen,"[-1.48, 0.87]",0.66236,1.52,0.82796,sem diferença clara,False,Distância por 90 min (m),True
sem,tec_alta,SM_tec_alta,fis_hi_distance_p90,7,9,666.779,657.792,0.249,d de Cohen,"[-0.83, 1.53]",0.63224,1.52,0.82796,sem diferença clara,False,Distância em alta intensidade por 90 (m),True
sem,tec_alta,SM_tec_alta,fis_sprint_distance_p90,7,9,168.4,167.98,0.099,d de Cohen,"[-0.98, 1.12]",0.84287,1.52,0.84287,sem diferença clara,False,Distância em sprint por 90 (m),True
sem,tec_alta,SM_tec_alta,fis_m_per_min_otip,7,9,148.623,147.321,0.312,d de Cohen,"[-0.72, 2.11]",0.54006,1.52,0.82796,sem diferença clara,False,Metros por minuto SEM posse,True
sem,tec_alta,SM_tec_alta,fis_m_per_min_tip,7,9,135.575,135.249,0.278,d de Cohen,"[-0.95, 1.88]",0.6191,1.52,0.82796,sem diferença clara,False,Metros por minuto COM posse,True
