fronteira,familia,comparacao,indicador,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,nome,placar_redescrito
com,progressao,ST,passes_frente_pct,16,16,72.421,71.127,0.459,"[-0.33, 1.31]",0.20401,1.02,0.51001,sem diferença clara,False,"Passes para frente, %",False
com,progressao,ST,passes_progressivos,16,16,68.908,71.25,-0.284,"[-1.23, 0.51]",0.4282,1.02,0.53525,sem diferença clara,False,Passes progressivos por jogo,False
com,progressao,ST,passes_terco_final,16,16,54.053,55.42,-0.285,"[-0.95, 0.34]",0.42666,1.02,0.53525,sem diferença clara,False,Passes no terço final por jogo,False
com,progressao,ST,atq_posicional,16,16,29.184,29.75,-0.496,"[-1.22, 0.2]",0.17265,1.02,0.51001,sem diferença clara,False,Ataques posicionais por jogo,False
com,progressao,ST,contra_ataques,16,16,1.197,1.066,0.034,"[-0.74, 0.76]",0.92426,1.02,0.92426,sem diferença clara,False,Contra-ataques por jogo,False
com,progressao,CM,passes_frente_pct,16,48,71.822,71.336,-0.004,"[-0.52, 0.45]",0.98934,0.82,0.98934,sem diferença clara,False,"Passes para frente, %",False
com,progressao,CM,passes_progressivos,16,48,67.5,67.842,-0.329,"[-0.98, 0.26]",0.21911,0.82,0.36518,sem diferença clara,False,Passes progressivos por jogo,False
com,progressao,CM,passes_terco_final,16,48,49.132,51.303,-0.543,"[-1.13, -0.01]",0.04934,0.82,0.12335,pode ser sorte,False,Passes no terço final por jogo,False
com,progressao,CM,atq_posicional,16,48,26.947,28.487,-0.633,"[-1.24, -0.13]",0.0203,0.82,0.10148,pode ser sorte,False,Ataques posicionais por jogo,False
com,progressao,CM,contra_ataques,16,48,1.132,1.053,-0.245,"[-0.95, 0.42]",0.46631,0.82,0.58288,sem diferença clara,False,Contra-ataques por jogo,False
sem,construcao,SM,posse,8,32,51.668,50.211,0.689,"[0.19, 1.3]",0.0075,1.14,0.03748,firme,False,"Posse, %",False
sem,construcao,SM,passes,8,32,403.776,386.105,0.804,"[0.01, 1.78]",0.04755,1.14,0.1045,pode ser sorte,False,Passes por jogo,False
sem,construcao,SM,passes_pct,8,32,82.469,81.765,0.632,"[-0.15, 1.46]",0.12717,1.14,0.15896,sem diferença clara,False,"Passes certos, %",False
sem,construcao,SM,passe_longo_pct,8,32,10.708,11.852,0.754,"[-0.02, 1.58]",0.0627,1.14,0.1045,sem diferença clara,False,"Passes longos, % do total",False
sem,construcao,SM,compr_passe,8,32,20.056,20.409,0.607,"[-0.24, 1.53]",0.20014,1.14,0.20014,sem diferença clara,False,Comprimento médio do passe (m),False
sem,construcao,ST,posse,8,7,51.668,54.175,0.494,"[-1.58, 2.0]",0.3998,1.57,0.54684,sem diferença clara,False,"Posse, %",False
sem,construcao,ST,passes,8,7,403.776,410.865,0.377,"[-0.88, 1.68]",0.49684,1.57,0.54684,sem diferença clara,False,Passes por jogo,False
sem,construcao,ST,passes_pct,8,7,82.469,81.894,0.525,"[-0.56, 2.03]",0.34286,1.57,0.54684,sem diferença clara,False,"Passes certos, %",False
sem,construcao,ST,passe_longo_pct,8,7,10.708,11.512,0.574,"[-0.62, 2.08]",0.30671,1.57,0.54684,sem diferença clara,False,"Passes longos, % do total",False
sem,construcao,ST,compr_passe,8,7,20.056,20.426,0.321,"[-0.66, 1.77]",0.54684,1.57,0.54684,sem diferença clara,False,Comprimento médio do passe (m),False
sem,construcao,CM,posse,12,32,47.45,50.211,-0.604,"[-1.4, 0.03]",0.06587,0.97,0.23693,sem diferença clara,False,"Posse, %",False
sem,construcao,CM,passes,12,32,363.855,386.105,-0.483,"[-1.29, 0.18]",0.15478,0.97,0.23693,sem diferença clara,False,Passes por jogo,False
sem,construcao,CM,passes_pct,12,32,80.675,81.765,-0.523,"[-1.22, 0.07]",0.10137,0.97,0.23693,sem diferença clara,False,"Passes certos, %",False
sem,construcao,CM,passe_longo_pct,12,32,12.706,11.852,-0.454,"[-1.09, 0.2]",0.18954,0.97,0.23693,sem diferença clara,False,"Passes longos, % do total",False
sem,construcao,CM,compr_passe,12,32,20.44,20.409,0.019,"[-0.49, 0.62]",0.95378,0.97,0.95378,sem diferença clara,False,Comprimento médio do passe (m),False
sem,progressao,SM,passes_frente_pct,8,32,73.433,71.379,0.725,"[-0.06, 1.53]",0.08559,1.14,0.10699,sem diferença clara,False,"Passes para frente, %",False
sem,progressao,SM,passes_progressivos,8,32,69.026,66.842,0.624,"[0.01, 1.41]",0.06124,1.14,0.10483,sem diferença clara,False,Passes progressivos por jogo,False
sem,progressao,SM,passes_terco_final,8,32,54.579,51.329,0.727,"[-0.0, 1.62]",0.0629,1.14,0.10483,sem diferença clara,False,Passes no terço final por jogo,False
sem,progressao,SM,atq_posicional,8,32,30.711,27.724,0.869,"[0.06, 1.84]",0.0512,1.14,0.10483,sem diferença clara,False,Ataques posicionais por jogo,False
sem,progressao,SM,contra_ataques,8,32,1.526,1.013,0.18,"[-0.77, 1.17]",0.69944,1.14,0.69944,sem diferença clara,False,Contra-ataques por jogo,False
sem,progressao,ST,passes_frente_pct,8,7,73.433,71.335,0.655,"[-0.37, 2.52]",0.23706,1.57,0.82688,sem diferença clara,False,"Passes para frente, %",False
sem,progressao,ST,passes_progressivos,8,7,69.026,71.579,0.145,"[-1.9, 1.4]",0.79511,1.57,0.82688,sem diferença clara,False,Passes progressivos por jogo,False
sem,progressao,ST,passes_terco_final,8,7,54.579,56.316,-0.117,"[-1.44, 1.06]",0.82688,1.57,0.82688,sem diferença clara,False,Passes no terço final por jogo,False
sem,progressao,ST,atq_posicional,8,7,30.711,29.605,0.291,"[-0.78, 1.77]",0.57936,1.57,0.82688,sem diferença clara,False,Ataques posicionais por jogo,False
sem,progressao,ST,contra_ataques,8,7,1.526,1.211,0.119,"[-1.1, 1.42]",0.81966,1.57,0.82688,sem diferença clara,False,Contra-ataques por jogo,False
sem,progressao,CM,passes_frente_pct,12,32,71.109,71.379,-0.249,"[-0.84, 0.35]",0.43546,0.97,0.49595,sem diferença clara,False,"Passes para frente, %",False
sem,progressao,CM,passes_progressivos,12,32,66.842,66.842,-0.272,"[-1.04, 0.43]",0.40829,0.97,0.49595,sem diferença clara,False,Passes progressivos por jogo,False
sem,progressao,CM,passes_terco_final,12,32,49.421,51.329,-0.521,"[-1.21, 0.06]",0.0907,0.97,0.4535,sem diferença clara,False,Passes no terço final por jogo,False
sem,progressao,CM,atq_posicional,12,32,27.382,27.724,-0.428,"[-1.09, 0.12]",0.18347,0.97,0.45867,sem diferença clara,False,Ataques posicionais por jogo,False
sem,progressao,CM,contra_ataques,12,32,1.013,1.013,-0.26,"[-1.21, 0.45]",0.49595,0.97,0.49595,sem diferença clara,False,Contra-ataques por jogo,False
