jogador,liga,time,posicao,setor,idade,minutos,jogos,fatia_pct,corte_da_posicao,minutagem_alta,minutagem_regular,temporadas_com_dado,temporadas_altas,regularidade_verificavel,homonimo_na_foto,contrato,nascido_em,passaporte,mercado,ocupa_vaga_de_estrangeiro,valor_mercado,pe,altura,contrato_na_janela,media_ajustada,elenco_cortado,elenco_no_export,forca_do_fator,casos_do_fator,indicadores_com_dado,exigencias_da_posicao,viola_na_origem,viola_no_ajustado,passa_ficha_origem,passa_ficha_ajustado,na_base_do_app,fisico_rastreado,sc_min_tot,faixa_salarial,valor_tr,nota_fisico,nota_duelo_corpo,nota_estilo_tecnico,fisico_da_posicao,duelos_def_ganhos_pct,duelos_def_ganhos_pct__pct,duelos_def_ganhos_pct__adj,duelos_def_ganhos_pct__delta,duelos_aereos_ganhos_pct,duelos_aereos_ganhos_pct__pct,duelos_aereos_ganhos_pct__adj,duelos_aereos_ganhos_pct__delta,passes_certos_pct,passes_certos_pct__pct,passes_certos_pct__adj,passes_certos_pct__delta,passes_progressivos_90,passes_progressivos_90__pct,passes_progressivos_90__adj,passes_progressivos_90__delta,psv5,psv5__pct,psv5__adj,psv5__delta,t_spr,t_spr__pct,t_spr__adj,t_spr__delta,t505_90,t505_90__pct,t505_90__adj,t505_90__delta,expl,expl__pct,expl__adj,expl__delta,spr_n,spr_n__pct,spr_n__adj,spr_n__delta,eixo_toques_area,eixo_toques_area__pct,eixo_toques_area__adj,eixo_toques_area__delta,eixo_passes_progressivos,eixo_passes_progressivos__pct,eixo_passes_progressivos__adj,eixo_passes_progressivos__delta
Joel Monteiro,Portugal C,São João Ver,RB,Lateral,35.0,2582.0,27.0,98.2,46.8,True,True,2,2,True,False,2026-06-30,Portugal,Portugal,Exterior,True,0.0,direito,180.0,True,46.9,False,19,fraco,2.0,4,4,,,True,True,True,False,0,,0,NÃO VERIFICADO,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",66.67,76.0,54.15328783597227,-21.85,37.84,29.0,44.76685114250719,15.77,80.62,94.0,57.93927497370093,-36.06,6.59,18.0,30.779051502747475,12.78,,,,,,,,,,,,,,,,,,,,,0.87,59.0,48.4,-10.58,6.59,18.0,30.8,12.78
Erivaldo,Portugal C,AD Marco 09,RB,Lateral,32.0,1552.0,25.0,63.9,46.8,True,True,2,2,True,False,2026-06-30,Portugal,"Portugal, Angola",Exterior,True,150000.0,direito,178.0,True,45.9,True,14,fraco,2.0,4,4,,,True,True,True,False,0,,150000,NÃO VERIFICADO,atende,atende,"Velocidade de pico, média dos 5 melhores jogos (km/h); Tempo até atingir o sprint (s)",72.15,92.0,57.5537948236126,-34.45,36.84,22.0,43.51054134437571,21.51,82.84,98.0,58.82480525921955,-39.18,2.44,0.0,23.78032873811089,23.78,,,,,,,,,,,,,,,,,,,,,1.1,73.0,55.2,-17.82,2.44,0.0,23.8,23.78
Óliver Torres,Mexico,Monterrey,RCMF,Meia,31.0,2781.0,33.0,82.8,42.5,True,True,2,2,True,False,2027-06-30,Spain,Spain,Exterior,True,6000000.0,direito,175.0,True,59.2,False,16,agrupado,6.0,6,5,,duelos_def_ganhos_pct;passes_progressivos_90,True,False,True,True,1548,600K - 800K,6000000,atende,atende,atende,Tempo para girar 90 graus (s); Arrancadas explosivas até o sprint por 90 min,61.14,71.2,53.29044315247967,-17.91,25.0,15.4,42.25884255017024,26.86,87.33,78.8,54.8387402645255,-23.96,7.57,90.4,63.351835512229556,-27.05,28.64,27.5,,,1.36,62.8,,,1.87,82.4,82.4,0.0,1.04,58.8,58.8,0.0,6.37,47.1,,,0.97,34.6,38.2,3.59,7.57,90.4,63.4,-27.05
Paulo Lima,Portugal C,1º Dezembro,RCMF,Meia,27.0,1436.0,16.0,63.8,42.5,True,True,2,2,True,False,2026-12-31,Portugal,Portugal,Exterior,True,0.0,esquerdo,186.0,True,56.4,True,14,fraco,2.0,4,5,,duelos_def_ganhos_pct;passes_progressivos_90,True,False,True,False,0,,0,NÃO VERIFICADO,atende,atende,Tempo para girar 90 graus (s); Arrancadas explosivas até o sprint por 90 min,63.1,74.6,54.092905681409185,-20.51,40.91,68.7,52.90693349596645,-15.79,84.92,94.0,58.02418167968843,-35.98,6.2,83.6,60.461200191957765,-23.14,,,,,,,,,,,,,,,,,,,,,0.56,16.4,30.8,14.36,6.2,83.6,60.5,-23.14
Rúben Oliveira,Portugal C,Varzim,LCMF,Meia,31.0,2716.0,28.0,89.7,42.5,True,True,2,2,True,False,2027-06-30,Portugal,Portugal,Exterior,True,0.0,direito,170.0,True,55.6,False,21,fraco,2.0,4,5,,passes_progressivos_90,True,False,True,False,0,25K - 38K,0,NÃO VERIFICADO,atende,atende,Tempo para girar 90 graus (s); Arrancadas explosivas até o sprint por 90 min,64.19,80.6,55.20739112731522,-25.39,41.07,70.1,53.067368779432954,-17.03,80.62,82.1,55.51522776920875,-26.58,6.03,80.6,58.75945402612578,-21.84,,,,,,,,,,,,,,,,,,,,,0.36,9.0,27.4,18.39,6.03,80.6,58.8,-21.84
Caleb,Portugal C,Atlético CP,AMF,Meia,33.0,1349.0,16.0,53.5,42.5,True,True,2,2,True,False,2026-06-30,Brazil,Brazil,Exterior,False,0.0,direito,172.0,True,52.7,True,14,fraco,2.0,4,5,,duelos_def_ganhos_pct;passes_progressivos_90,True,False,True,False,0,40K - 60K,0,NÃO VERIFICADO,atende,atende,Tempo para girar 90 graus (s); Arrancadas explosivas até o sprint por 90 min,61.82,64.2,51.84895819502567,-12.35,18.18,1.5,39.629407990613736,38.13,81.99,86.6,56.42745903789882,-30.17,7.54,89.6,62.92776849539813,-26.67,,,,,,,,,,,,,,,,,,,,,2.13,68.7,53.2,-15.49,7.54,89.6,62.9,-26.67
Vinícius Júnior,Espanha A,Real Madrid,CF,Atacante,25.0,3048.0,36.0,92.5,34.2,True,True,3,3,True,False,2027-06-30,Brazil,"Brazil, Spain",Exterior,False,0.0,direito,176.0,True,68.0,False,18,fraco,2.0,6,4,,,True,True,True,True,3060,20M - 24M,0,atende,atende,atende,Tempo para girar 90 graus (s); Sprints por 90 min,62.62,89.6,64.01196774798254,-25.59,18.18,7.3,47.6362250968509,40.34,80.31,81.2,62.33621078462208,-18.86,3.84,91.7,70.74590899618968,-20.95,32.76,91.3,,,1.09,93.3,,,1.77,84.8,84.8,0.0,3.95,95.7,,,15.38,78.3,78.3,0.0,6.47,100.0,74.4,-25.56,3.84,91.7,70.7,-20.95
Jorge Félix,Polonia,Piast Gliwice,CF,Atacante,34.0,2025.0,33.0,66.2,34.2,True,True,3,3,True,False,2027-05-31,Spain,Spain,Exterior,True,300000.0,direito,175.0,True,63.2,True,16,fraco,2.0,4,4,,,True,True,True,False,0,150K - 220K,300000,NÃO VERIFICADO,atende,atende,Tempo para girar 90 graus (s); Sprints por 90 min,54.02,66.7,59.07664930736886,-7.62,45.9,81.8,62.18711494863436,-19.61,87.69,100.0,66.07461748066461,-33.93,2.8,81.8,65.39172481655129,-16.41,,,,,,,,,,,,,,,,,,,,,4.22,81.8,65.4,-16.41,2.8,81.8,65.4,-16.41
Valdívia,Coreia B,Jeonnam Dragons,CF,Atacante,31.0,2019.0,20.0,112.2,34.2,True,True,2,2,True,False,2026-12-31,Brazil,Brazil,Exterior,False,800000.0,direito,174.0,True,60.5,True,14,agrupado,6.0,4,4,,,True,True,True,False,0,150K - 220K,800000,NÃO VERIFICADO,atende,atende,Tempo para girar 90 graus (s); Sprints por 90 min,72.22,100.0,66.07989840221228,-33.92,26.79,16.7,49.33852863924568,32.64,77.09,62.5,58.36259364491022,-4.14,2.99,87.5,68.40139435878211,-19.1,,,,,,,,,,,,,,,,,,,,,2.1,12.5,35.3,22.75,2.99,87.5,68.4,-19.1
João Tarzan,Portugal C,Caldas,CF,Atacante,31.0,2720.0,28.0,107.9,34.2,True,True,3,2,True,False,2026-06-30,Portugal,Portugal,Exterior,True,0.0,direito,180.0,True,58.0,True,15,fraco,2.0,4,4,,,True,True,True,False,0,15K - 22K,0,NÃO VERIFICADO,atende,atende,Tempo para girar 90 graus (s); Sprints por 90 min,63.03,95.0,58.1929492896444,-36.81,51.97,97.5,58.72167018810462,-38.78,78.87,87.5,56.62869042045899,-30.87,2.51,80.0,58.48149353509872,-21.52,,,,,,,,,,,,,,,,,,,,,2.78,42.5,41.6,-0.87,2.51,80.0,58.5,-21.52
