liga,fator,casos,forca,destino,familia,ic95,ic95_lo,ic95_hi,p_da_familia,unidade_usada,fator_bruto,fator_sem_idade,quanto_era_selecao,quanto_era_idade,fator_so_quem_jogou_900,passou_bh,porta_coorte,nivel,n_indicadores_da_familia_no_bh,obs
Peru,-0.13,3,agrupado,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 3 casos)
Espanha A,3.59,2,fraco,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Espanha A,-0.13,2,fraco,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
França A,-4.27,2,fraco,Brasil A,eficiencia,"[-8.4, -0.2]",-8.41,-0.21,0.53133,FAIXA PAREADO,-6.1,-4.26,-1.84,0.01,-0.99,0,não passou,indício,10,fator da faixa de nível FAIXA PAREADO (a liga tem 2 casos)
França A,-3.07,2,fraco,Brasil A,volume,"[-7.5, +1.4]",-7.46,1.44,0.88986,FAIXA PAREADO,-6.32,-3.05,-3.26,0.02,-2.98,0,não passou,indício,12,fator da faixa de nível FAIXA PAREADO (a liga tem 2 casos)
Polonia,3.59,2,fraco,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Polonia,-0.13,2,fraco,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Portugal C,-3.24,2,fraco,Brasil A,eficiencia,"[-6.9, +0.7]",-6.94,0.7,0.8863,FAIXA ABAIXO,-6.58,-3.23,-3.35,0.01,-0.69,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 2 casos)
Portugal C,-6.55,2,fraco,Brasil A,volume,"[-10.4, -3.0]",-10.39,-2.98,0.08614,FAIXA ABAIXO,-11.77,-6.56,-5.21,-0.01,-8.79,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 2 casos)
Turquia,3.59,2,fraco,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Turquia,-0.13,2,fraco,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Venezuela,3.59,2,fraco,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Venezuela,-0.13,2,fraco,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 2 casos)
Alemanha A,3.59,1,fraco,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Alemanha A,-0.13,1,fraco,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Alemanha B,3.59,1,fraco,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Alemanha B,-0.13,1,fraco,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Argentina RESERVAS,3.59,1,fraco,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Argentina RESERVAS,-0.13,1,fraco,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Dinamarca,3.59,1,fraco,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Dinamarca,-0.13,1,fraco,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Eslovaquia,-3.24,1,fraco,Brasil A,eficiencia,"[-6.9, +0.7]",-6.94,0.7,0.8863,FAIXA ABAIXO,-6.58,-3.23,-3.35,0.01,-0.69,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Eslovaquia,-6.55,1,fraco,Brasil A,volume,"[-10.4, -3.0]",-10.39,-2.98,0.08614,FAIXA ABAIXO,-11.77,-6.56,-5.21,-0.01,-8.79,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Holanda,3.59,1,fraco,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Holanda,-0.13,1,fraco,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Inglaterra B,3.59,1,fraco,Brasil A,eficiencia,"[-0.3, +7.4]",-0.28,7.42,0.00068,FAIXA ACIMA,-1.18,3.64,-4.82,0.05,5.58,1,passou,indício,10,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Inglaterra B,-0.13,1,fraco,Brasil A,volume,"[-3.4, +3.1]",-3.44,3.08,0.05656,FAIXA ACIMA,-2.88,0.03,-2.91,0.16,-0.13,1,não passou,indício,12,fator da faixa de nível FAIXA ACIMA (a liga tem 1 caso)
Romenia,-3.24,1,fraco,Brasil A,eficiencia,"[-6.9, +0.7]",-6.94,0.7,0.8863,FAIXA ABAIXO,-6.58,-3.23,-3.35,0.01,-0.69,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Romenia,-6.55,1,fraco,Brasil A,volume,"[-10.4, -3.0]",-10.39,-2.98,0.08614,FAIXA ABAIXO,-11.77,-6.56,-5.21,-0.01,-8.79,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Tcheca,-3.24,1,fraco,Brasil A,eficiencia,"[-6.9, +0.7]",-6.94,0.7,0.8863,FAIXA ABAIXO,-6.58,-3.23,-3.35,0.01,-0.69,0,não passou,indício,10,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
Tcheca,-6.55,1,fraco,Brasil A,volume,"[-10.4, -3.0]",-10.39,-2.98,0.08614,FAIXA ABAIXO,-11.77,-6.56,-5.21,-0.01,-8.79,0,não passou,indício,12,fator da faixa de nível FAIXA ABAIXO (a liga tem 1 caso)
