treinador,clube,id_clube,funcao,interino,inicio,fim,em_curso,dias,jogos_tm,ppj_tm
Cauan de Almeida,América Mineiro,2863,Treinador interino,1,2021-06-15,2021-06-22,0,7,2,0.50
Vagner Mancini,América Mineiro,2863,Treinador,0,2021-06-23,2021-10-14,0,113,21,1.43
Diogo Giacomini,América Mineiro,2863,Treinador interino,1,2021-10-15,2021-10-19,0,4,1,1.00
Marquinhos Santos,América Mineiro,2863,Treinador,0,2021-10-20,2022-04-10,0,172,28,1.64
Vagner Mancini,América Mineiro,2863,Treinador,0,2022-04-13,2023-08-07,0,481,94,1.40
Fabián Bustos,América Mineiro,2863,Treinador,0,2023-08-08,2023-11-09,0,93,19,0.74
Diogo Giacomini,América Mineiro,2863,Treinador,0,2023-11-24,2023-12-07,0,13,4,0.75
Cauan de Almeida,América Mineiro,2863,Treinador,0,2023-12-20,2024-08-27,0,251,34,1.65
Lisca,América Mineiro,2863,Treinador,0,2024-08-29,2024-11-19,0,82,14,1.43
Diogo Giacomini,América Mineiro,2863,Treinador,0,2024-11-20,2024-12-31,0,41,0,-
William Batista,América Mineiro,2863,Treinador,0,2025-01-01,2025-06-02,0,152,23,1.43
Enderson Moreira,América Mineiro,2863,Treinador,0,2025-06-03,2025-08-11,0,69,9,0.78
Alberto Valentim,América Mineiro,2863,Treinador,0,2025-08-12,2026-04-13,0,244,35,1.31
Diogo Giacomini,América Mineiro,2863,Treinador interino,1,2026-04-07,2026-04-09,0,2,1,1.00
Roger Silva,América Mineiro,2863,Treinador,0,2026-04-13,2026-05-31,0,48,9,0.89
Umberto Louzer,América Mineiro,2863,Treinador,0,2026-06-03,2026-08-21,0,79,11,0.64
Douglas Leite,América Mineiro,2863,Treinador interino,1,2026-08-24,,1,,5,1.20
Cícero Júnior,Athletic Club,64918,Treinador,0,2020-08-27,2021-04-07,0,223,8,1.13
Gustavo Brancão,Athletic Club,64918,Treinador,0,2021-04-08,2021-06-30,0,83,4,1.00
Roger Silva,Athletic Club,64918,Treinador,0,2021-10-14,2022-03-31,0,168,14,1.86
Roger Silva,Athletic Club,64918,Treinador,0,2022-12-08,2023-03-24,0,106,11,1.73
Cícero Júnior,Athletic Club,64918,Treinador,0,2023-04-03,2023-09-21,0,171,22,1.77
Rodrigo Santana,Athletic Club,64918,Treinador,0,2023-12-09,2024-03-05,0,87,9,1.78
Roger Silva,Athletic Club,64918,Treinador,0,2024-03-08,2025-06-02,0,451,56,1.59
Rui Duarte,Athletic Club,64918,Treinador,0,2025-06-04,2026-02-17,0,258,34,1.24
Rodrigo Rojas,Athletic Club,64918,Treinador interino,1,2025-06-06,2025-06-09,0,3,0,-
Alex,Athletic Club,64918,Treinador,0,2026-02-21,,1,,33,1.48
Fernando Diniz,Athletico Paranaense,679,Treinador,0,2018-01-03,2018-06-25,0,173,23,1.30
Tiago Nunes,Athletico Paranaense,679,Treinador,0,2018-06-26,2019-11-05,0,497,86,1.80
Rafael Guanaes,Athletico Paranaense,679,Treinador,0,2019-01-01,2019-05-01,0,120,15,1.93
Eduardo Barros,Athletico Paranaense,679,Treinador interino,1,2019-11-06,2020-12-10,0,400,30,1.67
Dorival Júnior,Athletico Paranaense,679,Treinador,0,2020-01-01,2020-08-28,0,240,17,1.76
Eduardo Barros,Athletico Paranaense,679,Treinador interino,1,2020-08-28,2020-10-23,0,56,14,1.21
Paulo Autuori,Athletico Paranaense,679,Treinador,0,2020-10-23,2021-03-12,0,140,25,1.52
António Oliveira,Athletico Paranaense,679,Treinador,0,2021-03-13,2021-09-09,0,180,39,1.74
Alberto Valentim,Athletico Paranaense,679,Treinador,0,2021-10-05,2022-04-10,0,187,36,1.25
Fábio Carille,Athletico Paranaense,679,Treinador,0,2022-04-14,2022-05-04,0,20,7,1.29
Wesley Carvalho,Athletico Paranaense,679,Treinador interino,1,2022-05-04,2022-05-09,0,5,1,3.00
Luiz Felipe Scolari,Athletico Paranaense,679,Treinador,0,2022-05-09,2022-11-14,0,189,47,1.70
Paulo Turra,Athletico Paranaense,679,Treinador,0,2022-11-13,2023-06-16,0,215,36,2.28
Wesley Carvalho,Athletico Paranaense,679,Treinador,0,2023-06-17,2023-12-31,0,197,31,1.29
Juan Carlos Osorio,Athletico Paranaense,679,Treinador,0,2024-01-04,2024-03-04,0,60,11,2.00
Francisco Londoño,Athletico Paranaense,679,Treinador interino,1,2024-02-09,2024-02-11,0,2,1,3.00
Cuca,Athletico Paranaense,679,Treinador,0,2024-03-04,2024-06-24,0,112,22,2.05
Daniel Cerqueira,Athletico Paranaense,679,Treinador interino,1,2024-06-17,2024-06-20,0,3,1,1.00
Juca,Athletico Paranaense,679,Treinador interino,1,2024-06-26,2024-07-12,0,16,5,1.20
Martín Varini,Athletico Paranaense,679,Treinador,0,2024-07-12,2024-09-23,0,73,19,1.53
Lucho González,Athletico Paranaense,679,Treinador,0,2024-09-24,2024-12-11,0,78,14,0.79
Maurício Barbieri,Athletico Paranaense,679,Treinador,0,2024-12-16,2025-05-04,0,139,24,1.79
João Correia,Athletico Paranaense,679,Treinador interino,1,2025-05-05,2025-05-22,0,17,3,1.33
Odair Hellmann,Athletico Paranaense,679,Treinador,0,2025-05-22,,1,,67,1.64
João Correia,Athletico Paranaense,679,Treinador,0,2026-01-05,2026-02-16,0,42,6,2.33
João Paulo Sanches,Atlético Goianiense,15172,Treinador,0,2017-12-04,2018-01-29,0,56,4,0.50
Claudio Tencati,Atlético Goianiense,15172,Treinador,0,2018-01-30,2018-10-13,0,256,42,1.45
Wagner Lopes,Atlético Goianiense,15172,Treinador,0,2018-10-14,2019-10-13,0,364,56,1.95
Eduardo Souza,Atlético Goianiense,15172,Treinador interino,1,2019-10-15,2019-10-17,0,2,1,1.00
Eduardo Barroca,Atlético Goianiense,15172,Treinador,0,2019-10-17,2019-12-01,0,45,9,1.56
Cristóvão Borges,Atlético Goianiense,15172,Treinador,0,2020-01-20,2020-02-26,0,37,7,2.00
Vagner Mancini,Atlético Goianiense,15172,Treinador,0,2020-06-25,2020-10-12,0,109,18,1.17
Eduardo Souza,Atlético Goianiense,15172,Treinador interino,1,2020-10-13,2020-11-11,0,29,7,0.71
Marcelo Cabo,Atlético Goianiense,15172,Treinador,0,2020-11-12,2021-03-01,0,109,22,1.77
João Paulo Sanches,Atlético Goianiense,15172,Treinador interino,1,2021-03-01,2021-04-05,0,35,7,3.00
Jorginho,Atlético Goianiense,15172,Treinador,0,2021-04-06,2021-05-16,0,40,13,2.00
Eduardo Souza,Atlético Goianiense,15172,Treinador interino,1,2021-05-17,2021-05-27,0,10,2,1.00
Eduardo Barroca,Atlético Goianiense,15172,Treinador,0,2021-05-28,2021-09-28,0,123,25,1.28
Eduardo Souza,Atlético Goianiense,15172,Treinador interino,1,2021-10-01,2021-11-11,0,41,9,1.11
Marcelo Cabo,Atlético Goianiense,15172,Treinador,0,2021-11-12,2022-02-07,0,87,11,2.00
Eduardo Souza,Atlético Goianiense,15172,Treinador interino,1,2022-01-01,2022-02-20,0,50,5,1.80
