ano,jogador,time,posicao,grupo,idade,jogos,minutos,fatia_pct,time_hoje,faixa_do_time,id_tm,lesao_dias,lesao_n,lesao_jogos_perdidos,alta,temporadas_alta_ult3,temporadas_com_dado_ult3,regular
2025,Alexis Alvariño,Amazonas,RCB,Zaga,25,21,2003,51.8,Grêmio Novorizontino,Cai,911994,,,,0,1,3,0
2025,Miguelito,América-MG,RW,Extremo,22,25,1987,50.8,Santos,Meio,1063811,,,,0,0,2,0
2025,Alan Empereur,Cuiabá,LCB,Zaga,32,21,1978,51.6,Cuiabá,Meio,169179,,,,0,0,1,0
2025,Felipinho,Criciúma,LB,Lateral,29,24,1977,51.2,Sport Recife,Meio,,,,,0,0,3,0
2025,Calebe Costa,Cuiabá,CB,Zaga,23,28,1965,51.3,Cuiabá,Meio,1033501,,,,0,0,1,0
2025,Matheus Nogueira,Paysandu,GK,Goleiro,28,21,1958,52.7,São Bernardo FC,Cai,636741,,,,0,0,2,0
2025,Adriano Martins,Atlético-GO,LCB,Zaga,29,20,1955,52.8,Atlético GO,Meio,739272,,,,0,1,2,0
2025,Cristiano,Operário-PR,LB,Lateral,32,22,1935,51.2,Sporting Cristal,Meio,,,,,0,0,3,0
2025,Kauã Diniz,América-MG,RCMF,Meia,22,27,1927,49.2,RB Omiya Ardija,Meio,1086631,,,,0,0,2,0
2025,Marcelinho,Remo,RB,Lateral,28,25,1923,50.1,Remo,Sobe,,,,,0,0,3,0
2025,Mário Sérgio,Avaí,LB,Lateral,32,24,1913,50.0,São Bernardo FC,Meio,,,,,0,1,3,0
2025,F. Martínez,Atlético-GO,RAMF,Extremo,30,33,1911,51.6,Liverpool,Meio,,,,,0,0,1,0
2025,André Luiz,Volta Redonda,DMF,Volante,31,29,1910,50.2,Londrina,Cai,792343,,,,0,0,2,0
2025,Léo Naldi,Criciúma,LCMF,Meia,24,29,1904,49.3,Grêmio Novorizontino,Meio,859135,,,,0,0,2,0
2025,Joseph,Operário-PR,RCB,Zaga,31,19,1899,50.2,Operário PR,Meio,663523,,,,0,0,2,0
2025,Mikael,CRB,CF,Atacante,27,32,1895,49.7,CRB,Meio,642689,,,,0,0,2,0
2025,Max,Athletic,LAMF,Extremo,24,27,1892,49.6,Athletic Club,Meio,,,,,0,0,1,0
2025,Gabriel Mesquita,Paysandu,GK,Goleiro,27,19,1877,50.5,Paysandu,Cai,645897,,,,0,0,2,0
2025,Igor Henrique,Vila Nova,AMF,Meia,34,26,1856,48.7,Atlético GO,Meio,521074,,,,0,0,3,0
2025,JP,Avaí,LCMF,Meia,21,28,1856,48.5,Vasco da Gama,Meio,1083970,,,,0,0,1,0
2025,K. Viveros,Athletico Paranaense,CF,Atacante,26,21,1855,47.6,Athletico Paranaense,,,,,,0,0,1,0
2025,Figueiredo,América-MG,LW,Extremo,24,21,1841,47.0,Alverca,Meio,703324,17.0,1,3.0,0,0,2,0
2025,Marcão,Goiás,DMF,Volante,35,24,1839,48.2,São Bernardo FC,Meio,,,,,0,1,2,0
2025,Alix,Atlético-GO,RCB,Zaga,26,19,1838,49.7,Red Bull Bragantino,Meio,880217,,,,0,0,2,0
2025,Mateus Pasinato,Cuiabá,GK,Goleiro,34,18,1826,47.6,Felgueiras 1932,Meio,349418,,,,0,0,1,0
2025,Thiago Lopes,Ferroviária,RW,Extremo,29,34,1820,47.7,Noroeste,Cai,393835,,,,0,0,2,0
2025,Matheus Mendes,América-MG,GK,Goleiro,27,18,1813,46.3,Alverca,Meio,629077,,,,0,0,1,0
2025,Jean Irmer,Novorizontino,LCMF,Meia,31,27,1813,46.5,Criciúma,Meio,349826,,,,0,0,3,0
2025,Pierre,Volta Redonda,RCMF,Meia,24,19,1809,47.6,Fortaleza,Cai,802646,,,,0,0,3,0
2025,Miquéias,América-MG,RCMF,Meia,25,28,1787,45.7,Kaisar,Meio,973707,,,,0,1,3,0
2025,Kauan,Atlético-GO,AMF,Meia,21,32,1782,48.1,Athletic Club,Meio,,,,,0,0,2,0
2025,Weverton,Vila Nova,LCB,Zaga,23,19,1761,46.2,Kyoto Sanga,Meio,,,,,0,0,2,0
2025,Maílton,Chapecoense,RWB,Lateral,28,20,1759,45.4,Fortaleza,Sobe,607210,,,,0,0,3,0
2025,MV,Volta Redonda,LW,Extremo,28,22,1757,46.2,Arema,Cai,873874,,,,0,0,1,0
2025,Yuri,Athletic,LB,Lateral,30,25,1751,45.9,Náutico,Meio,,,,,0,0,1,0
2025,Renan,Amazonas,GK,Goleiro,37,18,1746,45.2,Amazonas,Cai,,,,,0,1,2,0
2025,Alisson Safira,Cuiabá,CF,Atacante,31,22,1742,45.4,Juventude,Meio,443338,,,,0,0,1,0
2025,Mayk,Novorizontino,LB,Lateral,26,21,1739,44.6,Remo,Meio,603423,83.0,1,32.0,0,1,2,0
2025,G. Benavídez,Athletico Paranaense,RB,Lateral,30,19,1735,44.5,Athletico Paranaense,,,,,,0,0,1,0
2025,Bryan,Paysandu,RB,Lateral,29,23,1707,45.9,Ceará,Cai,,,,,0,0,3,0
2025,Léo Campos,CRB,LB,Lateral,34,21,1705,44.7,CRB,Meio,203643,,,,0,0,1,0
