fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,nome,porta_roda,teto_da_parte
sem,sofre,SM,sofre_30_45,0,8,32,0.066,0.158,1.358,"[0.79, 2.09]",2e-05,1.14,0.00017,firme,True,"Gols sofridos por jogo, 30 a 45 min",0,provável
sem,sofre,SM,sofre_45mais,0,8,32,0.039,0.026,-0.466,"[-1.14, 0.13]",0.14317,1.14,0.28635,sem diferença clara,False,"Gols sofridos por jogo, acréscimo do 1º tempo",0,provável
sem,sofre,SM,sofre_45_60,0,8,32,0.132,0.158,0.605,"[-0.06, 1.31]",0.06246,1.14,0.16657,sem diferença clara,False,"Gols sofridos por jogo, 45 a 60 min",0,provável
sem,sofre,SM,sofre_60_75,0,8,32,0.118,0.132,-0.067,"[-0.9, 0.77]",0.87153,1.14,0.87153,sem diferença clara,False,"Gols sofridos por jogo, 60 a 75 min",0,provável
sem,sofre,SM,sofre_75_90,0,8,32,0.132,0.158,0.395,"[-0.38, 1.14]",0.30431,1.14,0.48689,sem diferença clara,False,"Gols sofridos por jogo, 75 a 90 min",0,provável
sem,sofre,SM,sofre_90mais,0,8,32,0.053,0.079,1.505,"[1.08, 2.14]",6e-05,1.14,0.00024,firme,True,"Gols sofridos por jogo, acréscimo do 2º tempo",0,provável
sem,sofre,ST,sofre_0_15,0,8,7,0.132,0.158,0.89,"[-0.12, 2.64]",0.10499,1.57,0.20998,sem diferença clara,False,"Gols sofridos por jogo, 0 a 15 min",0,provável
sem,sofre,ST,sofre_15_30,0,8,7,0.132,0.132,-0.278,"[-1.59, 0.88]",0.61241,1.57,0.80782,sem diferença clara,False,"Gols sofridos por jogo, 15 a 30 min",0,provável
sem,sofre,ST,sofre_30_45,0,8,7,0.066,0.105,1.117,"[0.15, 2.8]",0.07099,1.57,0.1893,sem diferença clara,False,"Gols sofridos por jogo, 30 a 45 min",0,provável
sem,sofre,ST,sofre_45mais,0,8,7,0.039,0.0,-1.396,"[-3.85, -0.37]",0.02231,1.57,0.17851,pode ser sorte,False,"Gols sofridos por jogo, acréscimo do 1º tempo",0,provável
