chave,kt,jogador,clube,liga,pos11,setor,tipo,psv99,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,tipo_pref
n olivera,wanderers,N. Olivera,Wanderers,Uruguai,ZE,Zaga,Baixa intensidade,27.4,27.4,4.11,31.89,0.37,8818.8,3.3,False
davidson,qingdao west coast,Davidson,Qingdao West Coast,China,EE,Extremo,Baixa intensidade,29.37,29.37,10.62,64.38,1.63,9432.58,,False
e mena,medellin,E. Mena,Medellín,Colombia A,LD,Lateral,Explosivo e rápido,30.25,30.25,12.38,65.5,2.14,8844.44,25.4,True
y diaz,fortaleza,Y. Díaz,Fortaleza,Colombia A,ZD,Zaga,Explosivo e rápido,29.29,29.29,7.81,44.99,1.14,8748.73,11.0,False
a londono,universidad catolica,A. Londoño,Universidad Católica,Equador A,ED,Extremo,Baixa intensidade,29.38,29.38,9.96,56.95,2.21,8973.93,25.9,False
guilherme marques,,Guilherme Marques,Atlético-GO,Série B,MEI,Meia,Médio em tudo,28.03,28.03,9.32,61.39,0.27,10411.83,42.55,True
patrick de lucca,,Patrick De Lucca,CRB,Série B,VOL,Volante,Menos intenso,26.11,26.11,4.97,45.86,0.38,10374.4,31.82,False
marcus meloni,al jazira,Marcus Meloni,Al Jazira,Emirados,LE,Lateral,Baixa intensidade,29.48,29.48,10.41,59.9,2.0,9095.34,,False
mateus henrique,shabab al ahli dubai,Mateus Henrique,Shabab Al Ahli Dubai,Emirados,LD,Lateral,Médio em tudo,28.22,28.22,10.6,68.54,1.43,9794.16,,False
kauan santos,shabab al ahli dubai,Kauan Santos,Shabab Al Ahli Dubai,Emirados,LE,Lateral,Baixa intensidade,30.72,30.72,11.19,59.89,2.63,8593.17,,False
g rizzo,los chankas,G. Rizzo,Los Chankas,Peru,ZD,Zaga,Explosivo e rápido,29.78,29.78,8.27,43.8,2.35,8014.36,8.7,False
vilar,,Vilar,Botafogo-SP,Série B,ZE,Zaga,Motor de volume,30.17,30.17,7.4,44.98,0.99,9055.23,8.93,True
s vasquez,orense,S. Vasquez,Orense,Equador A,VOL,Volante,Intermediário,27.86,27.86,5.84,48.54,0.77,9865.33,33.0,True
m espinoza,club libertad,M. Espinoza,Club Libertad,Paraguai,LE,Lateral,Médio em tudo,27.92,27.92,7.71,53.35,0.49,9843.67,24.9,False
aderlan,,Aderlan,Juventude,Série B,LD,Lateral,Médio em tudo,28.87,28.87,9.92,64.09,1.52,9878.34,29.71,False
j palacios,union santa fe,J. Palacios,Unión Santa Fe,Argentina A,ED,Extremo,Explosivo e rápido,29.13,29.13,14.48,80.28,2.61,9217.13,49.4,True
m brizuela,o higgins,M. Brizuela,O'Higgins,Chile,ZE,Zaga,Baixa intensidade,27.75,27.75,4.07,32.17,0.73,8824.56,7.6,False
p magallanes,sport huancayo,P. Magallanes,Sport Huancayo,Peru,EE,Extremo,Baixa intensidade,29.17,29.17,10.76,62.13,1.55,9221.55,28.9,False
victor mendez,colo colo,Víctor Méndez,Colo Colo,Chile,MED,Meia,Baixa intensidade,26.96,26.96,4.97,46.32,0.3,9760.69,26.6,False
t viera alegre,nacional,T. Viera Alegre,Nacional,Uruguai,ZE,Zaga,Motor de volume,28.41,28.41,5.31,36.65,1.04,9124.59,6.7,True
n marotta,deportivo recoleta,N. Marotta,Deportivo Recoleta,Paraguai,ZD,Zaga,Motor de volume,28.34,28.34,6.06,42.95,0.7,9006.98,6.1,True
g avila,rosario central,G. Ávila,Rosario Central,Argentina A,ZE,Zaga,Baixa intensidade,27.89,27.89,4.35,30.44,0.57,8649.43,5.7,False
d londono,once caldas,D. Londoño,Once Caldas,Colombia A,ZE,Zaga,Baixa intensidade,28.27,28.27,5.62,35.58,0.56,8410.53,7.8,False
j torres,tolima,J. Torres,Tolima,Colombia A,CA,Atacante,Motor de volume,27.77,27.77,6.53,48.09,0.52,9895.32,47.4,True
j rojas,adt,J. Rojas,ADT,Peru,EE,Extremo,Baixa intensidade,30.01,30.01,11.29,60.04,2.68,8450.92,37.8,False
m palacios,al ain,M. Palacios,Al Ain,Emirados,MED,Meia,Médio em tudo,28.18,28.18,9.42,62.58,0.69,10398.51,,True
r de jesus,lanus,R. De Jesús,Lanús,Argentina A,ZE,Zaga,Motor de volume,25.61,25.61,6.64,42.78,0.74,9791.34,10.2,True
m acosta,rubio nu,M. Acosta,Rubio Ñú,Paraguai,MED,Meia,Explosivo e rápido,27.72,27.72,10.34,75.17,1.03,10752.76,58.3,False
emanuel olivera,santa fe,Emanuel Olivera,Santa Fe,Colombia A,ZD,Zaga,Baixa intensidade,27.75,27.75,3.76,28.07,0.24,8095.26,4.7,False
m estrada,ldu quito,M. Estrada,LDU Quito,Equador A,CA,Atacante,Baixa intensidade,29.96,29.96,5.44,35.04,0.81,8127.51,24.3,False
d silva,millonarios,D. Silva,Millonarios,Colombia A,MED,Meia,Médio em tudo,27.35,27.35,5.94,45.77,0.63,9613.62,58.7,True
m antoni,alianza lima,M. Antoni,Alianza Lima,Peru,ZE,Zaga,Baixa intensidade,28.65,28.65,4.66,34.06,0.64,8724.46,8.2,False
j rodriguez silva,comerciantes unidos,J. Rodríguez Silva,Comerciantes Unidos,Peru,ZE,Zaga,Baixa intensidade,27.9,27.9,4.69,32.02,0.51,8150.93,9.9,False
m morales,universidad de chile,M. Morales,Universidad de Chile,Chile,LE,Lateral,Médio em tudo,28.05,28.05,9.45,63.51,1.33,9784.31,28.5,False
j valoyes,sport huancayo,J. Valoyes,Sport Huancayo,Peru,ZE,Zaga,Explosivo e rápido,29.88,29.88,6.45,39.68,1.9,8362.03,7.2,False
william pottker,,William Pottker,Londrina,Série B,CA,Atacante,Explosivo e rápido,30.31,30.31,14.39,75.1,1.96,9920.17,29.36,False
a arroyo,fortaleza,A. Arroyo,Fortaleza,Colombia A,MEI,Meia,Baixa intensidade,27.0,27.0,5.26,43.96,0.85,9527.19,29.7,False
l flores,atletico bucaramanga,L. Flores,Atlético Bucaramanga,Colombia A,VOL,Volante,Menos intenso,25.99,25.99,3.76,38.15,0.1,9954.74,29.7,False
j velez,alianza lima,J. Vélez,Alianza Lima,Peru,MED,Meia,Médio em tudo,28.02,28.02,8.77,59.99,0.98,10002.03,36.2,True
f fabra,medellin,F. Fabra,Medellín,Colombia A,LE,Lateral,Baixa intensidade,30.43,30.43,10.13,55.07,2.58,8197.88,22.0,False
g lodico,racing club,G. Lódico,Racing Club,Argentina A,MED,Meia,Médio em tudo,25.71,25.71,3.51,46.82,0.08,10985.87,43.0,True
l leon,emelec,L. León,Emelec,Equador A,ZD,Zaga,Baixa intensidade,27.95,27.95,4.82,30.54,0.67,8202.58,4.0,False
b carvallo,cobresal,B. Carvallo,Cobresal,Chile,MED,Meia,Médio em tudo,26.95,26.95,4.16,40.03,0.83,10566.85,36.6,True
j campaz,rosario central,J. Campaz,Rosario Central,Argentina A,EE,Extremo,Motor de volume,27.38,27.38,12.4,73.44,2.31,9229.64,47.1,False
talisca,fenerbahce,Talisca,Fenerbahçe,Turquia,CA,Atacante,Baixa intensidade,27.47,27.47,6.33,49.0,0.59,9214.79,,False
c cuevas,universidad catolica,C. Cuevas,Universidad Católica,Chile,LE,Lateral,Explosivo e rápido,28.99,28.99,11.72,65.47,1.77,9459.02,24.9,True
n ospina,llaneros,N. Ospina,Llaneros,Colombia A,MED,Meia,Explosivo e rápido,28.12,28.12,8.28,53.74,1.89,8904.08,33.3,False
c dominguez,cerro porteno,C. Domínguez,Cerro Porteño,Paraguai,ED,Extremo,Baixa intensidade,29.89,29.89,11.71,62.33,1.23,9240.22,32.9,False
j viacava,independiente del valle,J. Viacava,Independiente del Valle,Equador A,ZE,Zaga,Baixa intensidade,28.38,28.38,4.26,29.53,0.74,8611.83,5.6,False
e batalla martinez,atletico bucaramanga,E. Batalla Martinez,Atlético Bucaramanga,Colombia A,MEI,Meia,Explosivo e rápido,29.5,29.5,11.45,62.65,1.0,8746.58,36.3,False
a gonzalez,deportivo recoleta,A. González,Deportivo Recoleta,Paraguai,CA,Atacante,Explosivo e rápido,31.11,31.11,15.25,77.1,2.22,9288.19,42.8,False
i colman,cusco,I. Colman,Cusco,Peru,MEI,Meia,Médio em tudo,27.95,27.95,6.6,53.68,0.95,9663.35,47.3,True
j alcantar,melgar,J. Alcantar,Melgar,Peru,ZE,Zaga,Baixa intensidade,28.48,28.48,3.9,29.38,0.57,8421.87,7.1,False
c izquierdoz,lanus,C. Izquierdoz,Lanús,Argentina A,ZD,Zaga,Baixa intensidade,27.77,27.77,4.48,34.13,0.53,9093.81,5.0,False
adryelson,al wasl,Adryelson,Al Wasl,Emirados,ZE,Zaga,Baixa intensidade,29.56,29.56,6.18,36.51,0.88,8150.75,,False
j sanguinetti,sport huancayo,J. Sanguinetti,Sport Huancayo,Peru,MED,Meia,Médio em tudo,27.71,27.71,6.24,47.67,0.45,9815.84,38.8,True
iago santos,dibba al fujairah,Iago Santos,Dibba Al Fujairah,Emirados,ZD,Zaga,Baixa intensidade,27.69,27.69,3.39,23.54,0.25,8022.81,,False
rodrigo soares,,Rodrigo Soares,Goiás,Série B,LD,Lateral,Médio em tudo,28.18,28.18,9.24,59.75,1.09,9998.23,32.05,False
raphael guzzo,maritimo,Raphael Guzzo,Marítimo,Portugal B,MED,Meia,Médio em tudo,26.5,26.5,6.69,55.62,0.4,10493.24,,True
l de los santos,defensor sporting,L. de los Santos,Defensor Sporting,Uruguai,ZD,Zaga,Motor de volume,27.48,27.48,5.76,42.66,0.53,9668.13,11.1,True
gabriel pinheiro,,Gabriel Pinheiro,Juventude,Série B,ZD,Zaga,Motor de volume,28.55,28.55,5.55,34.8,0.83,8917.1,10.73,True
p guzman,aucas,P. Guzmán,Aucas,Equador A,MED,Meia,Baixa intensidade,26.55,26.55,4.24,43.53,0.49,10129.98,33.1,False
r carrascal,america de cali,R. Carrascal,América de Cali,Colombia A,MED,Meia,Baixa intensidade,26.46,26.46,4.64,42.22,0.36,9578.08,24.5,False
sanchez,,Sánchez,Ceará,Série B,LE,Lateral,Médio em tudo,28.88,28.88,8.26,55.12,1.2,9591.3,26.76,False
m lemos,penarol,M. Lemos,Peñarol,Uruguai,ZE,Zaga,Baixa intensidade,26.34,26.34,3.63,31.4,0.0,9128.56,4.7,False
pipe gomez,once caldas,Pipe Gómez,Once Caldas,Colombia A,EE,Extremo,Baixa intensidade,28.86,28.86,8.13,57.05,0.59,9233.2,39.8,False
biel,,Biel,Sport,Série B,VOL,Volante,Mais intenso,28.02,28.02,9.96,64.39,1.88,9298.53,37.23,True
