chave,kt,jogador,clube,liga,pos11,setor,tipo,psv99,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,tipo_pref
m di benedetto,universitario,M. Di Benedetto,Universitario,Peru,ZE,Zaga,Baixa intensidade,28.94,28.94,5.61,33.09,0.57,8252.04,4.4,False
s sosa,racing club,S. Sosa,Racing Club,Argentina A,VOL,Volante,Menos intenso,27.03,27.03,3.31,33.69,0.31,9606.19,13.7,False
tito,,Tito,Atlético-GO,Série B,ZD,Zaga,Motor de volume,29.08,29.08,6.12,39.95,1.36,9072.58,7.32,True
l agazzi,defensor sporting,L. Agazzi,Defensor Sporting,Uruguai,LD,Lateral,Médio em tudo,28.19,28.19,12.81,75.91,1.12,10275.15,24.3,False
steven rodriguez,deportivo cali,Steven Rodríguez,Deportivo Cali,Colombia A,CA,Atacante,Explosivo e rápido,29.49,29.49,11.59,62.21,2.32,9015.61,39.6,False
f aguilar,deportivo cali,F. Aguilar,Deportivo Cali,Colombia A,ZD,Zaga,Baixa intensidade,28.07,28.07,4.95,35.36,0.56,8470.8,7.0,False
o gaona lugo,nacional asuncion,O. Gaona Lugo,Nacional Asunción,Paraguai,ED,Extremo,Explosivo e rápido,30.99,30.99,17.1,86.91,3.25,9205.7,36.3,True
andre luis,,André Luis,Vila Nova,Série B,CA,Atacante,Explosivo e rápido,30.82,30.82,11.77,64.75,2.74,8746.01,29.65,False
j mosquera,tolima,J. Mosquera,Tolima,Colombia A,LD,Lateral,Explosivo e rápido,28.87,28.87,11.65,73.59,1.44,9655.1,29.3,True
gabriel inocencio,,Gabriel Inocêncio,Botafogo-SP,Série B,LD,Lateral,Explosivo e rápido,30.1,30.1,14.39,75.45,2.14,9660.4,20.62,True
ramiro lecchini,torque,Ramiro Lecchini,Torque,Uruguai,EE,Extremo,Motor de volume,28.19,28.19,9.81,73.48,1.44,10696.45,30.2,False
i rodriguez,central espanol,I. Rodríguez,Central Español,Uruguai,ZD,Zaga,Baixa intensidade,29.14,29.14,3.54,28.04,0.1,8578.18,1.6,False
y goez,deportivo pasto,Y. Góez,Deportivo Pasto,Colombia A,MED,Meia,Baixa intensidade,27.98,27.98,6.86,46.94,0.8,9123.5,22.0,False
b aleman,cerro,B. Alemán,Cerro,Uruguai,CA,Atacante,Baixa intensidade,25.95,25.95,3.06,32.49,0.25,9711.0,28.6,False
f ibarra,rosario central,F. Ibarra,Rosario Central,Argentina A,VOL,Volante,Intermediário,27.58,27.58,4.35,37.78,0.61,9180.3,9.8,True
guilherme biro,ajman,Guilherme Biro,Ajman,Emirados,ED,Extremo,Baixa intensidade,28.86,28.86,9.69,62.96,1.8,9653.54,,False
j estacio,macara,J. Estacio,Macará,Equador A,VOL,Volante,Mais intenso,26.81,26.81,6.74,59.09,0.31,10239.54,34.0,True
j falconi,sport huancayo,J. Falconí,Sport Huancayo,Peru,LD,Lateral,Baixa intensidade,28.41,28.41,8.31,50.02,2.59,8804.31,11.8,False
f lencioni,gimnasia mendoza,F. Lencioni,Gimnasia Mendoza,Argentina A,EE,Extremo,Motor de volume,28.68,28.68,10.09,65.56,0.87,10254.63,35.8,False
a vera,albion,A. Vera,Albion,Uruguai,EE,Extremo,Motor de volume,27.01,27.01,8.86,76.26,0.49,11432.98,36.0,False
m rinaldi,danubio,M. Rinaldi,Danubio,Uruguai,ZE,Zaga,Motor de volume,28.02,28.02,5.24,37.92,2.25,9070.34,9.8,True
s strasorier,liverpool,S. Strasorier,Liverpool,Uruguai,ZD,Zaga,Motor de volume,29.19,29.19,5.88,38.2,1.82,8927.88,6.7,True
a moralez,llaneros,A. Moralez,Llaneros,Colombia A,ZD,Zaga,Explosivo e rápido,29.86,29.86,6.32,39.21,1.55,8623.49,6.0,False
f cairus,racing,F. Cairus,Racing,Uruguai,MED,Meia,Médio em tudo,27.12,27.12,6.58,53.37,1.43,10102.69,25.6,True
leo naldi,,Léo Naldi,Novorizontino,Série B,VOL,Volante,Intermediário,27.96,27.96,7.65,54.04,0.65,10295.62,19.02,True
r suarez,alianza atletico,R. Suárez,Alianza Atlético,Peru,ZD,Zaga,Baixa intensidade,27.35,27.35,3.05,23.71,0.72,8119.63,3.9,False
j gonzalez,tolima,J. González,Tolima,Colombia A,ED,Extremo,Baixa intensidade,30.78,30.78,14.35,78.55,1.64,9500.16,23.7,False
hugo rodallega,santa fe,Hugo Rodallega,Santa Fe,Colombia A,CA,Atacante,Baixa intensidade,28.39,28.39,5.32,36.29,0.72,7859.05,27.9,False
f zapiola,platense,F. Zapiola,Platense,Argentina A,MEI,Meia,Explosivo e rápido,28.41,28.41,9.11,65.3,1.22,10080.6,55.7,False
l sosa,sporting cristal,L. Sosa,Sporting Cristal,Peru,LD,Lateral,Médio em tudo,28.07,28.07,9.99,64.58,1.65,9927.49,28.3,False
j cadiz,wuhan three towns,J. Cádiz,Wuhan Three Towns,China,CA,Atacante,Baixa intensidade,29.68,29.68,6.92,45.88,1.24,7781.77,,False
j russo,newell s old boys,J. Russo,Newell's Old Boys,Argentina A,LE,Lateral,Médio em tudo,28.72,28.72,10.17,65.51,1.64,10156.07,29.5,False
heitor,portimonense,Heitor,Portimonense,Portugal B,LD,Lateral,Explosivo e rápido,29.02,29.02,12.21,67.59,1.67,9575.6,23.8,True
j mera,tolima,J. Mera,Tolima,Colombia A,ZE,Zaga,Baixa intensidade,29.27,29.27,4.9,34.79,1.04,8307.88,7.4,False
wallison,,Wallison,Avaí,Série B,LD,Lateral,Médio em tudo,28.85,28.85,10.8,64.46,1.33,9689.52,30.22,False
guillermo paiva,junior,Guillermo Paiva,Junior,Colombia A,CA,Atacante,Motor de volume,28.26,28.26,9.16,62.97,1.5,9283.19,49.8,True
c gutierrez,union la calera,C. Gutiérrez,Unión La Calera,Chile,LE,Lateral,Médio em tudo,27.79,27.79,9.6,70.79,1.23,10278.21,26.5,False
m valenti,estudiantes rio cuarto,M. Valenti,Estudiantes Río Cuarto,Argentina A,ZE,Zaga,Motor de volume,27.56,27.56,6.94,45.29,1.06,9208.72,7.8,True
neto,al bataeh,Neto,Al Bataeh,Emirados,MED,Meia,Baixa intensidade,26.9,26.9,3.51,33.15,0.41,9018.77,,False
c gruezo,libertad,C. Gruezo,Libertad,Equador A,ZD,Zaga,Baixa intensidade,27.57,27.57,3.71,28.94,0.56,8687.5,1.9,False
b cordoba,america de cali,B. Córdoba,América de Cali,Colombia A,ZE,Zaga,Baixa intensidade,28.76,28.76,5.37,32.01,1.07,7860.23,4.2,False
j alvarado,once caldas,J. Alvarado,Once Caldas,Colombia A,VOL,Volante,Intermediário,27.43,27.43,4.89,35.26,0.74,8888.69,4.9,True
rodrigo ferreira,,Rodrigo Ferreira,São Bernardo,Série B,LD,Lateral,Explosivo e rápido,29.63,29.63,11.4,65.48,1.86,9897.95,25.92,True
w riveros,universitario,W. Riveros,Universitario,Peru,ZD,Zaga,Baixa intensidade,27.46,27.46,4.34,28.55,0.58,8263.35,4.5,False
luis moreno,universidad catolica,Luis Moreno,Universidad Católica,Equador A,VOL,Volante,Intermediário,27.05,27.05,6.05,47.32,1.12,9966.92,20.6,True
e saba,sport boys,E. Saba,Sport Boys,Peru,LD,Lateral,Médio em tudo,28.96,28.96,10.22,65.64,1.32,9819.49,25.6,False
j o neill,boston river,J. O'Neill,Boston River,Uruguai,LE,Lateral,Explosivo e rápido,30.18,30.18,15.61,80.79,2.09,10010.27,21.6,True
t molina,argentinos juniors,T. Molina,Argentinos Juniors,Argentina A,CA,Atacante,Explosivo e rápido,28.82,28.82,13.69,79.3,2.66,9516.05,30.5,False
s saez,union la calera,S. Sáez,Unión La Calera,Chile,CA,Atacante,Motor de volume,27.51,27.51,8.14,65.07,0.98,10246.19,27.5,True
d mondino,gimnasia mendoza,D. Mondino,Gimnasia Mendoza,Argentina A,ZD,Zaga,Baixa intensidade,26.35,26.35,3.88,31.89,0.38,9189.26,4.5,False
f zampedri,universidad catolica,F. Zampedri,Universidad Católica,Chile,CA,Atacante,Baixa intensidade,28.96,28.96,11.28,65.87,2.03,8771.5,21.6,False
j miritello,,J. Miritello,Fortaleza,Série B,CA,Atacante,Baixa intensidade,28.24,28.24,6.84,45.74,1.55,9097.35,24.31,False
e espinoza,concepcion,E. Espinoza,Concepción,Chile,EE,Extremo,Motor de volume,28.74,28.74,11.35,73.77,1.15,9914.72,47.1,False
melk,,Melk,Ceará,Série B,ED,Extremo,Motor de volume,28.24,28.24,7.73,56.15,0.89,9789.91,36.72,False
a da silveira,sportivo trinidense,A. Da Silveira,Sportivo Trinidense,Paraguai,ZD,Zaga,Baixa intensidade,28.39,28.39,5.73,36.52,0.99,8396.69,5.9,False
j ayovi,guayaquil city,J. Ayoví,Guayaquil City,Equador A,LD,Lateral,Explosivo e rápido,30.46,30.46,10.95,59.54,2.95,9395.42,22.0,True
m estigarribia,union santa fe,M. Estigarribia,Unión Santa Fe,Argentina A,CA,Atacante,Motor de volume,28.78,28.78,12.25,67.59,2.3,9271.92,50.3,True
m gonzalez,deportivo maldonado,M. González,Deportivo Maldonado,Uruguai,VOL,Volante,Menos intenso,26.41,26.41,3.46,39.08,0.48,9900.95,12.8,False
e ramirez manrique,juan pablo ii college,E. Ramírez Manrique,Juan Pablo II College,Peru,ED,Extremo,Baixa intensidade,30.61,30.61,14.16,67.57,1.41,8872.52,23.8,False
kauan cristtyan,,Kauan Cristtyan,Cuiabá,Série B,CA,Atacante,Motor de volume,29.02,29.02,12.8,80.5,1.96,10608.05,37.62,True
vinicius mello,al jazira,Vinicius Mello,Al Jazira,Emirados,CA,Atacante,Baixa intensidade,28.75,28.75,8.42,53.3,1.06,9150.26,,False
m peralta,danubio,M. Peralta,Danubio,Uruguai,MED,Meia,Explosivo e rápido,28.67,28.67,12.61,75.16,0.85,10422.84,33.3,False
miranda,,Miranda,Operário-PR,Série B,ZE,Zaga,Baixa intensidade,28.1,28.1,4.57,32.79,0.55,8430.99,9.08,False
a zarate,atletico bucaramanga,A. Zárate,Atlético Bucaramanga,Colombia A,VOL,Volante,Menos intenso,26.13,26.13,5.34,42.42,0.6,9669.21,16.7,False
f bone,inter bogota,F. Boné,Inter Bogotá,Colombia A,MEI,Meia,Baixa intensidade,28.69,28.69,6.17,44.07,0.47,9333.07,27.6,False
r briones,independiente del valle,R. Briones,Independiente del Valle,Equador A,MED,Meia,Explosivo e rápido,28.68,28.68,9.42,61.81,1.41,9385.02,33.6,False
a correa,once caldas,A. Correa,Once Caldas,Colombia A,LE,Lateral,Explosivo e rápido,29.56,29.56,11.74,66.11,2.05,9007.23,24.1,True
a posito,fc cajamarca,A. Pósito,FC Cajamarca,Peru,ZD,Zaga,Motor de volume,28.98,28.98,4.8,37.06,2.29,8316.16,3.0,True
a colombino,progreso,A. Colombino,Progreso,Uruguai,VOL,Volante,Menos intenso,26.73,26.73,3.72,40.09,0.55,9668.18,10.0,False
f pizzichillo,torque,F. Pizzichillo,Torque,Uruguai,MED,Meia,Médio em tudo,27.22,27.22,6.75,51.94,0.22,10542.46,23.5,True
daniel rivera,junior,Daniel  Rivera,Junior,Colombia A,ZE,Zaga,Explosivo e rápido,28.42,28.42,7.67,43.15,2.36,8645.73,6.8,False
n silva,cusco,N. Silva,Cusco,Peru,ED,Extremo,Baixa intensidade,27.56,27.56,8.67,60.11,1.64,9437.08,24.1,False
a ricaurte,aguilas doradas,A. Ricaurte,Águilas Doradas,Colombia A,MEI,Meia,Baixa intensidade,25.04,25.04,1.52,29.49,0.0,9904.1,27.2,False
matheus bianqui,,Matheus Bianqui,Novorizontino,Série B,MED,Meia,Explosivo e rápido,28.02,28.02,10.85,74.86,0.99,10907.75,35.79,False
f martinez,liverpool,F. Martínez,Liverpool,Uruguai,CA,Atacante,Motor de volume,28.12,28.12,9.9,64.97,0.68,9988.01,34.9,True
m cagua,tecnico universitario,M. Cagua,Técnico Universitario,Equador A,ZD,Zaga,Explosivo e rápido,30.19,30.19,7.74,41.79,1.93,9036.22,3.6,False
j ordonez,deportivo cuenca,J. Ordoñez,Deportivo Cuenca,Equador A,CA,Atacante,Explosivo e rápido,30.92,30.92,13.62,69.8,2.7,8819.19,29.8,False
f zabala,independiente,F. Zabala,Independiente,Argentina A,LE,Lateral,Baixa intensidade,29.03,29.03,9.4,57.1,1.38,9292.12,21.6,False
m ortiz,audax italiano,M. Ortíz,Audax Italiano,Chile,ZD,Zaga,Motor de volume,28.18,28.18,5.81,41.28,1.03,9180.83,8.2,True
j munoz,alianza,J. Muñoz,Alianza,Colombia A,EE,Extremo,Baixa intensidade,28.7,28.7,11.8,68.45,1.71,9202.83,25.4,False
deyverson,ldu quito,Deyverson,LDU Quito,Equador A,CA,Atacante,Baixa intensidade,28.86,28.86,7.87,51.3,0.97,8680.07,23.3,False
c pinares,audax italiano,C. Pinares,Audax Italiano,Chile,MED,Meia,Baixa intensidade,25.67,25.67,2.81,37.86,0.0,10731.04,35.3,False
h benincasa,adt,H. Benincasa,ADT,Peru,ZE,Zaga,Baixa intensidade,27.13,27.13,2.36,23.33,0.07,8156.79,5.3,False
f ginella,albion,F. Ginella,Albion,Uruguai,VOL,Volante,Menos intenso,25.97,25.97,4.82,49.78,0.36,10878.18,25.4,False
bruno,al jazira,Bruno,Al Jazira,Emirados,ED,Extremo,Motor de volume,28.26,28.26,9.79,65.71,1.32,9924.51,,False
n tripichio,san lorenzo,N. Tripichio,San Lorenzo,Argentina A,MED,Meia,Médio em tudo,26.93,26.93,5.32,49.28,0.68,10463.3,22.3,True
a campuzano,club libertad,A. Campuzano,Club Libertad,Paraguai,MED,Meia,Baixa intensidade,27.18,27.18,4.41,44.14,0.35,10592.46,21.4,False
r gonzalez,aldosivi,R. González,Aldosivi,Argentina A,LD,Lateral,Explosivo e rápido,30.43,30.43,16.8,81.13,3.5,9828.47,22.3,True
l magallan,velez sarsfield,L. Magallán,Vélez Sarsfield,Argentina A,ZE,Zaga,Baixa intensidade,28.39,28.39,4.93,35.17,0.75,8727.37,4.0,False
m diaz,deportivo cuenca,M. Díaz,Deportivo Cuenca,Equador A,ED,Extremo,Motor de volume,28.48,28.48,13.21,77.99,0.83,10518.18,34.9,False
j garcia,velez sarsfield,J. García,Vélez Sarsfield,Argentina A,LD,Lateral,Médio em tudo,29.05,29.05,10.55,65.13,1.81,10091.31,26.9,False
e valencia,universidad catolica,E. Valencia,Universidad Católica,Equador A,LE,Lateral,Baixa intensidade,28.47,28.47,8.65,54.68,2.12,8756.04,17.0,False
a renteria,jaguares de cordoba,A. Rentería,Jaguares de Córdoba,Colombia A,CA,Atacante,Baixa intensidade,28.85,28.85,6.41,38.96,1.28,7761.36,28.1,False
s diaz,sportivo luqueno,S. Díaz,Sportivo Luqueño,Paraguai,EE,Extremo,Baixa intensidade,27.29,27.29,6.04,45.64,1.55,8963.33,24.3,False
o takeuchi,los chankas,O. Takeuchi,Los Chankas,Peru,LD,Lateral,Explosivo e rápido,30.31,30.31,10.85,58.09,2.76,8995.01,35.3,True
sebastian galani,coquimbo unido,Sebastián Galani,Coquimbo Unido,Chile,VOL,Volante,Mais intenso,27.34,27.34,9.42,70.64,0.5,10289.72,29.8,True
anilson,pacos de ferreira,Anilson,Paços de Ferreira,Portugal B,LD,Lateral,Explosivo e rápido,30.69,30.69,14.73,76.14,3.23,9658.15,,True
derick poloni,farense,Derick Poloni,Farense,Portugal B,LE,Lateral,Baixa intensidade,30.36,30.36,11.57,62.64,1.73,8993.01,,False
m gonzalez,boston river,M. González,Boston River,Uruguai,ZD,Zaga,Baixa intensidade,28.41,28.41,3.73,28.49,0.73,8235.88,2.0,False
f grillo,concepcion,F. Grillo,Concepción,Chile,ZE,Zaga,Baixa intensidade,27.46,27.46,4.07,31.24,0.14,8930.97,6.4,False
b ampuero,universidad catolica,B. Ampuero,Universidad Católica,Chile,ZD,Zaga,Motor de volume,29.05,29.05,6.24,40.66,1.26,8864.28,5.9,True
m lazo,melgar,M. Lazo,Melgar,Peru,LD,Lateral,Baixa intensidade,29.43,29.43,6.94,44.62,1.48,9032.69,13.8,False
j colman,nacional asuncion,J. Colmán,Nacional Asunción,Paraguai,EE,Extremo,Motor de volume,28.15,28.15,7.35,50.18,0.83,9884.98,37.4,False
f formiliano,wanderers,F. Formiliano,Wanderers,Uruguai,ZD,Zaga,Baixa intensidade,26.72,26.72,3.19,30.6,0.28,9036.33,4.4,False
leandro spadacio,al ittihad kalba,Leandro Spadacio,Al Ittihad Kalba,Emirados,ED,Extremo,Motor de volume,29.3,29.3,13.05,72.28,1.74,9744.26,,False
j benitez,sportivo ameliano,J. Benítez,Sportivo Ameliano,Paraguai,VOL,Volante,Intermediário,27.29,27.29,4.64,39.46,0.61,9630.58,13.4,True
j duran,juan pablo ii college,J. Durán,Juan Pablo II College,Peru,MED,Meia,Baixa intensidade,29.35,29.35,7.42,46.78,1.17,8239.93,17.6,False
w pacheco,deportivo pereira,W. Pacheco,Deportivo Pereira,Colombia A,LD,Lateral,Explosivo e rápido,30.46,30.46,12.66,68.1,1.96,8895.49,25.8,True
s etchebarne,macara,S. Etchebarne,Macará,Equador A,ZD,Zaga,Baixa intensidade,28.87,28.87,4.93,34.6,0.8,8459.9,3.3,False
o bertel,america de cali,O. Bertel,América de Cali,Colombia A,LE,Lateral,Baixa intensidade,30.04,30.04,10.37,59.46,2.13,8944.25,23.7,False
m ganoza,utc cajamarca,M. Ganoza,UTC Cajamarca,Peru,ZD,Zaga,Baixa intensidade,27.94,27.94,5.31,34.49,0.44,8482.54,5.9,False
j cordoba,instituto,J. Córdoba,Instituto,Argentina A,ED,Extremo,Explosivo e rápido,29.95,29.95,18.51,91.16,3.91,8956.74,51.3,True
l giannetti,antalyaspor,L. Giannetti,Antalyaspor,Turquia,ZD,Zaga,Motor de volume,28.18,28.18,6.36,41.41,1.16,8717.67,,True
e segura cortes,emelec,E. Segura Cortes,Emelec,Equador A,ZE,Zaga,Baixa intensidade,28.33,28.33,5.03,33.99,1.01,8446.05,4.7,False
e vargas,universidad de chile,E. Vargas,Universidad de Chile,Chile,CA,Atacante,Explosivo e rápido,30.04,30.04,17.14,87.96,3.6,8999.84,26.4,False
i abraham,banfield,I. Abraham,Banfield,Argentina A,LE,Lateral,Explosivo e rápido,30.51,30.51,13.32,70.3,2.47,9188.08,31.7,True
f jainikoski,argentinos juniors,F. Jainikoski,Argentinos Juniors,Argentina A,EE,Extremo,Explosivo e rápido,30.1,30.1,16.26,89.56,2.0,10451.55,30.3,True
g escalante,la serena,G. Escalante,La Serena,Chile,MED,Meia,Baixa intensidade,25.93,25.93,3.66,41.15,0.12,9997.43,25.9,False
juan,goztepe,Juan,Göztepe,Turquia,CA,Atacante,Explosivo e rápido,30.86,30.86,17.07,84.22,3.67,8963.91,,False
g pacheco,cobresal,G. Pacheco,Cobresal,Chile,LD,Lateral,Médio em tudo,28.3,28.3,10.54,67.46,1.22,9878.35,26.6,False
heron,,Heron,Londrina,Série B,LE,Lateral,Médio em tudo,30.07,30.07,10.59,62.3,0.96,9922.21,23.49,False
a sosa,aldosivi,A. Sosa,Aldosivi,Argentina A,MED,Meia,Médio em tudo,28.71,28.71,9.23,64.41,0.84,10225.18,23.6,True
a mendez,newell s old boys,A. Méndez,Newell's Old Boys,Argentina A,LD,Lateral,Explosivo e rápido,29.57,29.57,12.87,66.65,1.62,9389.59,28.6,True
diego leao,,Diego Leão,Ponte Preta,Série B,ZD,Zaga,Baixa intensidade,27.61,27.61,3.6,32.16,0.33,9172.44,5.76,False
y rosales,alianza,Y. Rosales,Alianza,Colombia A,LD,Lateral,Baixa intensidade,29.39,29.39,9.44,53.65,1.24,9137.16,19.3,False
d acosta,de mayo,D. Acosta,2 de Mayo,Paraguai,CA,Atacante,Baixa intensidade,27.42,27.42,5.16,38.93,1.41,8930.24,24.3,False
f sanguinetti,inter bogota,F. Sanguinetti,Inter Bogotá,Colombia A,CA,Atacante,Explosivo e rápido,31.19,31.19,14.74,76.82,2.76,9471.79,42.4,False
o medina,delfin,O. Medina,Delfin,Equador A,ZE,Zaga,Baixa intensidade,27.57,27.57,5.77,34.6,1.36,8198.76,4.6,False
e mancuso,estudiantes,E. Mancuso,Estudiantes,Argentina A,LD,Lateral,Médio em tudo,27.94,27.94,9.72,64.72,0.61,9809.9,27.6,False
f diaz,al gharafa,F. Díaz,Al Gharafa,Catar,MED,Meia,Baixa intensidade,27.63,27.63,6.35,47.31,0.82,9152.14,,False
e salvio,lanus,E. Salvio,Lanús,Argentina A,ED,Extremo,Motor de volume,27.94,27.94,10.65,73.13,1.33,10910.94,39.5,False
s vittor,banfield,S. Vittor,Banfield,Argentina A,ZE,Zaga,Baixa intensidade,25.79,25.79,1.58,24.32,0.17,8221.94,4.9,False
e villalba,club libertad,E. Villalba,Club Libertad,Paraguai,LD,Lateral,Explosivo e rápido,30.89,30.89,14.88,76.12,1.81,9845.84,21.9,True
h barcos,sporting cristal,H. Barcos,Sporting Cristal,Peru,CA,Atacante,Baixa intensidade,25.55,25.55,2.22,24.08,0.76,7873.53,17.8,False
j perez,alianza atletico,J. Pérez,Alianza Atlético,Peru,MED,Meia,Médio em tudo,27.94,27.94,6.54,48.28,0.93,9488.17,30.6,True
k ortiz,atletico tucuman,K. Ortíz,Atlético Tucumán,Argentina A,MED,Meia,Baixa intensidade,27.04,27.04,5.8,46.92,0.44,9483.85,12.8,False
j leiva,o higgins,J. Leiva,O'Higgins,Chile,VOL,Volante,Intermediário,27.83,27.83,5.93,47.21,0.71,9929.11,23.2,True
lourency,khorfakkan,Lourency,Khorfakkan,Emirados,EE,Extremo,Baixa intensidade,28.43,28.43,9.22,60.4,1.18,9456.71,,False
m fuentes,audax italiano,M. Fuentes,Audax Italiano,Chile,MED,Meia,Explosivo e rápido,29.48,29.48,15.85,83.77,3.63,9854.01,38.0,False
m villa,atletico tucuman,M. Villa,Atlético Tucumán,Argentina A,LD,Lateral,Baixa intensidade,28.43,28.43,7.28,50.75,2.18,9013.76,17.6,False
gianluca muniz,al bataeh,Gianluca Muniz,Al Bataeh,Emirados,LE,Lateral,Explosivo e rápido,29.36,29.36,12.19,68.46,2.35,9247.41,,True
a costa,boca juniors,A. Costa,Boca Juniors,Argentina A,ZE,Zaga,Motor de volume,28.99,28.99,5.43,35.26,0.85,8913.86,5.6,True
m torres,los chankas,M. Torres,Los Chankas,Peru,CA,Atacante,Explosivo e rápido,30.24,30.24,11.26,60.83,2.11,8488.43,43.8,False
l carrizo,newell s old boys,L. Carrizo,Newell's Old Boys,Argentina A,ZE,Zaga,Baixa intensidade,27.73,27.73,4.28,32.68,0.68,8655.76,9.9,False
f perdomo,liverpool,F. Perdomo,Liverpool,Uruguai,LD,Lateral,Médio em tudo,28.21,28.21,9.72,58.13,1.1,9741.37,20.7,False
s enciso,fc cajamarca,S. Enciso,FC Cajamarca,Peru,LE,Lateral,Baixa intensidade,27.19,27.19,5.78,44.98,1.63,8791.27,27.4,False
e amor,san lorenzo,E. Amor,San Lorenzo,Argentina A,ZD,Zaga,Baixa intensidade,27.83,27.83,3.62,28.13,0.44,8625.82,3.6,False
gustavo sauer,wuhan three towns,Gustavo Sauer,Wuhan Three Towns,China,MEI,Meia,Explosivo e rápido,29.1,29.1,10.07,60.76,1.62,9523.73,,False
r orihuela,sarmiento,R. Orihuela,Sarmiento,Argentina A,ZD,Zaga,Motor de volume,29.25,29.25,6.71,41.73,1.15,8696.65,6.8,True
s arias,independiente,S. Arias,Independiente,Argentina A,LD,Lateral,Explosivo e rápido,29.01,29.01,12.24,68.2,1.85,9451.7,24.7,True
b berrios,everton,B. Berríos,Everton,Chile,MED,Meia,Médio em tudo,27.05,27.05,6.39,51.22,1.12,10203.69,29.3,True
facundo mansilla,central cordoba sde,Facundo Mansilla,Central Córdoba SdE,Argentina A,ZE,Zaga,Baixa intensidade,27.39,27.39,3.28,27.92,0.3,8541.02,3.2,False
y arce,tecnico universitario,Y. Arce,Técnico Universitario,Equador A,ZE,Zaga,Baixa intensidade,28.1,28.1,4.85,34.68,1.17,8526.65,3.9,False
n bandiera,cienciano,N. Bandiera,Cienciano,Peru,EE,Extremo,Baixa intensidade,27.38,27.38,7.21,51.36,0.08,8888.87,30.1,False
a benitez,sportivo san lorenzo,Á. Benítez,Sportivo San Lorenzo,Paraguai,ZD,Zaga,Motor de volume,28.25,28.25,6.68,43.51,0.81,8969.34,7.1,True
c esparragoza,alianza,C. Esparragoza,Alianza,Colombia A,VOL,Volante,Menos intenso,26.73,26.73,5.04,44.44,0.72,9612.33,21.6,False
m maccari,deportivo cuenca,M. Maccari,Deportivo Cuenca,Equador A,VOL,Volante,Menos intenso,26.61,26.61,2.78,31.63,0.46,9400.49,5.4,False
t andrada,river plate,T. Andrada,River Plate,Argentina A,ED,Extremo,Motor de volume,28.7,28.7,10.9,72.58,0.86,10507.53,28.2,False
gregore,al rayyan,Gregore,Al Rayyan,Catar,VOL,Volante,Mais intenso,29.35,29.35,11.58,67.82,1.0,9926.39,,True
o mora,sport boys,O. Mora,Sport Boys,Peru,LD,Lateral,Baixa intensidade,28.34,28.34,6.55,45.86,0.86,9201.48,21.3,False
lucca,,Lucca,Ceará,Série B,CA,Atacante,Baixa intensidade,27.89,27.89,8.49,60.73,0.81,9524.19,33.53,False
danilo barcelos,,Danilo Barcelos,Ponte Preta,Série B,ZE,Zaga,Motor de volume,26.98,26.98,6.51,49.37,0.43,9930.87,22.92,True
allan godoi,goztepe,Allan Godói,Göztepe,Turquia,ZD,Zaga,Explosivo e rápido,29.36,29.36,8.84,45.26,1.91,8268.72,,False
alejandro camargo,coquimbo unido,Alejandro Camargo,Coquimbo Unido,Chile,VOL,Volante,Menos intenso,25.25,25.25,2.03,31.99,0.08,10202.07,9.9,False
a aguirre,deportes limache,A. Aguirre,Deportes Limache,Chile,ZD,Zaga,Baixa intensidade,27.98,27.98,3.77,31.02,0.94,8414.29,5.0,False
y rodriguez,guayaquil city,Y. Rodríguez,Guayaquil City,Equador A,ZD,Zaga,Baixa intensidade,27.93,27.93,4.44,31.56,0.58,8532.0,4.7,False
j pretell,ldu quito,J. Pretell,LDU Quito,Equador A,VOL,Volante,Intermediário,27.87,27.87,7.42,55.61,0.74,10021.9,16.4,True
g montes,torque,G. Montes,Torque,Uruguai,MED,Meia,Baixa intensidade,25.97,25.97,3.32,42.22,0.33,10373.65,34.0,False
j marabel,sarmiento,J. Marabel,Sarmiento,Argentina A,CA,Atacante,Explosivo e rápido,29.27,29.27,14.21,78.06,3.48,9805.31,30.9,False
i tapia,atletico grau,I. Tapia,Atlético Grau,Peru,ZE,Zaga,Baixa intensidade,27.48,27.48,3.38,27.08,0.28,8490.82,6.3,False
l mancinelli,deportivo cuenca,L. Mancinelli,Deportivo Cuenca,Equador A,ED,Extremo,Baixa intensidade,27.67,27.67,8.39,54.25,1.59,9334.22,16.0,False
j quinonez,guayaquil city,J. Quiñónez,Guayaquil City,Equador A,ZD,Zaga,Baixa intensidade,27.81,27.81,2.57,21.89,0.24,8070.19,2.4,False
s fernandez,talleres cordoba,S. Fernández,Talleres Córdoba,Argentina A,ZE,Zaga,Motor de volume,29.54,29.54,6.3,38.18,1.04,9060.61,3.7,True
i miramon,gimnasia la plata,I. Miramón,Gimnasia La Plata,Argentina A,MED,Meia,Explosivo e rápido,29.02,29.02,10.22,64.7,1.67,10247.52,19.6,False
j ruiz,emelec,J. Ruiz,Emelec,Equador A,ED,Extremo,Motor de volume,28.74,28.74,13.72,77.85,1.52,9759.55,31.5,False
j palacios,america de cali,J. Palacios,América de Cali,Colombia A,EE,Extremo,Baixa intensidade,28.25,28.25,10.45,67.52,1.85,9323.08,31.6,False
