ano,clube,jogador,pos11,setor,tipo,minutos,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,Duelos/90,"Duelos ganhos, %","Duelos defensivos ganhos, %","Duelos aéreos ganhos, %",Duelos ofensivos/90,Dribles/90,Corridas progressivas/90,Toques na área/90,Acções atacantes com sucesso/90,xgxa90,ga90,Interseções/90
2022,Vila Nova,Alisson Cassiano,ZE,Zaga,Motor de volume,1968,27.59,4.23,31.65,0.51,9049.7,8.81,8.83,56.99,61.45,62.5,0.5,0.05,0.18,0.32,0.05,0.05,0.0,3.66
2022,Vila Nova,Renato Palm,ZE,Zaga,Baixa intensidade,1591,28.61,4.18,29.45,0.45,8929.84,5.88,10.8,65.45,72.37,66.67,1.02,0.11,0.11,0.45,0.17,0.03,0.0,5.26
2023,ABC,Habraão,ZE,Zaga,Baixa intensidade,1953,28.55,4.6,31.7,0.41,8628.46,3.1,14.56,63.29,69.09,64.34,1.2,0.32,0.09,0.97,0.28,0.09,0.0,5.21
2023,ABC,Afonso,ZD,Zaga,Motor de volume,1550,29.95,5.75,35.0,0.58,8748.51,4.52,12.72,57.53,62.75,62.5,1.05,0.23,0.17,0.23,0.17,0.02,0.0,3.66
2023,ABC,Fabrício,ZE,Zaga,Baixa intensidade,1430,26.96,3.27,26.07,0.5,8428.24,5.07,9.5,55.63,58.93,54.55,1.13,0.38,0.82,0.0,0.5,0.03,0.0,5.29
2023,Atlético-GO,Heron,ZE,Zaga,Explosivo e rápido,2652,29.72,8.74,50.38,1.41,9425.38,16.91,15.1,60.0,65.36,62.75,2.27,0.78,1.19,0.54,1.12,0.06,0.0,3.36
2023,Atlético-GO,Lucas Gazal,ZD,Zaga,Motor de volume,1673,28.34,5.94,39.01,0.39,9221.02,10.63,10.27,49.74,56.25,51.72,0.22,0.11,0.59,0.32,0.32,0.04,0.1,4.36
2023,Avaí,Alan Costa,ZD,Zaga,Baixa intensidade,2050,27.37,3.8,30.46,0.48,8962.45,6.48,9.75,58.11,64.2,62.11,0.75,0.13,0.79,0.48,0.13,0.05,0.0,5.84
2023,Avaí,Felipe Silva,ZE,Zaga,Motor de volume,1431,27.81,6.32,41.52,1.63,8869.45,7.93,13.27,65.88,66.67,70.24,0.63,0.19,1.26,0.25,0.31,0.02,0.0,5.91
2023,Botafogo-SP,Márcio,ZE,Zaga,Explosivo e rápido,3062,32.0,9.07,47.95,1.64,8996.3,7.95,10.43,60.56,63.91,58.33,1.35,0.35,0.35,0.85,0.29,0.05,0.0,4.14
2023,Botafogo-SP,Lucas Dias,ZD,Zaga,Motor de volume,1400,29.24,5.98,39.01,1.35,9016.0,8.0,14.91,62.93,64.37,62.96,1.54,0.71,0.9,0.96,0.71,0.09,0.0,4.89
2023,CRB,Ramon Menezes,ZE,Zaga,Motor de volume,2186,28.25,4.97,34.72,0.53,9100.73,8.36,11.65,66.08,70.94,62.9,0.86,0.25,0.29,0.33,0.21,0.03,0.0,3.33
2023,CRB,Fabio Alemão,ZD,Zaga,Motor de volume,2184,28.81,5.31,36.12,0.91,9114.58,10.64,14.34,61.78,69.46,51.72,1.24,0.62,0.82,0.62,0.7,0.06,0.08,4.57
2023,CRB,Anderson Conceição,ZE,Zaga,Baixa intensidade,1760,27.97,2.96,25.82,0.66,8676.19,4.13,12.84,60.16,65.05,65.69,0.56,0.2,0.1,0.46,0.2,0.04,0.1,4.45
2023,CRB,Saimon,ZD,Zaga,Baixa intensidade,1189,26.32,3.62,30.5,0.23,8963.94,7.02,14.31,58.2,52.86,65.67,0.91,0.3,1.59,0.3,0.23,0.02,0.0,4.92
2023,CRB,Gum,ZD,Zaga,Baixa intensidade,940,27.32,3.94,30.41,0.2,8976.09,5.59,10.05,68.57,74.42,72.5,0.38,0.0,0.96,0.29,0.0,0.02,0.0,3.64
2023,Ceará,David Ricardo,ZE,Zaga,Explosivo e rápido,2319,29.58,8.61,49.88,1.05,8723.88,13.72,15.25,53.69,60.65,48.78,2.64,1.09,1.36,0.74,0.82,0.09,0.08,4.5
2023,Ceará,Tiago Pagnussat,ZD,Zaga,Motor de volume,1905,28.95,5.84,37.21,0.61,8884.06,7.53,12.52,63.02,67.68,68.18,0.8,0.28,0.85,1.09,0.28,0.11,0.1,4.54
2023,Ceará,Gabriel Lacerda,ZE,Zaga,Baixa intensidade,952,28.66,4.25,32.01,0.57,8580.9,8.1,7.09,65.33,73.33,64.52,0.38,0.09,0.57,0.09,0.09,0.0,0.0,5.29
2023,Chapecoense,Lucas Freitas,ZE,Zaga,Baixa intensidade,2347,29.1,4.63,32.21,0.61,8623.13,5.5,9.13,57.14,60.91,58.06,0.88,0.42,0.73,0.23,0.27,0.05,0.0,4.6
2023,Chapecoense,Bruno Leonardo,ZD,Zaga,Motor de volume,2199,28.31,5.44,36.23,0.7,8882.73,7.77,16.41,58.6,66.67,51.68,1.43,0.25,0.82,0.45,0.33,0.06,0.08,5.36
2023,Chapecoense,Rodrigo Freitas,ZD,Zaga,Baixa intensidade,1906,27.65,3.86,29.34,0.94,9046.4,6.76,8.26,64.0,65.63,71.05,0.47,0.09,1.84,0.85,0.24,0.03,0.09,4.25
2023,Chapecoense,Victor Ramos,ZE,Zaga,Baixa intensidade,930,26.77,2.8,24.8,0.1,9094.91,5.83,12.87,64.66,66.1,61.82,0.29,0.1,2.23,0.58,0.1,0.03,0.0,4.26
2023,Criciúma,Walisson Maia,ZE,Zaga,Motor de volume,3090,29.14,5.78,37.65,0.96,8792.14,8.49,13.22,61.01,67.74,57.43,0.5,0.12,0.2,0.41,0.2,0.02,0.03,3.7
2023,Criciúma,Rayan,ZE,Zaga,Motor de volume,902,28.39,6.3,37.18,0.7,9101.84,6.99,11.18,54.46,55.88,54.76,1.3,0.3,0.5,0.5,0.6,0.04,0.0,4.59
2023,Guarani,Lucão,ZE,Zaga,Motor de volume,3596,28.45,4.5,33.44,0.69,8952.67,11.58,9.11,59.89,69.81,55.98,0.5,0.23,1.03,0.45,0.3,0.04,0.03,4.71
2023,Guarani,Alan Santos,ZD,Zaga,Baixa intensidade,2361,29.26,3.38,26.11,0.6,8724.21,10.19,12.39,58.15,60.87,59.2,1.11,0.15,0.69,0.34,0.38,0.05,0.0,4.57
2023,Guarani,Wálber,ZD,Zaga,Motor de volume,1162,29.0,4.09,29.74,0.39,8881.93,11.95,9.14,55.08,57.69,52.27,0.77,0.08,0.31,0.7,0.0,0.01,0.0,3.41
2023,Guarani,Alexis Alvariño,ZD,Zaga,Motor de volume,1083,28.13,4.8,37.11,1.16,9313.72,14.38,11.14,52.24,55.93,54.55,2.08,0.66,0.83,0.66,0.66,0.02,0.0,3.49
2023,Ituano,Marcel Scalese,ZE,Zaga,Motor de volume,2351,27.8,3.95,30.82,0.31,9168.43,9.73,9.42,55.28,62.22,51.4,0.42,0.11,1.0,0.46,0.15,0.04,0.04,3.71
