setor,fisico,tecnico,n,r,r_time_igual
Meia,sprint_distance_p30tip,Duelos ofensivos/90,227,0.407,0.435
Meia,sprint_distance_p30tip,"Duelos ofensivos ganhos, %",227,-0.279,-0.235
Meia,sprint_distance_p30tip,Interseções/90,227,-0.394,-0.319
Meia,sprint_distance_p30tip,Dribles/90,227,0.442,0.485
Meia,sprint_distance_p30tip,Corridas progressivas/90,227,0.419,0.476
Meia,sprint_distance_p30tip,Toques na área/90,227,0.595,0.564
Meia,sprint_distance_p30tip,Acções atacantes com sucesso/90,227,0.465,0.489
Meia,sprint_distance_p30tip,Golos esperados/90,227,0.381,0.346
Meia,sprint_distance_p30tip,Assistências esperadas/90,227,0.333,0.292
Meia,sprint_distance_p30tip,ga90,227,0.261,0.25
Meia,sprint_distance_p30tip,xgxa90,227,0.402,0.373
Meia,sprint_distance_p30tip,Passes progressivos/90,227,-0.396,-0.326
Meia,sprint_distance_p30tip,Faltas sofridas/90,227,0.163,0.217
Meia,sprint_distance_p30tip,Passes chave/90,227,0.341,0.342
Meia,sprint_distance_p30otip,Duelos/90,227,0.144,0.148
Meia,sprint_distance_p30otip,"Duelos ganhos, %",227,0.106,0.122
Meia,sprint_distance_p30otip,Duelos defensivos/90,227,0.398,0.426
Meia,sprint_distance_p30otip,"Duelos defensivos ganhos, %",227,0.114,0.111
Meia,sprint_distance_p30otip,Duelos aéreos/90,227,0.1,0.097
Meia,sprint_distance_p30otip,"Duelos aéreos ganhos, %",227,0.137,0.151
Meia,sprint_distance_p30otip,Duelos ofensivos/90,227,-0.2,-0.181
Meia,sprint_distance_p30otip,"Duelos ofensivos ganhos, %",227,-0.147,-0.126
Meia,sprint_distance_p30otip,Interseções/90,227,0.267,0.299
Meia,sprint_distance_p30otip,Dribles/90,227,-0.171,-0.15
Meia,sprint_distance_p30otip,Corridas progressivas/90,227,-0.125,-0.144
Meia,sprint_distance_p30otip,Toques na área/90,227,-0.106,-0.112
Meia,sprint_distance_p30otip,Acções atacantes com sucesso/90,227,-0.256,-0.272
Meia,sprint_distance_p30otip,Golos esperados/90,227,-0.153,-0.159
Meia,sprint_distance_p30otip,Assistências esperadas/90,227,-0.257,-0.332
Meia,sprint_distance_p30otip,ga90,227,-0.274,-0.307
Meia,sprint_distance_p30otip,xgxa90,227,-0.244,-0.293
Meia,sprint_distance_p30otip,Passes progressivos/90,227,-0.207,-0.257
Meia,sprint_distance_p30otip,Faltas sofridas/90,227,-0.202,-0.2
Meia,sprint_distance_p30otip,Passes chave/90,227,-0.233,-0.254
Extremo,psv99,Duelos/90,223,0.056,0.031
Extremo,psv99,"Duelos ganhos, %",223,0.016,0.01
Extremo,psv99,Duelos defensivos/90,223,-0.137,-0.168
Extremo,psv99,"Duelos defensivos ganhos, %",223,0.045,0.005
Extremo,psv99,Duelos aéreos/90,223,0.066,0.063
Extremo,psv99,"Duelos aéreos ganhos, %",223,0.149,0.134
Extremo,psv99,Duelos ofensivos/90,223,0.124,0.08
Extremo,psv99,"Duelos ofensivos ganhos, %",223,0.049,0.058
Extremo,psv99,Interseções/90,223,-0.005,-0.01
Extremo,psv99,Dribles/90,223,0.275,0.235
Extremo,psv99,Corridas progressivas/90,223,0.33,0.33
Extremo,psv99,Toques na área/90,223,0.365,0.379
Extremo,psv99,Acções atacantes com sucesso/90,223,0.303,0.278
Extremo,psv99,Golos esperados/90,223,0.134,0.182
Extremo,psv99,Assistências esperadas/90,223,-0.008,-0.017
Extremo,psv99,ga90,223,0.085,0.099
Extremo,psv99,xgxa90,223,0.095,0.133
Extremo,psv99,Passes progressivos/90,223,-0.235,-0.253
Extremo,psv99,Faltas sofridas/90,223,-0.087,-0.086
Extremo,psv99,Passes chave/90,223,0.142,0.129
Extremo,sprint_count_p90,Duelos/90,223,0.054,0.027
Extremo,sprint_count_p90,"Duelos ganhos, %",223,-0.034,-0.081
Extremo,sprint_count_p90,Duelos defensivos/90,223,0.029,-0.024
Extremo,sprint_count_p90,"Duelos defensivos ganhos, %",223,-0.007,-0.044
Extremo,sprint_count_p90,Duelos aéreos/90,223,0.076,0.069
Extremo,sprint_count_p90,"Duelos aéreos ganhos, %",223,0.105,0.082
Extremo,sprint_count_p90,Duelos ofensivos/90,223,0.033,0.013
Extremo,sprint_count_p90,"Duelos ofensivos ganhos, %",223,0.027,-0.004
Extremo,sprint_count_p90,Interseções/90,223,0.098,0.07
Extremo,sprint_count_p90,Dribles/90,223,0.163,0.141
Extremo,sprint_count_p90,Corridas progressivas/90,223,0.238,0.258
Extremo,sprint_count_p90,Toques na área/90,223,0.353,0.358
Extremo,sprint_count_p90,Acções atacantes com sucesso/90,223,0.147,0.132
Extremo,sprint_count_p90,Golos esperados/90,223,0.143,0.173
Extremo,sprint_count_p90,Assistências esperadas/90,223,-0.162,-0.157
Extremo,sprint_count_p90,ga90,223,-0.019,-0.009
Extremo,sprint_count_p90,xgxa90,223,0.013,0.045
Extremo,sprint_count_p90,Passes progressivos/90,223,-0.316,-0.337
Extremo,sprint_count_p90,Faltas sofridas/90,223,-0.099,-0.114
Extremo,sprint_count_p90,Passes chave/90,223,0.001,-0.028
Extremo,hi_count_p90,Duelos/90,223,0.06,0.03
Extremo,hi_count_p90,"Duelos ganhos, %",223,-0.085,-0.129
Extremo,hi_count_p90,Duelos defensivos/90,223,0.12,0.055
Extremo,hi_count_p90,"Duelos defensivos ganhos, %",223,-0.013,-0.052
Extremo,hi_count_p90,Duelos aéreos/90,223,0.075,0.066
Extremo,hi_count_p90,"Duelos aéreos ganhos, %",223,0.061,0.04
Extremo,hi_count_p90,Duelos ofensivos/90,223,-0.007,-0.021
Extremo,hi_count_p90,"Duelos ofensivos ganhos, %",223,-0.031,-0.06
Extremo,hi_count_p90,Interseções/90,223,0.166,0.134
Extremo,hi_count_p90,Dribles/90,223,0.088,0.074
Extremo,hi_count_p90,Corridas progressivas/90,223,0.17,0.198
Extremo,hi_count_p90,Toques na área/90,223,0.306,0.318
Extremo,hi_count_p90,Acções atacantes com sucesso/90,223,0.047,0.045
Extremo,hi_count_p90,Golos esperados/90,223,0.103,0.131
Extremo,hi_count_p90,Assistências esperadas/90,223,-0.215,-0.193
Extremo,hi_count_p90,ga90,223,-0.097,-0.073
Extremo,hi_count_p90,xgxa90,223,-0.05,-0.008
Extremo,hi_count_p90,Passes progressivos/90,223,-0.318,-0.341
Extremo,hi_count_p90,Faltas sofridas/90,223,-0.093,-0.113
Extremo,hi_count_p90,Passes chave/90,223,-0.077,-0.093
Extremo,expl_accel_sprint_p90,Duelos/90,223,0.094,0.056
Extremo,expl_accel_sprint_p90,"Duelos ganhos, %",223,-0.011,-0.012
Extremo,expl_accel_sprint_p90,Duelos defensivos/90,223,-0.098,-0.103
Extremo,expl_accel_sprint_p90,"Duelos defensivos ganhos, %",223,-0.028,-0.067
Extremo,expl_accel_sprint_p90,Duelos aéreos/90,223,0.014,0.001
Extremo,expl_accel_sprint_p90,"Duelos aéreos ganhos, %",223,0.087,0.074
Extremo,expl_accel_sprint_p90,Duelos ofensivos/90,223,0.177,0.123
Extremo,expl_accel_sprint_p90,"Duelos ofensivos ganhos, %",223,0.082,0.084
Extremo,expl_accel_sprint_p90,Interseções/90,223,-0.023,-0.013
Extremo,expl_accel_sprint_p90,Dribles/90,223,0.298,0.26
Extremo,expl_accel_sprint_p90,Corridas progressivas/90,223,0.341,0.334
Extremo,expl_accel_sprint_p90,Toques na área/90,223,0.299,0.311
Extremo,expl_accel_sprint_p90,Acções atacantes com sucesso/90,223,0.289,0.267
Extremo,expl_accel_sprint_p90,Golos esperados/90,223,0.068,0.131
Extremo,expl_accel_sprint_p90,Assistências esperadas/90,223,-0.018,-0.033
Extremo,expl_accel_sprint_p90,ga90,223,-0.017,0.017
Extremo,expl_accel_sprint_p90,xgxa90,223,0.031,0.086
Extremo,expl_accel_sprint_p90,Passes progressivos/90,223,-0.244,-0.252
Extremo,expl_accel_sprint_p90,Faltas sofridas/90,223,0.026,-0.004
Extremo,expl_accel_sprint_p90,Passes chave/90,223,0.08,0.09
Extremo,distance_p90,Duelos/90,223,-0.147,-0.112
Extremo,distance_p90,"Duelos ganhos, %",223,-0.11,-0.153
Extremo,distance_p90,Duelos defensivos/90,223,0.246,0.238
Extremo,distance_p90,"Duelos defensivos ganhos, %",223,0.014,-0.031
Extremo,distance_p90,Duelos aéreos/90,223,0.056,0.014
Extremo,distance_p90,"Duelos aéreos ganhos, %",223,0.028,-0.001
Extremo,distance_p90,Duelos ofensivos/90,223,-0.332,-0.279
Extremo,distance_p90,"Duelos ofensivos ganhos, %",223,-0.163,-0.208
Extremo,distance_p90,Interseções/90,223,0.365,0.343
Extremo,distance_p90,Dribles/90,223,-0.351,-0.319
Extremo,distance_p90,Corridas progressivas/90,223,-0.282,-0.218
Extremo,distance_p90,Toques na área/90,223,-0.053,-0.064
Extremo,distance_p90,Acções atacantes com sucesso/90,223,-0.357,-0.342
Extremo,distance_p90,Golos esperados/90,223,-0.053,-0.096
Extremo,distance_p90,Assistências esperadas/90,223,-0.159,-0.165
Extremo,distance_p90,ga90,223,-0.227,-0.236
Extremo,distance_p90,xgxa90,223,-0.128,-0.156
Extremo,distance_p90,Passes progressivos/90,223,0.052,0.024
Extremo,distance_p90,Faltas sofridas/90,223,-0.197,-0.197
Extremo,distance_p90,Passes chave/90,223,-0.143,-0.21
Extremo,high_accel_p90,Duelos/90,223,0.181,0.111
Extremo,high_accel_p90,"Duelos ganhos, %",223,0.001,-0.018
Extremo,high_accel_p90,Duelos defensivos/90,223,-0.035,-0.047
Extremo,high_accel_p90,"Duelos defensivos ganhos, %",223,-0.013,-0.063
Extremo,high_accel_p90,Duelos aéreos/90,223,0.141,0.149
Extremo,high_accel_p90,"Duelos aéreos ganhos, %",223,0.135,0.151
Extremo,high_accel_p90,Duelos ofensivos/90,223,0.196,0.116
Extremo,high_accel_p90,"Duelos ofensivos ganhos, %",223,0.062,0.041
Extremo,high_accel_p90,Interseções/90,223,0.028,0.035
Extremo,high_accel_p90,Dribles/90,223,0.266,0.218
Extremo,high_accel_p90,Corridas progressivas/90,223,0.287,0.263
Extremo,high_accel_p90,Toques na área/90,223,0.27,0.295
Extremo,high_accel_p90,Acções atacantes com sucesso/90,223,0.198,0.183
Extremo,high_accel_p90,Golos esperados/90,223,0.068,0.139
Extremo,high_accel_p90,Assistências esperadas/90,223,-0.211,-0.177
Extremo,high_accel_p90,ga90,223,-0.087,-0.034
Extremo,high_accel_p90,xgxa90,223,-0.091,-0.02
Extremo,high_accel_p90,Passes progressivos/90,223,-0.344,-0.327
Extremo,high_accel_p90,Faltas sofridas/90,223,0.056,0.024
Extremo,high_accel_p90,Passes chave/90,223,-0.113,-0.062
Extremo,cod_count_p90,Duelos/90,223,0.089,0.075
Extremo,cod_count_p90,"Duelos ganhos, %",223,-0.118,-0.136
Extremo,cod_count_p90,Duelos defensivos/90,223,0.346,0.319
Extremo,cod_count_p90,"Duelos defensivos ganhos, %",223,0.041,0.017
Extremo,cod_count_p90,Duelos aéreos/90,223,-0.016,-0.002
Extremo,cod_count_p90,"Duelos aéreos ganhos, %",223,-0.11,-0.099
Extremo,cod_count_p90,Duelos ofensivos/90,223,-0.015,-0.025
Extremo,cod_count_p90,"Duelos ofensivos ganhos, %",223,-0.165,-0.188
Extremo,cod_count_p90,Interseções/90,223,0.265,0.27
Extremo,cod_count_p90,Dribles/90,223,0.001,-0.005
Extremo,cod_count_p90,Corridas progressivas/90,223,0.035,0.076
Extremo,cod_count_p90,Toques na área/90,223,0.129,0.106
Extremo,cod_count_p90,Acções atacantes com sucesso/90,223,-0.098,-0.096
Extremo,cod_count_p90,Golos esperados/90,223,-0.024,-0.004
Extremo,cod_count_p90,Assistências esperadas/90,223,-0.242,-0.265
Extremo,cod_count_p90,ga90,223,-0.154,-0.184
Extremo,cod_count_p90,xgxa90,223,-0.172,-0.165
Extremo,cod_count_p90,Passes progressivos/90,223,-0.142,-0.156
Extremo,cod_count_p90,Faltas sofridas/90,223,-0.11,-0.147
Extremo,cod_count_p90,Passes chave/90,223,-0.213,-0.247
Extremo,runs_p30tip,Duelos/90,223,-0.132,-0.151
Extremo,runs_p30tip,"Duelos ganhos, %",223,-0.228,-0.325
Extremo,runs_p30tip,Duelos defensivos/90,223,0.034,-0.027
Extremo,runs_p30tip,"Duelos defensivos ganhos, %",223,-0.134,-0.165
Extremo,runs_p30tip,Duelos aéreos/90,223,0.057,0.025
Extremo,runs_p30tip,"Duelos aéreos ganhos, %",223,-0.046,-0.083
Extremo,runs_p30tip,Duelos ofensivos/90,223,-0.241,-0.211
Extremo,runs_p30tip,"Duelos ofensivos ganhos, %",223,-0.118,-0.193
Extremo,runs_p30tip,Interseções/90,223,0.134,0.067
Extremo,runs_p30tip,Dribles/90,223,-0.272,-0.26
Extremo,runs_p30tip,Corridas progressivas/90,223,-0.179,-0.151
Extremo,runs_p30tip,Toques na área/90,223,0.127,0.176
Extremo,runs_p30tip,Acções atacantes com sucesso/90,223,-0.292,-0.283
Extremo,runs_p30tip,Golos esperados/90,223,0.171,0.168
Extremo,runs_p30tip,Assistências esperadas/90,223,-0.188,-0.189
Extremo,runs_p30tip,ga90,223,-0.157,-0.134
Extremo,runs_p30tip,xgxa90,223,0.029,0.024
Extremo,runs_p30tip,Passes progressivos/90,223,-0.161,-0.234
Extremo,runs_p30tip,Faltas sofridas/90,223,-0.074,-0.091
Extremo,runs_p30tip,Passes chave/90,223,-0.165,-0.208
Extremo,runs_penalty_area_p30tip,Duelos/90,223,0.017,-0.006
Extremo,runs_penalty_area_p30tip,"Duelos ganhos, %",223,-0.29,-0.395
Extremo,runs_penalty_area_p30tip,Duelos defensivos/90,223,0.047,-0.042
Extremo,runs_penalty_area_p30tip,"Duelos defensivos ganhos, %",223,-0.184,-0.197
Extremo,runs_penalty_area_p30tip,Duelos aéreos/90,223,0.242,0.232
Extremo,runs_penalty_area_p30tip,"Duelos aéreos ganhos, %",223,-0.013,-0.048
Extremo,runs_penalty_area_p30tip,Duelos ofensivos/90,223,-0.145,-0.128
Extremo,runs_penalty_area_p30tip,"Duelos ofensivos ganhos, %",223,-0.133,-0.235
Extremo,runs_penalty_area_p30tip,Interseções/90,223,0.035,0.003
Extremo,runs_penalty_area_p30tip,Dribles/90,223,-0.178,-0.195
Extremo,runs_penalty_area_p30tip,Corridas progressivas/90,223,-0.168,-0.187
Extremo,runs_penalty_area_p30tip,Toques na área/90,223,0.409,0.422
Extremo,runs_penalty_area_p30tip,Acções atacantes com sucesso/90,223,-0.223,-0.265
Extremo,runs_penalty_area_p30tip,Golos esperados/90,223,0.365,0.317
Extremo,runs_penalty_area_p30tip,Assistências esperadas/90,223,-0.211,-0.219
Extremo,runs_penalty_area_p30tip,ga90,223,0.032,-0.011
Extremo,runs_penalty_area_p30tip,xgxa90,223,0.148,0.098
Extremo,runs_penalty_area_p30tip,Passes progressivos/90,223,-0.404,-0.466
Extremo,runs_penalty_area_p30tip,Faltas sofridas/90,223,-0.06,-0.081
Extremo,runs_penalty_area_p30tip,Passes chave/90,223,-0.099,-0.157
Extremo,sprint_distance_p30tip,Duelos/90,223,0.022,0.026
Extremo,sprint_distance_p30tip,"Duelos ganhos, %",223,-0.048,-0.094
Extremo,sprint_distance_p30tip,Duelos defensivos/90,223,-0.117,-0.132
Extremo,sprint_distance_p30tip,"Duelos defensivos ganhos, %",223,-0.042,-0.076
Extremo,sprint_distance_p30tip,Duelos aéreos/90,223,0.092,0.073
Extremo,sprint_distance_p30tip,"Duelos aéreos ganhos, %",223,0.127,0.089
Extremo,sprint_distance_p30tip,Duelos ofensivos/90,223,0.006,0.025
Extremo,sprint_distance_p30tip,"Duelos ofensivos ganhos, %",223,0.063,0.039
Extremo,sprint_distance_p30tip,Interseções/90,223,-0.003,-0.041
Extremo,sprint_distance_p30tip,Dribles/90,223,0.152,0.174
Extremo,sprint_distance_p30tip,Corridas progressivas/90,223,0.235,0.281
Extremo,sprint_distance_p30tip,Toques na área/90,223,0.373,0.442
Extremo,sprint_distance_p30tip,Acções atacantes com sucesso/90,223,0.161,0.186
Extremo,sprint_distance_p30tip,Golos esperados/90,223,0.183,0.188
Extremo,sprint_distance_p30tip,Assistências esperadas/90,223,-0.104,-0.106
Extremo,sprint_distance_p30tip,ga90,223,0.019,0.007
Extremo,sprint_distance_p30tip,xgxa90,223,0.086,0.079
Extremo,sprint_distance_p30tip,Passes progressivos/90,223,-0.345,-0.385
Extremo,sprint_distance_p30tip,Faltas sofridas/90,223,-0.09,-0.101
Extremo,sprint_distance_p30tip,Passes chave/90,223,0.103,0.064
Extremo,sprint_distance_p30otip,Duelos/90,223,0.111,0.058
Extremo,sprint_distance_p30otip,"Duelos ganhos, %",223,0.05,0.012
Extremo,sprint_distance_p30otip,Duelos defensivos/90,223,0.208,0.143
Extremo,sprint_distance_p30otip,"Duelos defensivos ganhos, %",223,0.064,0.016
Extremo,sprint_distance_p30otip,Duelos aéreos/90,223,0.071,0.059
Extremo,sprint_distance_p30otip,"Duelos aéreos ganhos, %",223,0.112,0.06
Extremo,sprint_distance_p30otip,Duelos ofensivos/90,223,0.056,-0.001
Extremo,sprint_distance_p30otip,"Duelos ofensivos ganhos, %",223,-0.016,-0.01
Extremo,sprint_distance_p30otip,Interseções/90,223,0.173,0.153
Extremo,sprint_distance_p30otip,Dribles/90,223,0.131,0.103
Extremo,sprint_distance_p30otip,Corridas progressivas/90,223,0.11,0.185
Extremo,sprint_distance_p30otip,Toques na área/90,223,0.135,0.121
Extremo,sprint_distance_p30otip,Acções atacantes com sucesso/90,223,0.107,0.101
Extremo,sprint_distance_p30otip,Golos esperados/90,223,-0.018,0.012
Extremo,sprint_distance_p30otip,Assistências esperadas/90,223,-0.142,-0.14
Extremo,sprint_distance_p30otip,ga90,223,-0.053,-0.046
Extremo,sprint_distance_p30otip,xgxa90,223,-0.102,-0.052
Extremo,sprint_distance_p30otip,Passes progressivos/90,223,-0.166,-0.177
Extremo,sprint_distance_p30otip,Faltas sofridas/90,223,-0.011,-0.064
Extremo,sprint_distance_p30otip,Passes chave/90,223,-0.079,-0.072
Atacante,psv99,Duelos/90,183,0.146,0.16
Atacante,psv99,"Duelos ganhos, %",183,-0.076,-0.079
Atacante,psv99,Duelos defensivos/90,183,0.165,0.182
Atacante,psv99,"Duelos defensivos ganhos, %",183,-0.067,-0.012
Atacante,psv99,Duelos aéreos/90,183,0.079,0.049
Atacante,psv99,"Duelos aéreos ganhos, %",183,-0.09,-0.12
Atacante,psv99,Duelos ofensivos/90,183,0.13,0.177
Atacante,psv99,"Duelos ofensivos ganhos, %",183,-0.055,-0.07
Atacante,psv99,Interseções/90,183,0.026,0.019
Atacante,psv99,Dribles/90,183,0.334,0.34
Atacante,psv99,Corridas progressivas/90,183,0.357,0.352
Atacante,psv99,Toques na área/90,183,0.3,0.33
Atacante,psv99,Acções atacantes com sucesso/90,183,0.193,0.21
Atacante,psv99,Golos esperados/90,183,0.07,0.027
Atacante,psv99,Assistências esperadas/90,183,-0.091,-0.023
Atacante,psv99,ga90,183,0.006,-0.014
Atacante,psv99,xgxa90,183,0.007,0.011
Atacante,psv99,Passes progressivos/90,183,-0.228,-0.171
Atacante,psv99,Faltas sofridas/90,183,-0.125,-0.12
Atacante,psv99,Passes chave/90,183,-0.046,0.006
Atacante,sprint_count_p90,Duelos/90,183,0.108,0.124
Atacante,sprint_count_p90,"Duelos ganhos, %",183,-0.08,-0.117
Atacante,sprint_count_p90,Duelos defensivos/90,183,0.284,0.301
Atacante,sprint_count_p90,"Duelos defensivos ganhos, %",183,-0.032,0.001
Atacante,sprint_count_p90,Duelos aéreos/90,183,0.048,0.028
Atacante,sprint_count_p90,"Duelos aéreos ganhos, %",183,-0.12,-0.168
Atacante,sprint_count_p90,Duelos ofensivos/90,183,0.03,0.066
Atacante,sprint_count_p90,"Duelos ofensivos ganhos, %",183,-0.035,-0.046
Atacante,sprint_count_p90,Interseções/90,183,0.065,0.05
Atacante,sprint_count_p90,Dribles/90,183,0.28,0.275
Atacante,sprint_count_p90,Corridas progressivas/90,183,0.354,0.351
Atacante,sprint_count_p90,Toques na área/90,183,0.298,0.314
Atacante,sprint_count_p90,Acções atacantes com sucesso/90,183,0.15,0.148
Atacante,sprint_count_p90,Golos esperados/90,183,-0.014,-0.028
Atacante,sprint_count_p90,Assistências esperadas/90,183,-0.034,0.018
Atacante,sprint_count_p90,ga90,183,-0.073,-0.108
Atacante,sprint_count_p90,xgxa90,183,-0.05,-0.036
Atacante,sprint_count_p90,Passes progressivos/90,183,-0.137,-0.086
Atacante,sprint_count_p90,Faltas sofridas/90,183,-0.192,-0.175
Atacante,sprint_count_p90,Passes chave/90,183,-0.026,-0.009
Atacante,hi_count_p90,Duelos/90,183,0.098,0.106
Atacante,hi_count_p90,"Duelos ganhos, %",183,-0.043,-0.083
Atacante,hi_count_p90,Duelos defensivos/90,183,0.341,0.365
Atacante,hi_count_p90,"Duelos defensivos ganhos, %",183,0.016,0.028
Atacante,hi_count_p90,Duelos aéreos/90,183,0.023,-0.008
Atacante,hi_count_p90,"Duelos aéreos ganhos, %",183,-0.131,-0.175
Atacante,hi_count_p90,Duelos ofensivos/90,183,-0.002,0.036
Atacante,hi_count_p90,"Duelos ofensivos ganhos, %",183,-0.005,-0.0
Atacante,hi_count_p90,Interseções/90,183,0.118,0.107
Atacante,hi_count_p90,Dribles/90,183,0.261,0.257
Atacante,hi_count_p90,Corridas progressivas/90,183,0.335,0.34
Atacante,hi_count_p90,Toques na área/90,183,0.264,0.258
Atacante,hi_count_p90,Acções atacantes com sucesso/90,183,0.152,0.146
Atacante,hi_count_p90,Golos esperados/90,183,-0.063,-0.079
Atacante,hi_count_p90,Assistências esperadas/90,183,0.029,0.044
Atacante,hi_count_p90,ga90,183,-0.11,-0.161
Atacante,hi_count_p90,xgxa90,183,-0.067,-0.068
Atacante,hi_count_p90,Passes progressivos/90,183,-0.051,-0.009
Atacante,hi_count_p90,Faltas sofridas/90,183,-0.196,-0.168
Atacante,hi_count_p90,Passes chave/90,183,-0.022,-0.027
Atacante,expl_accel_sprint_p90,Duelos/90,183,0.017,0.023
Atacante,expl_accel_sprint_p90,"Duelos ganhos, %",183,-0.055,-0.112
Atacante,expl_accel_sprint_p90,Duelos defensivos/90,183,0.175,0.172
Atacante,expl_accel_sprint_p90,"Duelos defensivos ganhos, %",183,-0.061,-0.015
Atacante,expl_accel_sprint_p90,Duelos aéreos/90,183,-0.035,-0.044
Atacante,expl_accel_sprint_p90,"Duelos aéreos ganhos, %",183,-0.122,-0.174
Atacante,expl_accel_sprint_p90,Duelos ofensivos/90,183,0.048,0.066
Atacante,expl_accel_sprint_p90,"Duelos ofensivos ganhos, %",183,0.001,-0.049
Atacante,expl_accel_sprint_p90,Interseções/90,183,0.064,0.022
Atacante,expl_accel_sprint_p90,Dribles/90,183,0.273,0.233
Atacante,expl_accel_sprint_p90,Corridas progressivas/90,183,0.294,0.243
Atacante,expl_accel_sprint_p90,Toques na área/90,183,0.276,0.304
Atacante,expl_accel_sprint_p90,Acções atacantes com sucesso/90,183,0.17,0.138
Atacante,expl_accel_sprint_p90,Golos esperados/90,183,0.073,0.051
Atacante,expl_accel_sprint_p90,Assistências esperadas/90,183,-0.127,-0.082
Atacante,expl_accel_sprint_p90,ga90,183,-0.007,-0.034
Atacante,expl_accel_sprint_p90,xgxa90,183,-0.024,-0.006
Atacante,expl_accel_sprint_p90,Passes progressivos/90,183,-0.165,-0.15
Atacante,expl_accel_sprint_p90,Faltas sofridas/90,183,-0.148,-0.158
Atacante,expl_accel_sprint_p90,Passes chave/90,183,-0.084,-0.071
Atacante,distance_p90,Duelos/90,183,0.194,0.167
Atacante,distance_p90,"Duelos ganhos, %",183,0.192,0.111
Atacante,distance_p90,Duelos defensivos/90,183,0.482,0.517
Atacante,distance_p90,"Duelos defensivos ganhos, %",183,0.133,0.088
Atacante,distance_p90,Duelos aéreos/90,183,-0.047,-0.1
Atacante,distance_p90,"Duelos aéreos ganhos, %",183,-0.06,-0.142
Atacante,distance_p90,Duelos ofensivos/90,183,0.082,0.093
Atacante,distance_p90,"Duelos ofensivos ganhos, %",183,0.205,0.193
Atacante,distance_p90,Interseções/90,183,0.37,0.332
Atacante,distance_p90,Dribles/90,183,0.209,0.216
Atacante,distance_p90,Corridas progressivas/90,183,0.263,0.318
Atacante,distance_p90,Toques na área/90,183,-0.114,-0.169
Atacante,distance_p90,Acções atacantes com sucesso/90,183,0.181,0.196
Atacante,distance_p90,Golos esperados/90,183,-0.237,-0.271
Atacante,distance_p90,Assistências esperadas/90,183,0.172,0.17
Atacante,distance_p90,ga90,183,-0.238,-0.254
Atacante,distance_p90,xgxa90,183,-0.135,-0.184
Atacante,distance_p90,Passes progressivos/90,183,0.266,0.306
Atacante,distance_p90,Faltas sofridas/90,183,0.111,0.075
Atacante,distance_p90,Passes chave/90,183,0.097,0.14
Atacante,high_accel_p90,Duelos/90,183,0.104,0.013
Atacante,high_accel_p90,"Duelos ganhos, %",183,-0.104,-0.132
Atacante,high_accel_p90,Duelos defensivos/90,183,0.12,0.088
Atacante,high_accel_p90,"Duelos defensivos ganhos, %",183,0.015,-0.006
Atacante,high_accel_p90,Duelos aéreos/90,183,0.142,0.038
Atacante,high_accel_p90,"Duelos aéreos ganhos, %",183,-0.085,-0.124
Atacante,high_accel_p90,Duelos ofensivos/90,183,-0.007,-0.015
Atacante,high_accel_p90,"Duelos ofensivos ganhos, %",183,-0.08,-0.063
Atacante,high_accel_p90,Interseções/90,183,0.028,-0.023
Atacante,high_accel_p90,Dribles/90,183,0.119,0.086
Atacante,high_accel_p90,Corridas progressivas/90,183,0.136,0.073
Atacante,high_accel_p90,Toques na área/90,183,0.296,0.316
Atacante,high_accel_p90,Acções atacantes com sucesso/90,183,0.004,-0.024
Atacante,high_accel_p90,Golos esperados/90,183,0.065,0.056
Atacante,high_accel_p90,Assistências esperadas/90,183,-0.136,-0.12
Atacante,high_accel_p90,ga90,183,-0.02,-0.032
Atacante,high_accel_p90,xgxa90,183,-0.038,-0.014
Atacante,high_accel_p90,Passes progressivos/90,183,-0.245,-0.244
Atacante,high_accel_p90,Faltas sofridas/90,183,-0.122,-0.148
Atacante,high_accel_p90,Passes chave/90,183,-0.139,-0.157
Atacante,cod_count_p90,Duelos/90,183,0.042,0.022
Atacante,cod_count_p90,"Duelos ganhos, %",183,0.072,0.022
Atacante,cod_count_p90,Duelos defensivos/90,183,0.408,0.431
Atacante,cod_count_p90,"Duelos defensivos ganhos, %",183,0.122,0.088
Atacante,cod_count_p90,Duelos aéreos/90,183,-0.128,-0.176
Atacante,cod_count_p90,"Duelos aéreos ganhos, %",183,-0.122,-0.177
Atacante,cod_count_p90,Duelos ofensivos/90,183,0.001,0.024
Atacante,cod_count_p90,"Duelos ofensivos ganhos, %",183,0.093,0.114
Atacante,cod_count_p90,Interseções/90,183,0.227,0.21
Atacante,cod_count_p90,Dribles/90,183,0.238,0.22
Atacante,cod_count_p90,Corridas progressivas/90,183,0.253,0.226
Atacante,cod_count_p90,Toques na área/90,183,0.138,0.105
Atacante,cod_count_p90,Acções atacantes com sucesso/90,183,0.168,0.152
Atacante,cod_count_p90,Golos esperados/90,183,-0.039,-0.05
Atacante,cod_count_p90,Assistências esperadas/90,183,0.128,0.102
Atacante,cod_count_p90,ga90,183,-0.08,-0.128
Atacante,cod_count_p90,xgxa90,183,0.015,0.003
Atacante,cod_count_p90,Passes progressivos/90,183,0.069,0.071
Atacante,cod_count_p90,Faltas sofridas/90,183,-0.08,-0.069
Atacante,cod_count_p90,Passes chave/90,183,0.019,0.015
Atacante,runs_p30tip,Duelos/90,183,-0.084,-0.121
