ano,clube,jogador,posicao,setor,idade,minutos,jogos,fatia,sc_player_id,matches,minutes_played,minutos_sc,psv99,psv99_top5,distance_p90,m_per_min,running_distance_p90,hsr_distance_p90,hsr_count_p90,sprint_distance_p90,sprint_count_p90,hi_distance_p90,hi_count_p90,high_accel_p90,high_decel_p90,medium_accel_p90,medium_decel_p90,expl_accel_sprint_p90,expl_accel_hsr_p90,cod_count_p90,minutes_tip,distance_p30tip,m_per_min_tip,running_distance_p30tip,hsr_distance_p30tip,hsr_count_p30tip,sprint_distance_p30tip,sprint_count_p30tip,hi_distance_p30tip,hi_count_p30tip,high_accel_p30tip,high_decel_p30tip,medium_accel_p30tip,medium_decel_p30tip,expl_accel_sprint_p30tip,expl_accel_hsr_p30tip,cod_count_p30tip,minutes_otip,distance_p30otip,m_per_min_otip,running_distance_p30otip,hsr_distance_p30otip,hsr_count_p30otip,sprint_distance_p30otip,sprint_count_p30otip,hi_distance_p30otip,hi_count_p30otip,high_accel_p30otip,high_decel_p30otip,medium_accel_p30otip,medium_decel_p30otip,expl_accel_sprint_p30otip,expl_accel_hsr_p30otip,cod_count_p30otip,peak_velocity,peak_velocity_top3,runs_total,runs_p30tip,runs_avg_distance,runs_above_hsr_p30tip,runs_penalty_area_p30tip,runs_targeted_p30tip,runs_received_p30tip,runs_dangerous_p30tip,runs_dangerous_targeted_p30tip,runs_dangerous_received_p30tip,runs_shot_within_10s_p30tip,runs_goal_within_10s_p30tip
2022,Bahia,Falcão,"LDMF, RCMF, LCMF",Volante,24.0,150,7,0.04043126684636118,31682,7.0,21.35,149.45000000000002,27.37,28.1,10797.59,119.97,1775.71,583.47,56.0,127.05,6.62,710.53,62.62,6.02,15.66,99.35,90.32,0.0,1.81,54.79,4.24,4477.78,149.26,836.36,239.39,21.21,122.22,3.03,361.62,24.24,4.04,6.06,44.44,28.28,0.0,1.01,12.12,6.09,5120.84,170.69,1221.32,431.1,39.98,61.79,2.91,492.89,42.89,2.18,6.54,48.71,37.08,0.0,0.0,50.16,,,27.0,34.06,13.03,5.05,2.52,6.31,5.05,6.31,1.26,1.26,0.0,0.0
2022,Bahia,Lucas Mugni,"LDMF, LCMF, LW",Volante,30.0,2201,29,0.5932614555256065,32845,29.0,75.9,2201.1000000000004,27.72,30.0,10332.06,114.8,1710.14,656.61,57.16,159.68,8.67,816.28,65.83,5.72,18.36,102.92,85.26,0.53,4.21,40.69,19.79,4252.47,141.75,794.37,334.97,28.23,85.22,3.87,420.19,32.1,2.2,4.34,46.48,31.94,0.1,1.36,18.66,18.16,5017.75,167.26,1237.96,474.08,40.67,112.62,6.21,586.71,46.88,3.02,8.66,52.01,34.92,0.17,2.22,32.02,,,560.0,32.59,13.68,7.8,2.21,10.13,8.03,6.34,1.45,1.05,1.28,0.12
2022,Bahia,Patrick De Lucca,"RDMF, RCMF, DMF",Volante,22.0,2836,32,0.7644204851752021,34977,31.0,89.24,2766.44,27.84,29.78,9879.7,109.77,1460.95,442.92,42.13,116.8,6.05,559.72,48.18,4.23,15.13,100.17,82.28,0.59,2.41,29.54,22.6,4131.46,137.72,655.43,174.15,16.87,47.62,1.84,221.77,18.71,1.71,3.9,41.84,30.36,0.0,0.64,11.73,21.57,4911.29,163.71,1124.23,383.0,34.95,101.76,4.89,484.76,39.84,2.15,6.91,55.77,37.51,0.45,1.3,25.93,,,501.0,23.09,12.26,3.23,1.8,7.47,6.59,3.6,0.92,0.74,0.65,0.0
2022,Bahia,Rezende,"LDMF, LCMF, RCMF",Volante,27.0,1982,28,0.5342318059299191,177402,27.0,69.73,1882.71,28.69,30.7,10116.5,112.41,1392.77,498.93,48.9,145.13,8.46,644.06,57.36,5.4,16.44,94.51,75.48,1.58,3.78,36.43,17.18,4013.2,133.77,542.06,139.03,14.64,38.74,1.94,177.77,16.59,2.14,3.82,36.86,24.62,0.13,0.97,12.11,17.77,5014.23,167.14,1104.16,463.41,42.24,138.62,7.39,602.03,49.63,2.76,7.21,53.7,35.97,0.75,2.01,32.65,,,182.0,14.56,11.41,2.24,1.04,3.84,3.12,2.48,0.64,0.16,0.0,0.0
2022,Bahia,Didi,"LCB, CB",Zaga,31.0,726,9,0.19568733153638815,25282,8.0,88.61,708.88,28.99,30.18,9160.56,101.78,1126.52,388.37,34.41,83.67,5.97,472.04,40.37,5.21,10.54,94.84,75.29,0.38,3.68,19.3,22.31,3850.83,128.36,533.26,158.2,14.46,39.34,1.68,197.53,16.14,2.19,3.36,37.66,27.57,0.0,0.84,6.72,22.34,4227.52,140.92,693.31,279.61,24.17,57.23,4.36,336.84,28.53,2.69,4.03,48.5,32.39,0.5,1.85,15.78,,,35.0,8.5,14.34,1.7,0.24,3.89,3.89,0.73,0.24,0.24,0.0,0.0
2022,Bahia,Gabriel Xavier,"LCB, CB",Zaga,21.0,1046,14,0.2819407008086253,175735,14.0,74.8,1047.2,28.07,29.26,9200.71,102.23,1061.87,348.51,36.1,110.7,6.62,459.21,42.72,5.5,12.81,97.03,77.7,1.03,3.18,24.92,18.82,3797.68,126.59,469.09,120.74,13.87,44.83,1.95,165.58,15.82,2.52,2.75,37.72,28.32,0.34,0.92,7.57,18.53,4300.98,143.37,694.34,272.54,27.94,88.36,4.66,360.91,32.6,2.68,4.66,51.69,33.41,0.58,1.51,22.0,,,85.0,10.73,10.85,0.5,0.38,5.3,5.3,0.76,0.0,0.0,0.13,0.0
2022,Bahia,Ignácio,RCB,Zaga,25.0,3355,35,0.9043126684636119,24791,34.0,95.86,3259.24,28.86,32.02,8789.41,97.66,910.46,294.91,30.84,87.73,5.63,382.63,36.48,5.47,9.64,88.42,70.39,0.88,3.53,21.23,24.61,3599.86,120.0,389.82,101.76,11.29,28.11,1.33,129.87,12.62,2.12,2.65,32.84,25.99,0.22,1.29,7.31,23.05,4149.11,138.3,626.42,248.01,24.53,76.81,4.52,324.83,29.05,2.64,4.06,49.87,32.61,0.57,1.65,17.45,,,159.0,6.57,11.96,0.87,0.25,2.36,2.27,0.5,0.04,0.0,0.0,0.0
2022,Bahia,Luiz Otávio,LCB,Zaga,29.0,2685,28,0.7237196765498652,25277,27.0,95.87,2588.4900000000002,28.04,31.46,8382.38,93.14,824.87,225.78,22.32,63.49,3.16,289.27,25.48,4.55,8.1,81.43,65.33,0.31,1.95,12.9,24.17,3406.93,113.56,329.99,67.59,6.8,16.74,0.51,84.33,7.31,1.7,2.44,27.86,21.89,0.09,0.64,4.55,23.36,3998.69,133.29,594.64,199.18,18.95,59.19,2.48,258.37,21.43,2.29,3.52,48.62,32.9,0.19,0.71,11.0,,,99.0,4.77,11.62,0.34,0.19,2.12,2.12,0.29,0.1,0.1,0.1,0.0
2022,Brusque,Alex Sandro,"CF, RAMF",Atacante,27.0,2035,27,0.5402437552793532,172989,26.0,75.66,1967.1599999999999,30.06,31.8,9365.74,104.06,1204.64,600.26,62.59,250.12,13.95,850.38,76.54,10.29,22.37,98.64,78.56,2.56,7.23,41.08,21.57,4136.27,137.88,725.01,362.88,35.08,139.59,7.43,502.47,42.52,4.55,7.11,51.08,31.02,1.28,3.1,26.47,18.43,4036.53,134.55,618.99,328.18,35.8,145.84,7.76,474.02,43.57,4.13,7.82,39.56,29.98,0.63,2.75,20.91,,,596.0,35.36,13.04,8.72,8.25,12.52,9.02,15.96,4.45,2.08,1.66,0.06
2022,Brusque,Bruno Santos,CF,Atacante,25.0,12,1,0.0031857125618438517,171859,1.0,11.73,11.73,30.2,30.2,11682.1,129.8,1948.3,728.69,76.7,191.76,7.67,920.45,84.38,15.34,30.68,138.07,107.39,15.34,15.34,122.73,1.9,,,,,,,,,,,,,,,,,3.65,4569.86,152.33,895.89,361.64,32.88,205.48,0.0,567.12,32.88,8.22,16.44,57.53,24.66,8.22,8.22,82.19,,,,,,,,,,,,,,
