ano,clube,data,distance_p90,hsr_distance_p90,sprint_distance_p90,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,high_accel_p90,psv99,n_jog,resultado,mando,Golos esperados,adversario,pts,n_jogo,turno
2022,Criciúma,2022-04-14,9687.517044406435,444.0963948730162,116.33571751791631,7.307477428713707,51.24905027388659,0.48783283174919356,5.357000238162253,28.212702708554353,10.0,V,casa,1.52,Londrina,3.0,1.0,1
2022,Chapecoense,2022-04-15,9991.170263154208,464.34644118594457,136.7583758385502,7.942104813523241,52.43401677800652,1.26085164488887,5.546597201798243,28.343426746775343,8.0,V,fora,0.35,Grêmio,3.0,2.0,1
2022,Grêmio,2022-04-15,10096.754698529501,533.4851031267601,162.33175633082055,8.415164966862813,57.38163816349275,1.2943056770652317,5.93297455687252,28.812272144389443,10.0,D,casa,1.51,Chapecoense,0.0,2.0,1
2022,Sport,2022-04-16,9722.208600512455,465.4285048708711,174.89445710081688,9.589304759247044,57.30724668932974,1.5976325536556901,7.419695951088335,28.99876198690954,9.0,E,fora,0.92,Guarani,1.0,2.0,1
2022,Guarani,2022-04-16,9854.895008917254,499.1053558489338,166.16809294134796,8.58146444875663,56.83673875248167,1.4146155485513665,5.956971161935099,28.6852736307247,10.0,E,casa,1.09,Sport,1.0,2.0,1
2022,Ponte Preta,2022-04-16,9323.57676092856,422.2090076305113,132.51471452752625,8.10110803621806,49.69206964184959,1.9339835836535102,6.76977511486069,28.902138692603238,8.0,D,fora,0.83,Operário-PR,0.0,2.0,1
2022,Tombense,2022-04-16,10006.311155205882,435.6053739056655,90.35894365382391,6.477898877704501,44.080860555105616,0.8096872228007251,5.899775412343965,29.066655096609974,9.0,E,fora,1.0,Sampaio Corrêa,1.0,2.0,1
2022,Ituano,2022-04-16,9699.022025834875,495.6982113722147,162.17786679654205,7.570764530732873,52.59863331968166,0.5969625759605061,6.573874456239001,29.597425367765073,10.0,E,casa,1.91,CSA,1.0,1.0,1
2022,Operário-PR,2022-04-16,9713.103662673097,449.9424064343934,150.48070926739356,7.324879534655479,50.19698950341707,1.4010779045134107,7.109103062799965,28.73523117616785,10.0,V,casa,0.93,Ponte Preta,3.0,2.0,1
2022,CSA,2022-04-16,10244.491851147008,599.9857108504831,173.3979966069189,9.692372353765581,61.471405915763064,0.6634247989968283,5.576106660765657,28.308566792063136,8.0,E,fora,0.74,Ituano,1.0,1.0,1
2022,Vasco,2022-04-16,9245.191097794588,380.38804152954475,118.02658897784765,5.19360160125743,42.98883921115969,0.9947837565695763,4.861796011591926,27.62670686183015,9.0,E,fora,1.52,CRB,1.0,2.0,1
