ano,clube,dist,hsr,spr_d,spr_n,hi_n,acc,expl,psv,spr_otip,spr_tip,hsr_otip,hsr_tip,runs,runs_area,runs_per,min_rastreados,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,cobertura
2023,Sampaio Corrêa,9261.495298654569,434.06598897910123,142.00718132681945,7.652945064557403,50.6958825140553,6.038482407041215,1.2280675150246212,28.380559029118686,89.04732289013293,72.3829429397852,308.37283977456195,202.66558948470396,19.222198425807456,2.387762161994494,5.8401896072273285,32238.75,38,39,31.0,43.0,-12.0,17,-25,1.0263157894736843,Cai,8500000.0,15.955576721460545,17.0,1.2200992026352449,-0.19378341316156056,0.9426535087719298
2023,Sport,9560.359928374135,433.77250785457613,135.86971791879017,7.486344132792997,49.631523237152095,5.5307156406955595,1.149685392335259,28.10086573809886,80.72986056293344,79.52526283011916,297.97483145241216,212.38150200623534,22.15548466368308,4.18867981089666,8.5773222993109,28967.19,38,63,59.0,40.0,19.0,5,-1,1.6578947368421053,Meio,17900000.0,16.70031127081098,4.0,1.415851836120754,0.24204290072135137,0.8469938596491228
2023,Tombense,9222.65997394378,456.5918656576067,172.1278718442294,8.897065063405815,54.97440004326826,6.376193791989104,1.3211698315795553,28.854799490983424,96.13135627615608,108.10010687995951,292.6542601354623,248.1063725869805,24.7580889359254,3.6656670809708247,8.215273409979604,32541.18,38,37,37.0,50.0,-13.0,18,-27,0.9736842105263158,Cai,6950000.0,15.754252217540975,19.0,1.1671812846176195,-0.19349707409130368,0.9514964912280702
2023,Vila Nova,9382.559772263769,456.455442119443,156.2233519619755,8.224359676063,53.28892410118472,6.724380811921177,1.114028017124132,28.678232491192045,89.51405512916044,99.70151938373913,295.4863967164583,257.14734448742234,21.99499263668816,3.132902979942182,7.85368393217363,36946.69,38,61,49.0,30.0,19.0,8,-3,1.605263157894737,Meio,10475000.0,16.164502023772474,14.0,1.2750149819085275,0.3302481759862095,1.0803125730994152
2023,Vitória,9170.950870837452,444.4450386454132,149.23286516730872,7.690317077416483,50.99272092645237,6.363505336980855,1.2832265476034022,28.57030471053839,83.82624803292316,88.33977245059587,292.59804410347004,225.10549880510192,22.14711383407229,2.7278631152889306,6.929640516094521,34697.520000000004,38,72,50.0,31.0,19.0,1,8,1.894736842105263,Sobe,14025000.0,16.456352009373035,9.0,1.3517274203389018,0.5430094217663612,1.0145473684210526
2024,Amazonas,9176.31086487553,439.8984830258659,150.19547243272646,7.865606652254117,51.50981791639365,6.682473032211961,1.3721593990318492,28.37693724278344,79.20846947576045,97.26761788058572,279.3339889486777,234.15847286257292,22.910864976667032,2.882605121093833,6.839735243554288,35880.77,38,52,31.0,37.0,-6.0,11,-12,1.368421052631579,Meio,9675000.0,16.08505579688012,17.0,1.254132631078651,0.11428842155292807,1.049145321637427
2024,América-MG,9760.007974987117,515.1877423753702,159.6186833232955,8.363822276430083,55.43545870406129,5.994353703192037,1.048558282160974,28.414729206895696,105.59396873467158,77.10741729636092,356.19063078599504,234.4504232546552,24.373520182295714,2.762367612863769,6.864414357184103,25769.12,38,58,50.0,35.0,15.0,7,-6,1.5263157894736843,Meio,23325000.0,16.96503630469768,5.0,1.4854345116902712,0.040881277783413106,0.7534830409356725
2024,Avaí,9863.854443202497,513.5825006778773,175.3314006172164,9.015162097209931,58.1420753454854,6.506793547403348,1.3507998720485814,28.555614269566455,102.76912008870413,98.64444535380555,343.54754838121573,239.27394039651674,24.23957686200804,3.288723740954729,8.370404641387973,30167.7,38,53,34.0,32.0,2.0,10,-11,1.394736842105263,Meio,19000000.0,16.759949537130716,8.0,1.4315276869306581,-0.036790844825395075,0.8820964912280702
2024,Botafogo-SP,9524.52932824718,486.1279903295131,173.50702030707888,9.088321148457235,55.302213277673694,6.548120246837315,1.3395510526954872,28.75926273885913,98.78185411511448,110.14546441147723,314.5310005381661,259.80702158323413,22.97106426046064,2.874007257285873,7.629202317474425,33930.04,38,45,36.0,51.0,-15.0,14,-19,1.1842105263157894,Meio,9525000.0,16.06943047897704,18.0,1.2500255339508977,-0.06581500763510828,0.992106432748538
2024,Brusque,9556.659422814037,480.2964664307645,159.1473155034139,8.311252649065944,53.604356138386144,6.09870624377479,1.2644290449103341,28.53452269987061,95.24992850731799,89.81062194554956,319.2909069918423,237.301795576547,23.27427723462947,2.781366615565641,7.478882263297655,33101.29,38,36,24.0,44.0,-20.0,19,-28,0.9473684210526315,Cai,7500000.0,15.830413578506539,20.0,1.1872002121561005,-0.23983179110346897,0.9678739766081872
2024,CRB,9583.535910937799,493.2491916543469,156.83797783386302,7.784367912336008,52.65868156381583,6.40333146905175,1.0735334720854834,28.394350806697304,98.87266501617886,86.16096918483646,340.76415055784145,246.70454759530125,22.167219371638765,2.6243032803445505,6.20488214298313,31182.7,38,43,38.0,45.0,-7.0,16,-21,1.131578947368421,Meio,13675000.0,16.43107990627232,11.0,1.3450846766391535,-0.21350572927073252,0.9117748538011696
2024,Ceará,9201.57091921869,443.685549964548,171.77431496564907,8.979369987407447,54.22855085501766,6.478474710180157,1.632020531406818,29.120887729232656,96.8123098747905,112.47487896559095,288.4859497552285,251.52341059529556,23.51233814809503,3.652350820743353,7.630234669087794,37148.94,38,64,59.0,41.0,18.0,4,0,1.6842105263157894,Sobe,24725000.0,17.02332543547305,4.0,1.5007557437491474,0.18345478256664194,1.0862263157894738
2024,Chapecoense,9695.648800888337,497.6517748298484,146.78180510580694,7.53397744512679,51.95754106410443,5.576476351993206,1.0942876575788734,28.139265585360814,91.60817652876463,83.06958520948106,329.03873120299767,257.1910217619732,22.76829993979035,2.1386183664602867,5.786125424680652,28633.28,37,44,32.0,42.0,-10.0,15,-20,1.1891891891891893,Meio,11425000.0,16.25131449474454,14.0,1.2978335416584255,-0.1086443524692362,0.8598582582582582
2024,Coritiba,9818.489511876123,513.8463682188691,175.50309407848206,9.427725280451073,58.66535112269582,6.8383017512879265,1.5697178385175041,28.854497047066644,102.85870452637828,101.72736840245743,332.8970142023448,260.7263878753739,25.377260584290433,3.517504749064087,8.987277925820614,30285.14,38,50,41.0,44.0,-3.0,13,-14,1.3157894736842106,Meio,32050000.0,17.282807741330952,2.0,1.568960374189456,-0.2531709005052454,0.8855304093567251
2024,Goiás,9330.106613727916,476.08081149041413,176.51525619301967,8.802925481530611,54.25905428845889,6.812126389052048,1.6006246812224998,29.193972209293516,105.29453178273704,107.64574995055696,311.9160635253096,248.03786549931525,20.93285193407793,3.1777095678603877,7.323212232580065,26899.64,38,63,56.0,32.0,24.0,6,-1,1.6578947368421053,Meio,28750000.0,17.174148325207632,3.0,1.540399369630597,0.11749536721150822,0.7865391812865496
2024,Guarani,9611.713651312744,459.0278213170516,153.67148997824677,7.844561744543674,51.94319480717455,6.433041731000728,1.2089683472274653,28.769680415169756,84.67709125444308,91.32170371047478,289.3142225301727,235.2520531814741,22.926301466739783,2.4497776608520003,6.51386903880995,36210.73,38,33,33.0,53.0,-20.0,20,-31,0.868421052631579,Cai,20600000.0,16.84080163375981,7.0,1.4527795690298229,-0.5843585163982439,1.0587932748538014
2024,Ituano,9703.039363186137,508.14366273520847,164.00587117668366,8.388503248027043,55.17972139334451,6.314679114293332,0.952694554682038,28.580631466503696,91.37207186841404,98.33129971380141,320.008849132099,272.15549360768665,25.457482643866353,3.185385299251055,8.64604659277814,31810.08,38,37,43.0,63.0,-20.0,18,-27,0.9736842105263158,Cai,11350000.0,16.244728301891687,15.0,1.2961023683206045,-0.32241815779428873,0.9301192982456141
