ano,clube,psv_min_kmh,psv_max_kmh,psv_amp_kmh,psv_media_kmh,mais_lento,mais_lento_setor,pontos,pos,faixa,rendimento,ppj,log_valor,dist_g4
2023,Avaí,27.37,30.37,3.0,28.381,Alan Costa,Zaga,44,13,Meio,-0.2910287894146686,1.1578947368421053,16.826131444012017,-20
2023,Botafogo-SP,27.02,32.25,5.23,29.627,Tárik,Volante,47,12,Meio,0.013668611812490905,1.236842105263158,15.967272761223736,-17
2023,CRB,27.73,30.3,2.5700000000000003,28.908000000000005,Anselmo Ramon,Atacante,57,10,Meio,0.15062576340236156,1.5,16.44739939810092,-7
2023,Ceará,26.62,31.06,4.439999999999998,28.631,Nicolas,Atacante,50,11,Meio,-0.27985821938296507,1.3157894736842106,17.38433878101038,-14
2023,Chapecoense,26.39,30.24,3.849999999999998,28.272000000000002,Bruno Vinicius,Meia,40,16,Meio,-0.3390110779505011,1.0526315789473684,16.60820823312677,-24
2023,Criciúma,26.62,30.71,4.09,28.629999999999995,Marquinhos Gabriel,Meia,64,3,Sobe,0.39874169705344986,1.6842105263157894,16.204273347199372,0
2023,Guarani,27.34,30.82,3.4800000000000004,29.240999999999996,Diogo Mateus,Lateral,57,9,Meio,0.14501311880046508,1.5,16.46875252257149,-7
2023,Ituano,26.86,30.88,4.02,28.412,José Aldo,Volante,42,14,Meio,-0.03296053550170286,1.105263157894737,15.644084000315045,-22
2023,Juventude,27.31,31.51,4.200000000000003,29.383,Nenê,Meia,65,2,Sobe,0.31095398156595455,1.7105263157894737,16.638376433495065,1
2023,Londrina,26.15,30.24,4.09,28.872000000000003,Higor Leite,Meia,31,19,Cai,-0.37832821317998466,0.8157894736842105,15.856730886823913,-33
2023,Mirassol,25.41,30.28,4.870000000000001,28.615999999999996,Yuri Lima,Volante,63,7,Meio,0.29025976567153844,1.6578947368421053,16.51687177091569,-1
2023,Novorizontino,28.52,30.55,2.030000000000001,29.095999999999997,Marlon,Meia,63,6,Meio,0.30852050024446687,1.6578947368421053,16.44739939810092,-1
2023,Ponte Preta,25.37,30.19,4.82,28.5,Élvis,Meia,42,15,Meio,-0.17472310918557565,1.105263157894737,16.18341511707896,-22
2023,Sampaio Corrêa,26.2,31.09,4.890000000000001,28.709000000000003,Ytalo,Atacante,39,17,Cai,-0.19378341316156056,1.0263157894736843,15.955576721460545,-25
2023,Sport,25.13,30.32,5.190000000000001,28.251000000000005,Ronaldo Henrique,Meia,63,5,Meio,0.24204290072135137,1.6578947368421053,16.70031127081098,-1
2023,Tombense,27.58,31.6,4.020000000000003,28.838,Roger Carvalho,Zaga,37,18,Cai,-0.19349707409130368,0.9736842105263158,15.754252217540975,-27
